key,0,1
#,,
int32,str,str
0,"TEXT_GAIUSB503_00872_SEQ_00","Marquez a besoin d'outils pour effectuer une réparation."
1,"TEXT_GAIUSB503_00872_SEQ_01","<UIForeground>F20215</UIForeground><UIGlow>F20216</UIGlow><Gui(63)/>Cette quête a subi des mo<SoftHyphen/>di<SoftHyphen/>fi<SoftHyphen/>ca<SoftHyphen/>tions depuis que vous l'avez acceptée. Abandonnez-la et parlez à Marquez à l'église Saint-Adama-Landama afin de la recommencer.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

* Le guide de l'épopée vous indique votre prochaine quête. Il peut être affiché ou masqué à partir du menu Configuration personnage, rubrique Interface et fenêtres."
2,"TEXT_GAIUSB503_00872_SEQ_02","Vous avez obtenu les outils dont Marquez a besoin pour réparer la montre. Retournez à l'église Saint-Adama-Landama pour les lui apporter."
3,"TEXT_GAIUSB503_00872_SEQ_03","Marquez a remarquablement remis la montre en état de marche, même s'il n'a pas l'air de savoir comment il a pu faire. Allez trouver Eluned et remettez-lui <SheetFr(EventItem,2,2000680,1,1)/>."
4,"TEXT_GAIUSB503_00872_SEQ_04","D'après Eluned, la montre réparée par Marquez serait d'origine garlemaldaise. Comment un simple fossoyeur peut-il être capable de comprendre une technologie aussi complexe...<Indent/>?"
5,"TEXT_GAIUSB503_00872_SEQ_05",""
6,"TEXT_GAIUSB503_00872_SEQ_06",""
7,"TEXT_GAIUSB503_00872_SEQ_07",""
8,"TEXT_GAIUSB503_00872_SEQ_08",""
9,"TEXT_GAIUSB503_00872_SEQ_09",""
10,"TEXT_GAIUSB503_00872_SEQ_10",""
11,"TEXT_GAIUSB503_00872_SEQ_11",""
12,"TEXT_GAIUSB503_00872_SEQ_12",""
13,"TEXT_GAIUSB503_00872_SEQ_13",""
14,"TEXT_GAIUSB503_00872_SEQ_14",""
15,"TEXT_GAIUSB503_00872_SEQ_15",""
16,"TEXT_GAIUSB503_00872_SEQ_16",""
17,"TEXT_GAIUSB503_00872_SEQ_17",""
18,"TEXT_GAIUSB503_00872_SEQ_18",""
19,"TEXT_GAIUSB503_00872_SEQ_19",""
20,"TEXT_GAIUSB503_00872_SEQ_20",""
21,"TEXT_GAIUSB503_00872_SEQ_21",""
22,"TEXT_GAIUSB503_00872_SEQ_22",""
