key,0,1
#,,
int32,str,str
0,"TEXT_JOBWHM400_01081_SEQ_00","Raya-O-Senna a de toute évidence quelque chose à vous demander."
1,"TEXT_JOBWHM400_01081_SEQ_01","Raya-O-Senna vous demande de veiller sur son jeune frère, qui s'est mis en tête d'apaiser les esprits courroucés de la forêt. Allez le retrouver au Massif de ronces, dans la Forêt de l'est. "
2,"TEXT_JOBWHM400_01081_SEQ_02","Vous avez retrouvé A-Ruhn-Senna. Entrez en contact avec l'arbre au Massif de ronces dans la Forêt de l'est."
3,"TEXT_JOBWHM400_01081_SEQ_03","Vous avez réussi à apaiser l'arbre du Massif de ronces. Maintenant, il est temps de retourner rassurer Raya-O-Senna au camp des Sentes tranquilles."
4,"TEXT_JOBWHM400_01081_SEQ_04","Raya-O-Senna pense que son frère est prêt à vous accepter en tant que mage blanc. Il est temps de commencer à préparer le rite d'apaisement de l'esprit doyen. Continuez votre en<SoftHyphen/>traî<SoftHyphen/>ne<SoftHyphen/>ment jusqu'à ce que cela soit prêt.
* Raya-O-Senna propose la prochaine quête aux mages blancs de niveau 45."
5,"TEXT_JOBWHM400_01081_SEQ_05",""
6,"TEXT_JOBWHM400_01081_SEQ_06",""
7,"TEXT_JOBWHM400_01081_SEQ_07",""
8,"TEXT_JOBWHM400_01081_SEQ_08",""
9,"TEXT_JOBWHM400_01081_SEQ_09",""
10,"TEXT_JOBWHM400_01081_SEQ_10",""
11,"TEXT_JOBWHM400_01081_SEQ_11",""
12,"TEXT_JOBWHM400_01081_SEQ_12",""
13,"TEXT_JOBWHM400_01081_SEQ_13",""
14,"TEXT_JOBWHM400_01081_SEQ_14",""
15,"TEXT_JOBWHM400_01081_SEQ_15",""
16,"TEXT_JOBWHM400_01081_SEQ_16",""
17,"TEXT_JOBWHM400_01081_SEQ_17",""
18,"TEXT_JOBWHM400_01081_SEQ_18",""
19,"TEXT_JOBWHM400_01081_SEQ_19",""
20,"TEXT_JOBWHM400_01081_SEQ_20",""
21,"TEXT_JOBWHM400_01081_SEQ_21",""
22,"TEXT_JOBWHM400_01081_SEQ_22",""
23,"TEXT_JOBWHM400_01081_SEQ_23",""
24,"TEXT_JOBWHM400_01081_TODO_00","Parler à A-Ruhn-Senna au Massif de ronces"
