key,0,1
#,,
int32,str,str
0,"TEXT_SUBCTS101_01215_SEQ_00","Lauriane semble nerveuse, comme si elle avait eu vent d'une rumeur terrifiante."
1,"TEXT_SUBCTS101_01215_SEQ_01","Lauriane vous a fait part d'une rumeur selon laquelle une unité d'élite des Vigiles sombres serait partie explorer le Manoir des Haukke, mais n'en serait jamais revenue. Apprenant que vous faites partie des aventuriers ayant résolu une affaire de disparitions liée à cette maison hantée, elle vous a expliqué que l'ancien majordome Ursandel cherchait justement des gens pour tirer cette histoire au clair. Allez le voir à Gridania."
2,"TEXT_SUBCTS101_01215_SEQ_02","Ursandel vous a dit qu'il avait raconté la tragédie de sa maîtresse, dame Amandine, aux Vigiles sombres. Ces derniers auraient alors décidé d'inspecter le manoir pour s'assurer qu'aucun être du néant ne subsistait, mais ceux qui y ont pénétré ne donnent plus de signes de vie. Tourmenté par les remords, Ursandel est allé voir par lui-même ce qui se tramait dans la maison où il servait autrefois, et là, il a aperçu une femme à la beauté surnaturelle. Craignant qu'une créature des plus dangereuses ait pris la place de dame Amandine, il vous a supplié<If(PlayerParameter(4))>e<Else/></If> d'aller aider les Vigiles sombres à retrouver leurs camarades et d'exterminer tous les êtres du néant qui hantent le Manoir des Haukke. Commencez par aller examiner la porte de l'ancienne bâtisse. "
3,"TEXT_SUBCTS101_01215_SEQ_03","Lorsque vous avez examiné la porte du manoir, vous avez ressenti comme un appel vous invitant à y entrer... Accomplissez le donjon “Le Manoir des Haukke (brutal)” et libérez cette vieille demeure de ses démons.
* Vous pouvez utiliser l'outil de mission afin de trouver des équipiers pour relever ce défi."
4,"TEXT_SUBCTS101_01215_SEQ_04",""
5,"TEXT_SUBCTS101_01215_SEQ_05",""
6,"TEXT_SUBCTS101_01215_SEQ_06",""
7,"TEXT_SUBCTS101_01215_SEQ_07",""
8,"TEXT_SUBCTS101_01215_SEQ_08",""
9,"TEXT_SUBCTS101_01215_SEQ_09",""
10,"TEXT_SUBCTS101_01215_SEQ_10",""
11,"TEXT_SUBCTS101_01215_SEQ_11",""
12,"TEXT_SUBCTS101_01215_SEQ_12",""
13,"TEXT_SUBCTS101_01215_SEQ_13",""
14,"TEXT_SUBCTS101_01215_SEQ_14",""
15,"TEXT_SUBCTS101_01215_SEQ_15",""
