key,0,1
#,,
int32,str,str
0,"TEXT_HEAVNA610_01659_SEQ_00","Y'shtola attend votre signal pour vous montrer où se trouve la caverne de Matoya."
1,"TEXT_HEAVNA610_01659_SEQ_01","Y'shtola vous a expliqué que la caverne où vit Matoya se situe au sud de l'Arrière-pays dravanien, dans un endroit isolé. Tout ce que vous avez à faire, c'est de suivre la route dans cette direction et rejoindre vos compagnons au pied de la falaise."
2,"TEXT_HEAVNA610_01659_SEQ_02","Vous êtes arrivé<If(PlayerParameter(4))>e<Else/></If> à l'endroit que Y'shtola vous a décrit, mais vous ne voyez de caverne nulle part. Devant votre scepticisme, la Miqo'te vous a proposé de toucher la paroi de la falaise. Exécutez-vous, mais restez sur vos gardes car des sentinelles et des pièges vous attendent sûrement."
3,"TEXT_HEAVNA610_01659_SEQ_03","Tout comme Y'shtola vous l'avait prédit, des sentinelles ont tenté de vous faire rebrousser chemin, mais ces batraciens n'étaient pas de taille face à vous. Entretenez-vous avec la Miqo'te pour savoir que faire maintenant."
4,"TEXT_HEAVNA610_01659_SEQ_04","Vous êtes parvenus à l'endroit où vit Matoya. Après un bref échange de piques et quelque réminiscence du passé entre le maître et l'élève, Alphinaud a révélé à la vieille femme ermite la raison de votre visite<Indent/>: fabriquer un bélier d'éther et accéder au continent flottant d'Azys Lla. À la grande surprise de Y'shtola, Matoya a accepté d'emblée de vous aider."
5,"TEXT_HEAVNA610_01659_SEQ_05",""
6,"TEXT_HEAVNA610_01659_SEQ_06",""
7,"TEXT_HEAVNA610_01659_SEQ_07",""
8,"TEXT_HEAVNA610_01659_SEQ_08",""
9,"TEXT_HEAVNA610_01659_SEQ_09",""
10,"TEXT_HEAVNA610_01659_SEQ_10",""
11,"TEXT_HEAVNA610_01659_SEQ_11",""
12,"TEXT_HEAVNA610_01659_SEQ_12",""
13,"TEXT_HEAVNA610_01659_SEQ_13",""
14,"TEXT_HEAVNA610_01659_SEQ_14",""
15,"TEXT_HEAVNA610_01659_SEQ_15",""
16,"TEXT_HEAVNA610_01659_SEQ_16",""
17,"TEXT_HEAVNA610_01659_SEQ_17",""
18,"TEXT_HEAVNA610_01659_SEQ_18",""
19,"TEXT_HEAVNA610_01659_SEQ_19",""
20,"TEXT_HEAVNA610_01659_SEQ_20",""
