key,0,1
#,,
int32,str,str
0,"TEXT_JOBMCH540_01707_SEQ_00","Stephanivien voudrait vous parler des opérations conjointes."
1,"TEXT_JOBMCH540_01707_SEQ_01","Stephanivien a promis de participer aux opérations de sécurisation visant à éliminer les dragons sur le site de con<SoftHyphen/>struc<SoftHyphen/>tion de remparts dans les Hautes terres du Coerthas occidental. Allez le retrouver au Nid du faucon pour qu'il vous explique quoi faire."
2,"TEXT_JOBMCH540_01707_SEQ_02","Vous avez discuté avec Stephanivien. Allez voir le machiniste de Cielacier qui vous attend à Brouillasse."
3,"TEXT_JOBMCH540_01707_SEQ_03","Le machiniste voudrait que vous utilisiez votre Tir de balle sur le garde chétif à Brouillasse.
* Si Tir de balle n'est pas disponible, il est également possible de progresser dans cette quête en utilisant Tir de balle chauffé."
4,"TEXT_JOBMCH540_01707_SEQ_04","Vous n'avez pas eu besoin de menacer longtemps le garde pour qu'il vous laisse passer. Vous avez ainsi secouru le père de Joye. Vous pouvez désormais aller retrouver Rostnsthal au pont du Fer noir dans les Hautes terres du Coerthas occidental."
5,"TEXT_JOBMCH540_01707_SEQ_05","Grâce à vous, les opérations conjointes ont été couronnées de succès<Indent/>! Il ne vous reste plus qu'à aller parler à Stephanivien."
6,"TEXT_JOBMCH540_01707_SEQ_06","Le retour de Joye à la manufacture fut accueilli à bras ouverts par son directeur. En guise de célébration, Joye souhaiterait tirer quelques coups de feu. Gare à ceux qui oseraient la contrarier. Retournez à la manufacture de Cielacier et adressez-vous à Stephanivien."
7,"TEXT_JOBMCH540_01707_SEQ_07","Il ne fait aucun doute que votre victoire aux côtés de la maison Dzemael améliorera la réputation des machinistes, mais ne vous reposez pas sur vos lauriers, car Tedalgrinche n'en a sans doute pas fini avec vous. Préparez-vous aux combats qui vous attendent en vous entraînant à utiliser votre toute nouvelle technique<Indent/>!
Stephanivien propose la prochaine quête aux machinistes de niveau 56."
8,"TEXT_JOBMCH540_01707_SEQ_08",""
9,"TEXT_JOBMCH540_01707_SEQ_09",""
10,"TEXT_JOBMCH540_01707_SEQ_10",""
11,"TEXT_JOBMCH540_01707_SEQ_11",""
12,"TEXT_JOBMCH540_01707_SEQ_12",""
13,"TEXT_JOBMCH540_01707_SEQ_13",""
14,"TEXT_JOBMCH540_01707_SEQ_14",""
