key,0,1
#,,
int32,str,str
0,"TEXT_CLSCUL502_02043_SEQ_00","Lyngsath souhaite mettre vos talents de cuistot à l'épreuve."
1,"TEXT_CLSCUL502_02043_SEQ_01","Le maître d'hôtel du Membre manquant veut embaucher le meilleur cuisinier de la guilde. La raison<Indent/>? Vous l'ignorez<Indent/>; le chef Lyngsath ayant préféré vous laisser la surprise de la découverte. Allez au Membre manquant et parlez à la Lalafelle nommée Melkoko."
2,"TEXT_CLSCUL502_02043_SEQ_02","Melkoko vous a parlé du Dellemont d'Or, un concours culinaire prestigieux dont la dernière édition a été remportée par H'mhasi Tia, le chef cuisinier du Membre manquant. Parlez avec ce Miqo'te pour faire plus ample con<SoftHyphen/>nais<SoftHyphen/>san<SoftHyphen/>ce."
3,"TEXT_CLSCUL502_02043_SEQ_03","H'mhasi Tia vous a fait comprendre ce que Melkoko a voulu dire par “sa victoire a un goût amer”. Retournez parler au petit maître d'hôtel."
4,"TEXT_CLSCUL502_02043_SEQ_04","Melkoko veut que vous participiez au Dellemont d'Or afin que H'mhasi Tia comprenne qu'on peut toujours trouver meilleur cuisinier que soi. Con<SoftHyphen/>trai<SoftHyphen/>re<SoftHyphen/>ment à ce que semble penser la Lalafelle, la tâche ne sera cer<SoftHyphen/>tai<SoftHyphen/>ne<SoftHyphen/>ment pas aisée...
* Melkoko propose la prochaine quête aux cuisiniers de niveau 53."
5,"TEXT_CLSCUL502_02043_SEQ_05",""
6,"TEXT_CLSCUL502_02043_SEQ_06",""
7,"TEXT_CLSCUL502_02043_SEQ_07",""
8,"TEXT_CLSCUL502_02043_SEQ_08",""
9,"TEXT_CLSCUL502_02043_SEQ_09",""
10,"TEXT_CLSCUL502_02043_SEQ_10",""
11,"TEXT_CLSCUL502_02043_SEQ_11",""
12,"TEXT_CLSCUL502_02043_SEQ_12",""
13,"TEXT_CLSCUL502_02043_SEQ_13",""
14,"TEXT_CLSCUL502_02043_SEQ_14",""
15,"TEXT_CLSCUL502_02043_SEQ_15",""
16,"TEXT_CLSCUL502_02043_SEQ_16",""
17,"TEXT_CLSCUL502_02043_SEQ_17",""
18,"TEXT_CLSCUL502_02043_SEQ_18",""
19,"TEXT_CLSCUL502_02043_SEQ_19",""
20,"TEXT_CLSCUL502_02043_SEQ_20",""
