key,0,1
#,,
int32,str,str
0,"TEXT_HEAVNY203_02116_SEQ_00","Unukalhai veut que vous empêchiez le Primordial Ravana de commettre davantage de dégâts en le pourfendant une nouvelle fois."
1,"TEXT_HEAVNY203_02116_SEQ_01","Unukalhai vous a invité<If(PlayerParameter(4))>e<Else/></If> à empêcher le Primordial Ravana de commettre davantage de dégâts en le pourfendant une nouvelle fois. Pour ce faire, il vous a donné <SheetFr(EventItem,1,2001811,1,1)/>. Rendez-vous à Loth ast Vath, dans l'Avant-pays dravanien, et parlez au conteur des Vathes."
2,"TEXT_HEAVNY203_02116_SEQ_02","Le conteur des Vathes vous a indiqué que pour affronter le Maître des lames, vous alliez devoir toucher l'éthérite primitive des Gnathes qui se trouve au sein de Spéos, à Loth ast Gnath."
3,"TEXT_HEAVNY203_02116_SEQ_03","Vous avez atteint l'éthérite primitive des Gnathes. Punissez Ravana pour sa soif de pouvoir démesurée en compagnie d'autres aventuriers<Indent/>!
* Vous pouvez utiliser l'outil de mission afin de trouver des équipiers pour relever ce défi."
4,"TEXT_HEAVNY203_02116_SEQ_04","Vous avez renvoyé le Primordial à l'éther d'où il n'aurait jamais dû sortir. Retournez auprès du conteur des Vathes, à Loth ast Vath."
5,"TEXT_HEAVNY203_02116_SEQ_05","Le conteur des Vathes était ravi de vous voir revenir <If(PlayerParameter(4))>saine et sauve<Else/>sain et sauf</If>. Il en sera cer<SoftHyphen/>tai<SoftHyphen/>ne<SoftHyphen/>ment de même pour Unukalhai, au Refuge des roches."
6,"TEXT_HEAVNY203_02116_SEQ_06","En apprenant la nouvelle, Unukalhai vous a dit qu'il avait senti l'éther de Ravana retourner dans la terre nourricière et vous a félicité<If(PlayerParameter(4))>e<Else/></If> pour votre bravoure."
7,"TEXT_HEAVNY203_02116_SEQ_07",""
8,"TEXT_HEAVNY203_02116_SEQ_08",""
9,"TEXT_HEAVNY203_02116_SEQ_09",""
10,"TEXT_HEAVNY203_02116_SEQ_10",""
11,"TEXT_HEAVNY203_02116_SEQ_11",""
12,"TEXT_HEAVNY203_02116_SEQ_12",""
13,"TEXT_HEAVNY203_02116_SEQ_13",""
14,"TEXT_HEAVNY203_02116_SEQ_14",""
15,"TEXT_HEAVNY203_02116_SEQ_15",""
