key,0,1
#,,
int32,str,str
0,"TEXT_STMBDA320_02496_SEQ_00","Yugiri est décidée à libérer les villageois par la force."
1,"TEXT_STMBDA320_02496_SEQ_01",""
2,"TEXT_STMBDA320_02496_SEQ_02",""
3,"TEXT_STMBDA320_02496_SEQ_03",""
4,"TEXT_STMBDA320_02496_SEQ_04",""
5,"TEXT_STMBDA320_02496_SEQ_05",""
6,"TEXT_STMBDA320_02496_SEQ_06",""
7,"TEXT_STMBDA320_02496_SEQ_07",""
8,"TEXT_STMBDA320_02496_SEQ_08",""
9,"TEXT_STMBDA320_02496_SEQ_09",""
10,"TEXT_STMBDA320_02496_SEQ_10",""
11,"TEXT_STMBDA320_02496_SEQ_11",""
12,"TEXT_STMBDA320_02496_SEQ_12",""
13,"TEXT_STMBDA320_02496_SEQ_13",""
14,"TEXT_STMBDA320_02496_SEQ_14",""
15,"TEXT_STMBDA320_02496_SEQ_15",""
16,"TEXT_STMBDA320_02496_SEQ_16",""
17,"TEXT_STMBDA320_02496_SEQ_17",""
18,"TEXT_STMBDA320_02496_SEQ_18",""
19,"TEXT_STMBDA320_02496_SEQ_19",""
20,"TEXT_STMBDA320_02496_SEQ_20",""
21,"TEXT_STMBDA320_02496_SEQ_21",""
22,"TEXT_STMBDA320_02496_SEQ_22",""
23,"TEXT_STMBDA320_02496_SEQ_23",""
24,"TEXT_STMBDA320_02496_TODO_00","Observer les environs à l'endroit indiqué"
25,"TEXT_STMBDA320_02496_TODO_01","Parler à Yugiri"
26,"TEXT_STMBDA320_02496_TODO_02","Obtenir l'uniforme d'un soldat endormi"
27,"TEXT_STMBDA320_02496_TODO_03","Parler à Yugiri"
28,"TEXT_STMBDA320_02496_TODO_04","Faire <Emphasis>/salutimp</Emphasis> aux gardes, en uniforme"
29,"TEXT_STMBDA320_02496_TODO_05","Parler à Yugiri"
30,"TEXT_STMBDA320_02496_TODO_06","Libérer les Domiens"
31,"TEXT_STMBDA320_02496_TODO_07",""
32,"TEXT_STMBDA320_02496_TODO_08",""
33,"TEXT_STMBDA320_02496_TODO_09",""
34,"TEXT_STMBDA320_02496_TODO_10",""
35,"TEXT_STMBDA320_02496_TODO_11",""
36,"TEXT_STMBDA320_02496_TODO_12",""
37,"TEXT_STMBDA320_02496_TODO_13",""
