key,0,1
#,,
int32,str,str
0,"TEXT_STMBDZ704_02807_SEQ_00","L'Intrépide timoré cherche quelqu'un pour le remplacer à l'en<SoftHyphen/>traî<SoftHyphen/>ne<SoftHyphen/>ment."
1,"TEXT_STMBDZ704_02807_SEQ_01",""
2,"TEXT_STMBDZ704_02807_SEQ_02",""
3,"TEXT_STMBDZ704_02807_SEQ_03",""
4,"TEXT_STMBDZ704_02807_SEQ_04",""
5,"TEXT_STMBDZ704_02807_SEQ_05",""
6,"TEXT_STMBDZ704_02807_SEQ_06",""
7,"TEXT_STMBDZ704_02807_SEQ_07",""
8,"TEXT_STMBDZ704_02807_SEQ_08",""
9,"TEXT_STMBDZ704_02807_SEQ_09",""
10,"TEXT_STMBDZ704_02807_SEQ_10",""
11,"TEXT_STMBDZ704_02807_SEQ_11",""
12,"TEXT_STMBDZ704_02807_SEQ_12",""
13,"TEXT_STMBDZ704_02807_SEQ_13",""
14,"TEXT_STMBDZ704_02807_SEQ_14",""
15,"TEXT_STMBDZ704_02807_SEQ_15",""
16,"TEXT_STMBDZ704_02807_SEQ_16",""
17,"TEXT_STMBDZ704_02807_SEQ_17",""
18,"TEXT_STMBDZ704_02807_SEQ_18",""
19,"TEXT_STMBDZ704_02807_SEQ_19",""
20,"TEXT_STMBDZ704_02807_SEQ_20",""
21,"TEXT_STMBDZ704_02807_SEQ_21",""
22,"TEXT_STMBDZ704_02807_SEQ_22",""
23,"TEXT_STMBDZ704_02807_SEQ_23",""
24,"TEXT_STMBDZ704_02807_TODO_00","Parler à l'Intrépide timoré"
25,"TEXT_STMBDZ704_02807_TODO_01","Parler à l'Intrépide rompu au combat, le vaincre puis utiliser <SheetFr(EventItem,2,2002303,1,1)/>"
26,"TEXT_STMBDZ704_02807_TODO_02","Parler à l'Intrépide timoré"
27,"TEXT_STMBDZ704_02807_TODO_03","Parler à l'Intrépide timoré"
28,"TEXT_STMBDZ704_02807_TODO_04",""
29,"TEXT_STMBDZ704_02807_TODO_05",""
30,"TEXT_STMBDZ704_02807_TODO_06",""
31,"TEXT_STMBDZ704_02807_TODO_07",""
32,"TEXT_STMBDZ704_02807_TODO_08",""
33,"TEXT_STMBDZ704_02807_TODO_09",""
34,"TEXT_STMBDZ704_02807_TODO_10",""
