key,0,1
#,,
int32,str,str
0,"TEXT_BANKJN601_02997_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>Règle spéciale<Indent/>:  synchronisation de quête avec limitation de job ou de classe<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
<Emphasis>Il n'est possible de progresser dans cette quête qu'avec la classe ou le job qui a servi à la commencer.</Emphasis>

Zukin fait une fixette sur les gros coquillages."
1,"TEXT_BANKJN601_02997_SEQ_01",""
2,"TEXT_BANKJN601_02997_SEQ_02",""
3,"TEXT_BANKJN601_02997_SEQ_03",""
4,"TEXT_BANKJN601_02997_SEQ_04",""
5,"TEXT_BANKJN601_02997_SEQ_05",""
6,"TEXT_BANKJN601_02997_SEQ_06",""
7,"TEXT_BANKJN601_02997_SEQ_07",""
8,"TEXT_BANKJN601_02997_SEQ_08",""
9,"TEXT_BANKJN601_02997_SEQ_09",""
10,"TEXT_BANKJN601_02997_SEQ_10",""
11,"TEXT_BANKJN601_02997_SEQ_11",""
12,"TEXT_BANKJN601_02997_SEQ_12",""
13,"TEXT_BANKJN601_02997_SEQ_13",""
14,"TEXT_BANKJN601_02997_SEQ_14",""
15,"TEXT_BANKJN601_02997_SEQ_15",""
16,"TEXT_BANKJN601_02997_SEQ_16",""
17,"TEXT_BANKJN601_02997_SEQ_17",""
18,"TEXT_BANKJN601_02997_SEQ_18",""
19,"TEXT_BANKJN601_02997_SEQ_19",""
20,"TEXT_BANKJN601_02997_SEQ_20",""
21,"TEXT_BANKJN601_02997_SEQ_21",""
22,"TEXT_BANKJN601_02997_SEQ_22",""
23,"TEXT_BANKJN601_02997_SEQ_23",""
24,"TEXT_BANKJN601_02997_TODO_00","Récupérer <SheetFr(EventItem,2,2002418,2,1)/> dans les oshakogai"
25,"TEXT_BANKJN601_02997_TODO_01","Donner <SheetFr(EventItem,2,2002418,2,1)/> à Zukin"
26,"TEXT_BANKJN601_02997_TODO_02",""
27,"TEXT_BANKJN601_02997_TODO_03",""
28,"TEXT_BANKJN601_02997_TODO_04",""
29,"TEXT_BANKJN601_02997_TODO_05",""
30,"TEXT_BANKJN601_02997_TODO_06",""
31,"TEXT_BANKJN601_02997_TODO_07",""
32,"TEXT_BANKJN601_02997_TODO_08",""
33,"TEXT_BANKJN601_02997_TODO_09",""
34,"TEXT_BANKJN601_02997_TODO_10",""
35,"TEXT_BANKJN601_02997_TODO_11",""
36,"TEXT_BANKJN601_02997_TODO_12",""
37,"TEXT_BANKJN601_02997_TODO_13",""
38,"TEXT_BANKJN601_02997_TODO_14",""
39,"TEXT_BANKJN601_02997_TODO_15",""
40,"TEXT_BANKJN601_02997_TODO_16",""
41,"TEXT_BANKJN601_02997_TODO_17",""
42,"TEXT_BANKJN601_02997_TODO_18",""
43,"TEXT_BANKJN601_02997_TODO_19",""
44,"TEXT_BANKJN601_02997_TODO_20",""
45,"TEXT_BANKJN601_02997_TODO_21",""
46,"TEXT_BANKJN601_02997_TODO_22",""
47,"TEXT_BANKJN601_02997_TODO_23",""
48,"TEXT_BANKJN601_02997_ZUKIN_000_000","<Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>, as-tu déjà entendu parler des oshakogaiiii<Indent/>? Ces coquillages sont tellement voraces qu'ils dévorent tout ce qui leur passe sous le nez, ou plutôt la coquiiiille."
49,"TEXT_BANKJN601_02997_ZUKIN_000_001","Va donc trouver quatre d'entre eux non loin d'ici et rapporte-moi <SheetFr(EventItem,2,2002418,2,1)/> qu'ils contieeeennent. Fais attention à ne pas trop te salir les maiiiins<Indent/>!"
50,"TEXT_BANKJN601_02997_ZUKIN_000_020","Eh bien, ces oshakogaiiii<Indent/>? Gluants à souhait, pas vraiiii<Indent/>?"
51,"TEXT_BANKJN601_02997_ZUKIN_000_021","Parfaiiiit<Indent/>! Lorsque ces coquillages avalent des débris, ceux-ci se transforment en perles très rapidemeeeent. Même si elles n'ont pas beaucoup de valeur, elles sont toujours bonnes à preeeendre."
52,"TEXT_BANKJN601_02997_ZUKIN_000_022","Sans oublier les pièces de monnaie et autres petits trésors qu'ils avalent goulûment de temps à autre, hé héééé<Indent/>!"
