key,0,1
#,,
int32,str,str
0,"TEXT_BANNAM006_03102_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>Règle spéciale<Indent/>:  synchronisation de quête avec limitation de job ou de classe<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

Gyoshin a l'air perdu dans ses pensées."
1,"TEXT_BANNAM006_03102_SEQ_01","* <Emphasis>Cette quête est <UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow> synchronisée<UIGlow>01</UIGlow><UIForeground>01</UIForeground> avec votre niveau.</Emphasis>
* <Emphasis>Il n'est possible de progresser dans cette quête qu'avec la classe ou le job qui a servi à la commencer.</Emphasis>

Gyoshin a reçu des kakis de la part de Gyorin, et il a décidé d'aller les partager avec les Xaela pour les remercier d'avoir partagé leurs traditions festives avec la grande frairie namazu. Commencez par vous rendre à Dotharl Khaa, dans la Steppe d'Azim, et parlez à Sadu."
2,"TEXT_BANNAM006_03102_SEQ_02","Gyoshin a remis les kakis à Sadu, qui a accepté le présent tout en promettant de le partager avec les membres de son peuple. Accompagnez maintenant votre ami Namazu jusqu'au Trône de l'Aube, dans la Steppe d'Azim, et parlez à Magnai."
3,"TEXT_BANNAM006_03102_SEQ_03","Peu im<SoftHyphen/>pres<SoftHyphen/>sion<SoftHyphen/>né par Magnai, Gyoshin lui a offert ses kakis. Malgré sa mauvaise humeur coutumière, l'imposant Ao Ra lui a en échange donné sa bénédiction pour la grande frairie namazu. Il est temps désormais de visiter Mol Iloh pour parler à Cirina."
4,"TEXT_BANNAM006_03102_SEQ_04","Malgré sa peur de finir en brochette, Gyoshin est parvenu à faire don de ses kakis à Cirina. Ravie, cette dernière lui a appris que la grande frairie namazu connaissait aussi un grand succès auprès des enfants mol. Retournez à Dhoro Iloh et parlez à Gyoshin."
5,"TEXT_BANNAM006_03102_SEQ_05","Après vous avoir demandé votre avis sur la grande frairie, et si vous pensiez qu'elle allait réussir à sauver les Namazu de l'extinction, Gyoshin vous a avoué que quoi qu'il arrive, il était heureux de vous avoir <If(PlayerParameter(4))>rencontrée<Else/>rencontré</If>. Pour lui, c'est l'artisanat qui donne un sens à sa vie, et sa passion pour la création l'encourage à toujours aller de l'avant. Pour illustrer son propos, il vous a offert un grelot façonné par ses soins, la preuve que vous êtes désormais un membre à part entière de son peuple. Le défi de la grande frairie namazu a été relevé, et nul doute que Gyoshin et ses amis sauront en faire un succès pendant les sept prochaines années."
6,"TEXT_BANNAM006_03102_SEQ_06",""
7,"TEXT_BANNAM006_03102_SEQ_07",""
