key,0,1
#,,
int32,str,str
0,"TEXT_STMBDY321_03152_SEQ_00","Bunchin a quelque chose à vous remettre."
1,"TEXT_STMBDY321_03152_SEQ_01","Bunchin vous a remis une nouvelle lettre de la part de Genbu, dans laquelle celui-ci vous demande de le retrouver dès que possible au sanctuaire Reisen. Allez-y sans plus tarder."
2,"TEXT_STMBDY321_03152_SEQ_02","Le réveil d'Ôryû semble proche, et Genbu vous a demandé d'apaiser l'aramitama du prochain Zuijû, à savoir Suzaku, l'Oiseau vermillon. Allez lui parler."
3,"TEXT_STMBDY321_03152_SEQ_03","En discutant avec Suzaku, vous avez appris qu'elle était jadis tombée follement amoureuse de Tenzen. Sa colère inquiète beaucoup Byakko et Genbu, et ils comptent sur vous pour l'apaiser au plus vite. Libérez-la de l'emprise de son aramitama en ac<SoftHyphen/>com<SoftHyphen/>plis<SoftHyphen/>sant le défi “Le Nid des Lamentations”<Indent/>!
* Vous pouvez utiliser l'outil de mission afin de trouver des équipiers pour relever ce défi."
4,"TEXT_STMBDY321_03152_SEQ_04","L'aramitama de Suzaku ne la troublera plus jusqu'à nouvel ordre."
5,"TEXT_STMBDY321_03152_SEQ_05","L'Oiseau vermillon en a profité pour vous raconter ce qu'elle a vécu aux côtés de Tenzen. Sa renaissance va lui permettre de se consacrer désormais à protéger ceux qui lui sont chers. Parlez à Genbu."
6,"TEXT_STMBDY321_03152_SEQ_06","Alors que Genbu vous parlait, un objet volant non identifié est tout à coup apparu dans le ciel comme par enchantement<Indent/>! Ce n'était nul autre que le pauvre Soroban, métamorphosé en tortue géante à la suite d'un en<SoftHyphen/>traî<SoftHyphen/>ne<SoftHyphen/>ment quelque peu raté... Mal<SoftHyphen/>heu<SoftHyphen/>reu<SoftHyphen/>se<SoftHyphen/>ment, vous ne pouvez rien faire pour lui à l'heure qu'il est, et il va donc devoir supporter sa nouvelle enveloppe charnelle un certain temps. Retournez à Tamamizu et parlez à Bunchin."
7,"TEXT_STMBDY321_03152_SEQ_07","Le patriarche des Verts est on ne peut plus inquiet pour Soroban, mais il sait qu'il pourra compter sur vous pour arranger la situation. Il ne vous reste plus qu'à attendre que Genbu vous contacte."
8,"TEXT_STMBDY321_03152_SEQ_08",""
9,"TEXT_STMBDY321_03152_SEQ_09",""
