0,TEXT_LUCKLA403_03238_SEQ_00,Qeshi-Rae est parée pour un long voyage.
1,TEXT_LUCKLA403_03238_SEQ_01,"L'étude approfondie du morceau de peau que vous avez rapporté d'Il Mheg a permis à Yalana d'identifier l'île de Kholusia comme l'habitat naturel des simouns, et de comprendre le procédé qui leur permet de se soustraire au regard des hommes. Si Qeshi-Rae a son idée sur la façon de déjouer leur camouflage, elle vous somme pour l'heure de vous rendre sur place. Retrouvez-la au nord-est du plateau aux Rocs."
2,TEXT_LUCKLA403_03238_SEQ_02,"Qeshi-Rae vous a chargée d'aller récolter , afin qu'elle puisse fabriquer la poudre antimirage qui lui permettra de dissiper le camouflage magique des simouns. Vous trouverez cet ingrédient près du plateau aux Rocs."
3,TEXT_LUCKLA403_03238_SEQ_03,"Qeshi-Rae a pu fabriquer sa poudre antimirage comme prévu. Pour vous remercier de votre aide, elle vous a accordé l'insigne privilège de la répandre. Exécutez-vous à l'endroit indiqué."
4,TEXT_LUCKLA403_03238_SEQ_04,"Vous avez jeté la poudre aux quatre vents, c'est alors qu'est apparu sous vos yeux ébahis... un troupeau entier de simouns, comprenant des adultes mais aussi des petits ! Qeshi-Rae a supposé que leur saison des amours battait son plein, ce qui ex­pli­que­rait pourquoi le spécimen aperçu en Il Mheg s'était défait de son camouflage. Par peur d'effrayer inutilement le troupeau, la scien­ti­fi­que a préféré suspendre ses in­ves­ti­ga­tions pour l'instant. Retrouvez-la à la halle du Juste, à Cristarium, en compagnie de Yalana et de Mao-Ladd."
5,TEXT_LUCKLA403_03238_SEQ_05,"Qeshi-Rae s'est félicitée du succès de votre excursion scien­ti­fi­que à Kholusia. Si les simouns n'ont pas encore livré tous leurs secrets, elle vous a en tout cas assuré qu'elle ferait tout son possible pour préserver leur habitat naturel. Pour finir, elle vous a déchargée de votre mission de simounologue, tout en vous demandant de lui rapporter les éventuelles rumeurs que vous entendrez au sujet d'animaux ou de minerais inédits. Yalana n'a pas fini de lui courir après..."
6,TEXT_LUCKLA403_03238_SEQ_06,
7,TEXT_LUCKLA403_03238_SEQ_07,
8,TEXT_LUCKLA403_03238_SEQ_08,
9,TEXT_LUCKLA403_03238_SEQ_09,
10,TEXT_LUCKLA403_03238_SEQ_10,
11,TEXT_LUCKLA403_03238_SEQ_11,
12,TEXT_LUCKLA403_03238_SEQ_12,
13,TEXT_LUCKLA403_03238_SEQ_13,
14,TEXT_LUCKLA403_03238_SEQ_14,
15,TEXT_LUCKLA403_03238_SEQ_15,
16,TEXT_LUCKLA403_03238_SEQ_16,
17,TEXT_LUCKLA403_03238_SEQ_17,
18,TEXT_LUCKLA403_03238_SEQ_18,
19,TEXT_LUCKLA403_03238_SEQ_19,
20,TEXT_LUCKLA403_03238_SEQ_20,
21,TEXT_LUCKLA403_03238_SEQ_21,
22,TEXT_LUCKLA403_03238_SEQ_22,
23,TEXT_LUCKLA403_03238_SEQ_23,
24,TEXT_LUCKLA403_03238_TODO_00,"Parler à Qeshi-Rae, au nord-est du plateau aux Rocs"
25,TEXT_LUCKLA403_03238_TODO_01,Récolter 
26,TEXT_LUCKLA403_03238_TODO_02,Utiliser la poudre antimirage à l'endroit indiqué
27,TEXT_LUCKLA403_03238_TODO_03,"Parler à Qeshi-Rae, à la halle du Juste"
28,TEXT_LUCKLA403_03238_TODO_04,
29,TEXT_LUCKLA403_03238_TODO_05,
30,TEXT_LUCKLA403_03238_TODO_06,
31,TEXT_LUCKLA403_03238_TODO_07,
32,TEXT_LUCKLA403_03238_TODO_08,
33,TEXT_LUCKLA403_03238_TODO_09,
34,TEXT_LUCKLA403_03238_TODO_10,
35,TEXT_LUCKLA403_03238_TODO_11,
36,TEXT_LUCKLA403_03238_TODO_12,
37,TEXT_LUCKLA403_03238_TODO_13,
38,TEXT_LUCKLA403_03238_TODO_14,
39,TEXT_LUCKLA403_03238_TODO_15,
40,TEXT_LUCKLA403_03238_TODO_16,
41,TEXT_LUCKLA403_03238_TODO_17,
42,TEXT_LUCKLA403_03238_TODO_18,
43,TEXT_LUCKLA403_03238_TODO_19,
44,TEXT_LUCKLA403_03238_TODO_20,
45,TEXT_LUCKLA403_03238_TODO_21,
46,TEXT_LUCKLA403_03238_TODO_22,
47,TEXT_LUCKLA403_03238_TODO_23,
48,TEXT_LUCKLA403_03238_SYSTEM_000_900,Il est nécessaire de terminer la quête de l'épopée “La grande ascension” pour progresser dans celle-ci.
49,TEXT_LUCKLA403_03238_QESHIRAE_000_000,"Ah, on attendait plus que toi ! Allez hop, en rrroute pour Kholusia !"
50,TEXT_LUCKLA403_03238_YALANA_000_001,"Si vous voulez qu'elle nous suive, la moindre des choses serait de lui expliquer le pourquoi du comment !"
51,TEXT_LUCKLA403_03238_YALANA_000_002,"Bon, je m'en charge... Player, vous vous souvenez du morceau de peau d'Il Mheg ? Son étude nous a permis d'identifier l'habitat naturel du simoun, et nous souhaitons à présent confirmer cette hypothèse sur le terrain."
52,TEXT_LUCKLA403_03238_YALANA_000_003,"En fait, nous avons remarqué en laboratoire que toute la surface de l'exuvie était recouverte de sel, et donc que le simoun avait pro­ba­ble­ment traversé la mer pour une raison ou une autre."
53,TEXT_LUCKLA403_03238_YALANA_000_004,"Vous l'aurez deviné, il n'existe qu'un seul bout de terre entouré d'eau assez grand pour permettre à une créature géante d'y vivre... l'île de Kholusia !"
54,TEXT_LUCKLA403_03238_QESHIRAE_000_005,Et c'est pas tout ! On a aussi découverrrt la raison pour laquelle les simouns sont aussi insaisissables... et c'est pas banal !
55,TEXT_LUCKLA403_03238_QESHIRAE_000_006,"L'exuvie comportait des éléments ressemblant à des cristaux... Sa structure s'apparentait à celle des prismes mirage, ces fameux bidules que je ne sais plus quelle amie de l'exarque a intrrroduits dans la cité !"
56,TEXT_LUCKLA403_03238_QESHIRAE_000_007,"Un prisme mirage, ça permet de prrrojeter une illusion sur un objet. Eh ben, on peut penser que les simouns font pareil, mais sur eux-mêmes !"
57,TEXT_LUCKLA403_03238_MAOLADD_000_008,"Vous imaginez, l'énergie magique qu'il faut pour dissimuler un corps aussi énorrrme !? Qu'un animal y parvienne, c'est tout bonnement inouï !"
58,TEXT_LUCKLA403_03238_QESHIRAE_000_009,Je te le fais pas dirrre ! La solution serait de dissiper leurs illusions à l'aide d'une poudre spéciale. Il suffirait d'en répandre dans l'air de leur habitat naturel pour les révéler au grand jour !
59,TEXT_LUCKLA403_03238_QESHIRAE_000_010,"L'ennui, c'est qu'on va devoirrr fabriquer cette fameuse poudre sur place, à l'aide d'un ingrédient qu'on trouve pas ici. Il va falloir s'y atteler en parallèle de nos recherches... Ça en fait du boulot, pour les simounologues !"
60,TEXT_LUCKLA403_03238_QESHIRAE_000_011,"Bah, on pourra en rediscuter une fois à Kholusia. Ne perdons pas de temps ici, je tiens à me rapprocher de ces charrrmantes bébêtes au plus vite, gnéhéhé !"
61,TEXT_LUCKLA403_03238_YALANA_000_015,"Sans ce fameux fragment de peau, la possibilité qu'un simoun ait traversé la mer ne m'aurait même pas effleuré l'esprit..."
62,TEXT_LUCKLA403_03238_MAOLADD_000_016,"Ça y est, nous sommes sur la terre des simouns ! Si ça se trrrouve, ils sont à côté de nous en ce moment même !"
63,TEXT_LUCKLA403_03238_QESHIRAE_000_020,"Bien, bien, bien... Si je dis pas de bêtises, il devrait y avoir du sable éthéréen de la pénombre de bonne qualité dans les parages. C'est l'ingrrrédient qu'il faut pour concocter de la poudre antimirage !"
64,TEXT_LUCKLA403_03238_QESHIRAE_000_021,"Player, je te charge de m'en rrrapporter. Je fabriquerai la poudre moi-même."
65,TEXT_LUCKLA403_03238_QESHIRAE_000_022,"En attendant, Yalana, Mao-Ladd et moi, on va essayer de trouver le lieu de vie des simouns ! C'est la partie que je préfèrrre, gnéhéhé !"
66,TEXT_LUCKLA403_03238_YALANA_000_026,"Invisibles ou pas, les simouns ont forcément laissé des traces... Le tout est d'ouvrir l'œil, et le bon !"
67,TEXT_LUCKLA403_03238_YALANA_000_027,"On va passer la zone au peigne fin. Vous, allez récolter du sable éthéréen de la pénombre !"
68,TEXT_LUCKLA403_03238_MAOLADD_000_028,"Une question me turrrlupine... En Il Mheg, comment se fait-il qu'on ait pu voir un simoun sans utiliser de poudre antimirage ?"
69,TEXT_LUCKLA403_03238_QESHIRAE_000_030,"Alors, ce sable éthéréen, ça vient ? Je veux pas rrrater mon rendez-vous avec les simouns ! "
70,TEXT_LUCKLA403_03238_QESHIRAE_000_031,"La quantité est là, la qualité aussi... Ouais, ça va le fairrre ! Laisse-moi juste deux minutes que je prépare la poudre antimirage !"
71,TEXT_LUCKLA403_03238_QESHIRAE_000_032,... Terminé ! Je savais bien que mon petit bagage en alchimie finirait par me servirrr.
72,TEXT_LUCKLA403_03238_QESHIRAE_000_033,"Bon, j'avoue que tu m'as bien aidée en me ramenant un bon ingrédient. Ça me fait penser que je crrracherais pas sur une nana comme toi à l'association des naturalistes..."
73,TEXT_LUCKLA403_03238_Q1_000_000,Que répondez-vous ?
74,TEXT_LUCKLA403_03238_Q1_000_001,"Si c'est une invitation, pourquoi pas."
75,TEXT_LUCKLA403_03238_Q1_000_002,"Merci, mais non merci..."
76,TEXT_LUCKLA403_03238_QESHIRAE_000_034,"C'est mon jourrr de chance on dirait ! ... Ah, mais si je t'engage pour moi toute seule, les autres risquent d'être jaloux..."
77,TEXT_LUCKLA403_03238_QESHIRAE_000_035,"Je te vois tout le temps en train de courir à gauche, à droite dans la cité... Et malgré ça, tu trouves quand même le temps de nous filer un coup de main. C'est gentil de ta parrrt."
78,TEXT_LUCKLA403_03238_QESHIRAE_000_036,"OK, j'insiste pas. C'est vrai qu'avec tous les talents que t'as, ce serait dommage de t'enferrrmer dans un seul travail."
79,TEXT_LUCKLA403_03238_QESHIRAE_000_037,"Y a qu'à voir les animaux ; s'ils sont tous aussi beaux, c'est bien parce qu'ils vivent sans entrrrave... Alors je t'en veux pas de tenir à ta liberté l"
80,TEXT_LUCKLA403_03238_QESHIRAE_000_038,"Tiens, je voudrais que ce soit toi qui fasses apparaître les simouns. Mon instinct me dit qu'il y en a dans le coin... Vas-y, balance la poudrrre !"
81,TEXT_LUCKLA403_03238_QESHIRAE_000_040,"Allez, dépêche-toi de rrrépandre la poudre antimirage ! Fais-le d'ici pour que le vent la dissémine le plus loin possible."
82,TEXT_LUCKLA403_03238_YALANA_000_041,"J'ai trouvé des bouts de griffe, tout à l'heure ! Les simouns sont par ici, c'est sûr et certain !"
83,TEXT_LUCKLA403_03238_MAOLADD_000_042,"... J'ai l'impression de sentirrr leur présence, pas vous ? Les simouns peuvent tromper notre vue, mais pas notre ouïe ni notre odorat."
84,TEXT_LUCKLA403_03238_MAOLADD_000_043,"Ils pourraient bien être à l'origine des phénomènes étranges qu'on nous a rapportés ; de ces courants d'air chaud qui soufflent d'on ne sait où, ou de ces grosses flaques d'eau qui se forrrment spontanément..."
85,TEXT_LUCKLA403_03238_MAOLADD_000_050,"... L-là-bas, regarrrdez !"
86,TEXT_LUCKLA403_03238_QESHIRAE_000_051,Je le savais ! Ils existent... Les simouns existent vrrraiment ! Et ils sont encore plus grands que je l'avais imaginé !
87,TEXT_LUCKLA403_03238_YALANA_000_052,La poudre antimirage a fonctionné comme prévu... Ça veut dire qu'ils se camouflaient bel et bien à l'aide d'illusions !
88,TEXT_LUCKLA403_03238_QESHIRAE_000_053,"Eh oui ! C'est fou, il y a même des petits ! Se pourrait-il... qu'on ait découvert leur lieu de reprrroduction !? Vu l'éloignement de cette île, ce serait une hypothèse tout à fait plausible !"
89,TEXT_LUCKLA403_03238_QESHIRAE_000_054,Notez qu'ils arrivent à progresser en troupeau sans se voirrr... Ils doivent cer­tai­ne­ment communiquer sur des fréquences inaudibles pour l'oreille humaine !
90,TEXT_LUCKLA403_03238_MAOLADD_000_055,"Si je comprends bien, le simoun que j'ai vu en Il Mheg avait abandonné son camouflage ? C'est tout de même étrrrange, surtout si vous me dites qu'ils peuvent par­fai­te­ment vivre en restant invisibles..."
91,TEXT_LUCKLA403_03238_QESHIRAE_000_056,"À propos de ça... J'ai ma petite idée sur la question, mais vous risquez de me rirrre au nez..."
92,TEXT_LUCKLA403_03238_QESHIRAE_000_057,À mon avis... ce simoun était amourrreux !
