key,0,1
#,,
int32,str,str
0,"TEXT_LUCKZD104_03430_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>Règle spéciale<Indent/>:  synchronisation de quête<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Tonatiuh vous attend pour aller récupérer la loupiote féérique."
1,"TEXT_LUCKZD104_03430_SEQ_01","<Emphasis>Cette quête est <UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow> synchronisée<UIGlow>01</UIGlow><UIForeground>01</UIForeground> avec votre niveau.</Emphasis>

Tonatiuh s'est dirigé vers Lydha Lran pour demander aux Pixies de lui donner une de leurs loupiotes. Rejoignez-le pour lui prêter main-forte et essayer de convaincre les êtres féériques."
2,"TEXT_LUCKZD104_03430_SEQ_02","Wyd Lor vous a promis de vous donner sa <SheetFr(EventItem,12,2002751,1,1)/> à la condition que vous jouiez avec elle. Retrouvez-là à l'entrée de Lydha Lran, où elle vous attend pour vous expliquer les règles."
3,"TEXT_LUCKZD104_03430_SEQ_03","Wyd Lor vous a expliqué les règles du jeu qu'elle vous a concocté. Adressez-lui la parole quand vous serez prêt<If(PlayerParameter(4))>e<Else/></If> à commencer une partie."
4,"TEXT_LUCKZD104_03430_SEQ_04","Vous avez réussi à deviner qui était la véritable Wyd Lor, qui vous a remis, un peu à contrecœur, sa <SheetFr(EventItem,12,2002751,1,1)/>. Retournez à Wolekdorf pour la remettre au Nu Mou."
5,"TEXT_LUCKZD104_03430_SEQ_05","Le Nu Mou apaisé, Ferme-l'œil s'est lancé dans de grandes ex<SoftHyphen/>pli<SoftHyphen/>ca<SoftHyphen/>tions à propos du hameau, avant d'accueillir of<SoftHyphen/>fi<SoftHyphen/>ciel<SoftHyphen/>le<SoftHyphen/>ment Tonatiuh dans la communauté. Votre mission est terminée, laissez donc le jeune amaro se faire à son nouvel environnement et partez à la recherche de nouvelles aventures."
6,"TEXT_LUCKZD104_03430_SEQ_06",""
7,"TEXT_LUCKZD104_03430_SEQ_07",""
8,"TEXT_LUCKZD104_03430_SEQ_08",""
9,"TEXT_LUCKZD104_03430_SEQ_09",""
10,"TEXT_LUCKZD104_03430_SEQ_10",""
11,"TEXT_LUCKZD104_03430_SEQ_11",""
12,"TEXT_LUCKZD104_03430_SEQ_12",""
