key,0,1
#,,
int32,str,str
0,"TEXT_LUCKZF001_03460_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>Règle spéciale<Indent/>:  synchronisation de quête<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Tilmet a une suggestion pour vous."
1,"TEXT_LUCKZF001_03460_SEQ_01",""
2,"TEXT_LUCKZF001_03460_SEQ_02",""
3,"TEXT_LUCKZF001_03460_SEQ_03",""
4,"TEXT_LUCKZF001_03460_SEQ_04",""
5,"TEXT_LUCKZF001_03460_SEQ_05",""
6,"TEXT_LUCKZF001_03460_SEQ_06",""
7,"TEXT_LUCKZF001_03460_SEQ_07",""
8,"TEXT_LUCKZF001_03460_SEQ_08",""
9,"TEXT_LUCKZF001_03460_SEQ_09",""
10,"TEXT_LUCKZF001_03460_SEQ_10",""
11,"TEXT_LUCKZF001_03460_SEQ_11",""
12,"TEXT_LUCKZF001_03460_SEQ_12",""
13,"TEXT_LUCKZF001_03460_SEQ_13",""
14,"TEXT_LUCKZF001_03460_SEQ_14",""
15,"TEXT_LUCKZF001_03460_SEQ_15",""
16,"TEXT_LUCKZF001_03460_SEQ_16",""
17,"TEXT_LUCKZF001_03460_SEQ_17",""
18,"TEXT_LUCKZF001_03460_SEQ_18",""
19,"TEXT_LUCKZF001_03460_SEQ_19",""
20,"TEXT_LUCKZF001_03460_SEQ_20",""
21,"TEXT_LUCKZF001_03460_SEQ_21",""
22,"TEXT_LUCKZF001_03460_SEQ_22",""
23,"TEXT_LUCKZF001_03460_SEQ_23",""
24,"TEXT_LUCKZF001_03460_TODO_00","Parler à la Viis lanceuse de fleurs"
25,"TEXT_LUCKZF001_03460_TODO_01","Déposer des <SheetFr(EventItem,12,2002568,2,1)/> dans l'eau aux endroits indiqués"
26,"TEXT_LUCKZF001_03460_TODO_02","Reparler à Tilmet"
27,"TEXT_LUCKZF001_03460_TODO_03",""
28,"TEXT_LUCKZF001_03460_TODO_04",""
29,"TEXT_LUCKZF001_03460_TODO_05",""
30,"TEXT_LUCKZF001_03460_TODO_06",""
31,"TEXT_LUCKZF001_03460_TODO_07",""
32,"TEXT_LUCKZF001_03460_TODO_08",""
33,"TEXT_LUCKZF001_03460_TODO_09",""
34,"TEXT_LUCKZF001_03460_TODO_10",""
