key,0,1
#,,
int32,str,str
0,"TEXT_LUCKYB003_03599_SEQ_00","Halldor semble avoir hâte de vous partager son amour pour la Chasse."
1,"TEXT_LUCKYB003_03599_SEQ_01",""
2,"TEXT_LUCKYB003_03599_SEQ_02",""
3,"TEXT_LUCKYB003_03599_SEQ_03",""
4,"TEXT_LUCKYB003_03599_SEQ_04",""
5,"TEXT_LUCKYB003_03599_SEQ_05",""
6,"TEXT_LUCKYB003_03599_SEQ_06",""
7,"TEXT_LUCKYB003_03599_SEQ_07",""
8,"TEXT_LUCKYB003_03599_SEQ_08",""
9,"TEXT_LUCKYB003_03599_SEQ_09",""
10,"TEXT_LUCKYB003_03599_SEQ_10",""
11,"TEXT_LUCKYB003_03599_SEQ_11",""
12,"TEXT_LUCKYB003_03599_SEQ_12",""
13,"TEXT_LUCKYB003_03599_SEQ_13",""
14,"TEXT_LUCKYB003_03599_SEQ_14",""
15,"TEXT_LUCKYB003_03599_SEQ_15",""
16,"TEXT_LUCKYB003_03599_SEQ_16",""
17,"TEXT_LUCKYB003_03599_SEQ_17",""
18,"TEXT_LUCKYB003_03599_SEQ_18",""
19,"TEXT_LUCKYB003_03599_SEQ_19",""
20,"TEXT_LUCKYB003_03599_SEQ_20",""
21,"TEXT_LUCKYB003_03599_SEQ_21",""
22,"TEXT_LUCKYB003_03599_SEQ_22",""
23,"TEXT_LUCKYB003_03599_SEQ_23",""
24,"TEXT_LUCKYB003_03599_TODO_00","Parler à Xylle"
25,"TEXT_LUCKYB003_03599_TODO_01",""
26,"TEXT_LUCKYB003_03599_TODO_02",""
27,"TEXT_LUCKYB003_03599_TODO_03",""
28,"TEXT_LUCKYB003_03599_TODO_04",""
29,"TEXT_LUCKYB003_03599_TODO_05",""
30,"TEXT_LUCKYB003_03599_TODO_06",""
31,"TEXT_LUCKYB003_03599_TODO_07",""
32,"TEXT_LUCKYB003_03599_TODO_08",""
33,"TEXT_LUCKYB003_03599_TODO_09",""
34,"TEXT_LUCKYB003_03599_TODO_10",""
35,"TEXT_LUCKYB003_03599_TODO_11",""
36,"TEXT_LUCKYB003_03599_TODO_12",""
37,"TEXT_LUCKYB003_03599_TODO_13",""
38,"TEXT_LUCKYB003_03599_TODO_14",""
39,"TEXT_LUCKYB003_03599_TODO_15",""
40,"TEXT_LUCKYB003_03599_TODO_16",""
41,"TEXT_LUCKYB003_03599_TODO_17",""
42,"TEXT_LUCKYB003_03599_TODO_18",""
43,"TEXT_LUCKYB003_03599_TODO_19",""
44,"TEXT_LUCKYB003_03599_TODO_20",""
45,"TEXT_LUCKYB003_03599_TODO_21",""
46,"TEXT_LUCKYB003_03599_TODO_22",""
47,"TEXT_LUCKYB003_03599_TODO_23",""
48,"TEXT_LUCKYB003_03599_HALLDOR_000_001","Salut<Indent/>! Vous devez commencer à vous ennuyer avec ces contrats intermédiaires, non<Indent/>?"
49,"TEXT_LUCKYB003_03599_HALLDOR_000_002","On se fatigue vite de ce genre de menu fretin, pas vrai<Indent/>? Pas très excitant, quoi..."
50,"TEXT_LUCKYB003_03599_HALLDOR_000_003","Cette sensation quand vous sentez les ongles et les crocs déchirer votre propre corps, ce sentiment d'exaltation lorsque votre lame transperce le cœur du monstre... Si on frôle pas la mort c'est pas excitant la Chasse<Indent/>!"
51,"TEXT_LUCKYB003_03599_HALLDOR_000_004","Allez, j'ai bien compris ce que vous vouliez<Indent/>! Je m'occupe d'appuyer votre candidature pour passer au rang supérieur<Indent/>! Réjouissez-vous, avec ça vous allez pouvoir vous frotter à la mort d'encore plus près<Indent/>!"
52,"TEXT_LUCKYB003_03599_HALLDOR_000_005","Dépêchez-vous d'aller en parler à Xylle, j'ai hâte de vous voir à l'œuvre<Indent/>!"
53,"TEXT_LUCKYB003_03599_HALLDOR_000_010","（★未使用／削除予定★）"
54,"TEXT_LUCKYB003_03599_XYLLE_000_050","Tu veux passer au niveau avancé<Indent/>? Pas besoin de mots, c'est écrit sur ton visage<Indent/>!"
55,"TEXT_LUCKYB003_03599_XYLLE_000_051","Fais attention de ne pas devenir comme Halldor, c'est important d'avoir parmi nos rangs des chasseurs qui gardent la tête froide comme toi. Très bien, j'accepte de te faire passer au rang supérieur."
56,"TEXT_LUCKYB003_03599_XYLLE_000_052","C'est pas une raison pour surestimer tes capacités pour autant, donc ne te lance pas dans des missions suicidaires."
57,"TEXT_LUCKYB003_03599_SYSTEM_000_053","Les contrats de niveau avancé du clan Kupo sont désormais disponibles<Indent/>!"
58,"TEXT_LUCKYB003_03599_SYSTEM_000_054","Vous pouvez désormais accepter les contrats avancés à tout moment à partir du tableau du clan Kupo."
59,"TEXT_LUCKYB003_03599_SYSTEM_000_055","Lorsque vous aurez atteint le niveau 80, Halldor proposera une nouvelle quête donnant accès aux contrats d'élite."
60,"TEXT_LUCKYB003_03599_HALLDOR_000_060","Dépêchez-vous d'aller en parler à Xylle, j'ai hâte de vous voir à l'œuvre<Indent/>!"
