key,0,1
#,,
int32,str,str
0,"TEXT_LUCKZH303_03535_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>Règle spéciale<Indent/>:  synchronisation de quête<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Mauwyl aimerait de nouveau vous parler de son ami Tolas."
1,"TEXT_LUCKZH303_03535_SEQ_01","* <Emphasis>Cette quête est <UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow> synchronisée<UIGlow>01</UIGlow><UIForeground>01</UIForeground> avec votre niveau.</Emphasis>

Mauwyl vous a demandé de vérifier que Tolas allait bien prendre un congé comme il l'avait évoqué. Allez lui parler à L'Impératif d'Ostall."
2,"TEXT_LUCKZH303_03535_SEQ_02","Tolas a décidé de visiter les sources du Névé pour profiter des bains et se détendre. Rejoignez-le sur place."
3,"TEXT_LUCKZH303_03535_SEQ_03","Vous avez parlé à Tolas. Retrouvez-le dans les bains des sources du Névé, à l'endroit indiqué."
4,"TEXT_LUCKZH303_03535_SEQ_04","Vous avez appris que Mauwyl est porté disparu suite à l'attaque de son convoi par un purgateur. Retrouvez Tolas aux sources du Névé pour faire le point."
5,"TEXT_LUCKZH303_03535_SEQ_05","Quoique bouleversé par la nouvelle, Tolas semble décidé à partir secourir son ami. Même si son traumatisme n'a sans doute pas disparu, il a au moins le pied à l'étrier..."
6,"TEXT_LUCKZH303_03535_SEQ_06",""
7,"TEXT_LUCKZH303_03535_SEQ_07",""
8,"TEXT_LUCKZH303_03535_SEQ_08",""
9,"TEXT_LUCKZH303_03535_SEQ_09",""
10,"TEXT_LUCKZH303_03535_SEQ_10",""
11,"TEXT_LUCKZH303_03535_SEQ_11",""
12,"TEXT_LUCKZH303_03535_SEQ_12",""
13,"TEXT_LUCKZH303_03535_SEQ_13",""
14,"TEXT_LUCKZH303_03535_SEQ_14",""
15,"TEXT_LUCKZH303_03535_SEQ_15",""
16,"TEXT_LUCKZH303_03535_SEQ_16",""
17,"TEXT_LUCKZH303_03535_SEQ_17",""
18,"TEXT_LUCKZH303_03535_SEQ_18",""
19,"TEXT_LUCKZH303_03535_SEQ_19",""
20,"TEXT_LUCKZH303_03535_SEQ_20",""
21,"TEXT_LUCKZH303_03535_SEQ_21",""
22,"TEXT_LUCKZH303_03535_SEQ_22",""
