key,0,1
#,,
int32,str,str
0,"TEXT_AKTKZA102_04481_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>Règle spéciale<Indent/>:  synchronisation de quête<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
Poilu bout d'impatience de lancer l'opération anti-anobides."
1,"TEXT_AKTKZA102_04481_SEQ_01","* <Emphasis>Cette quête est <UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow> synchronisée<UIGlow>01</UIGlow><UIForeground>01</UIForeground> avec votre niveau.</Emphasis>

Selon Poilu, il est difficile d'identifier l'espèce exacte des anobides qui infestent l'Archéion. Or, sans cette information, impossible de trouver une solution adaptée<Indent/>! Allez donc vous renseigner auprès de l'un des biologistes qui travaillent au laboratoire agronomique de Meryall."
2,"TEXT_AKTKZA102_04481_SEQ_02","Le biologiste vous a confirmé que ces anobides appartenaient bel et bien à une espèce encore jamais référencée. Mais d'où peuvent-elles bien provenir<Indent/>? D'après Poilu, elles se seraient glissées dans un vieil alambic apporté par une glaneuse roegadyne. Cette dernière se trouve ac<SoftHyphen/>tu<SoftHyphen/>el<SoftHyphen/>le<SoftHyphen/>ment à la sortie de l'Archéion, dans le Circuit médian. Allez l'interroger afin d'élucider cette affaire."
3,"TEXT_AKTKZA102_04481_SEQ_03","La glaneuse roegadyne vous a révélé que l'alambic (et les anobides qui avaient élu domicile à l'intérieur) étaient originaires de l'île de Thavnair, berceau de l'alchimie. Voilà qui lève un peu plus le voile sur ce mystère. Rapportez cette information au biologiste du laboratoire agronomique de Meryall."
4,"TEXT_AKTKZA102_04481_SEQ_04","Le biologiste vous a aidé<If(PlayerParameter(4))>e<Else/></If> à rassembler la dernière pièce du puzzle<Indent/>: puisque l'insecticide utilisé à l'Archéion est fabriqué selon une recette d'alchimie thavnairoise, les anobides originaires de cette région sont na<SoftHyphen/>tu<SoftHyphen/>rel<SoftHyphen/>le<SoftHyphen/>ment immunisées contre ses effets. Reste à déterminer comment s'en débarasser..."
5,"TEXT_AKTKZA102_04481_SEQ_05",""
6,"TEXT_AKTKZA102_04481_SEQ_06",""
7,"TEXT_AKTKZA102_04481_SEQ_07",""
8,"TEXT_AKTKZA102_04481_SEQ_08",""
9,"TEXT_AKTKZA102_04481_SEQ_09",""
