key,0,1
#,,
int32,str,str
0,"TEXT_KINGMA106_04865_SEQ_00","Le sympathisant hanu hanu attend vos questions."
1,"TEXT_KINGMA106_04865_SEQ_01","Vous avez appris que le village hanu hanu avait subi de graves dommages suite au passage de la tempête et que les cir<SoftHyphen/>cons<SoftHyphen/>tan<SoftHyphen/>ces empêchaient la bonne tenue de leurs festivals saisonniers. Wuk Lamat vous attend à l'Arc de Gulool Ja Ja pour le départ."
2,"TEXT_KINGMA106_04865_SEQ_02","Vous avez réglé les derniers détails de votre voyage avec Wuk Lamat. Empruntez maintenant l'Arc de Gulool Ja Ja puis dirigez-vous vers Kozama'uka avec vos compagnons."
3,"TEXT_KINGMA106_04865_SEQ_03","Vous avez convenu de vous rendre à Ok'hanu, le village hanu hanu se trouvant dans la région de Kozama'uka. Adressez-vous maintenant à Krile."
4,"TEXT_KINGMA106_04865_SEQ_04","Vous avez conversé avec Krile. Rejoignez Erenville, devant le village d'Ok'hanu."
5,"TEXT_KINGMA106_04865_SEQ_05","Vous avez fait le point avec Erenville et êtes enfin arrivés à Ok'hanu."
6,"TEXT_KINGMA106_04865_SEQ_06",""
7,"TEXT_KINGMA106_04865_SEQ_07",""
8,"TEXT_KINGMA106_04865_SEQ_08",""
9,"TEXT_KINGMA106_04865_SEQ_09",""
10,"TEXT_KINGMA106_04865_SEQ_10",""
11,"TEXT_KINGMA106_04865_SEQ_11",""
12,"TEXT_KINGMA106_04865_SEQ_12",""
13,"TEXT_KINGMA106_04865_SEQ_13",""
14,"TEXT_KINGMA106_04865_SEQ_14",""
15,"TEXT_KINGMA106_04865_SEQ_15",""
16,"TEXT_KINGMA106_04865_SEQ_16",""
17,"TEXT_KINGMA106_04865_SEQ_17",""
18,"TEXT_KINGMA106_04865_SEQ_18",""
19,"TEXT_KINGMA106_04865_SEQ_19",""
20,"TEXT_KINGMA106_04865_SEQ_20",""
21,"TEXT_KINGMA106_04865_SEQ_21",""
22,"TEXT_KINGMA106_04865_SEQ_22",""
23,"TEXT_KINGMA106_04865_SEQ_23",""
24,"TEXT_KINGMA106_04865_TODO_00","Parler à Wuk Lamat, à l'Arc de Gulool Ja Ja"
25,"TEXT_KINGMA106_04865_TODO_01","Reparler à Wuk Lamat"
