0,TEXT_KINGMA114_04873_SEQ_00,Erenville souhaiterait vous parler de l'épreuve du rite de succession.
1,TEXT_KINGMA114_04873_SEQ_01,
2,TEXT_KINGMA114_04873_SEQ_02,
3,TEXT_KINGMA114_04873_SEQ_03,
4,TEXT_KINGMA114_04873_SEQ_04,
5,TEXT_KINGMA114_04873_SEQ_05,
6,TEXT_KINGMA114_04873_SEQ_06,
7,TEXT_KINGMA114_04873_SEQ_07,
8,TEXT_KINGMA114_04873_SEQ_08,
9,TEXT_KINGMA114_04873_SEQ_09,
10,TEXT_KINGMA114_04873_SEQ_10,
11,TEXT_KINGMA114_04873_SEQ_11,
12,TEXT_KINGMA114_04873_SEQ_12,
13,TEXT_KINGMA114_04873_SEQ_13,
14,TEXT_KINGMA114_04873_SEQ_14,
15,TEXT_KINGMA114_04873_SEQ_15,
16,TEXT_KINGMA114_04873_SEQ_16,
17,TEXT_KINGMA114_04873_SEQ_17,
18,TEXT_KINGMA114_04873_SEQ_18,
19,TEXT_KINGMA114_04873_SEQ_19,
20,TEXT_KINGMA114_04873_SEQ_20,
21,TEXT_KINGMA114_04873_SEQ_21,
22,TEXT_KINGMA114_04873_SEQ_22,
23,TEXT_KINGMA114_04873_SEQ_23,
24,TEXT_KINGMA114_04873_TODO_00,Parler à Habli
25,TEXT_KINGMA114_04873_TODO_01,Parler à Wuk Lamat
26,TEXT_KINGMA114_04873_TODO_02,Donner  à Wuk Lamat
27,TEXT_KINGMA114_04873_TODO_03,Parler à Mablu
28,TEXT_KINGMA114_04873_TODO_04,Reparler à Mablu
29,TEXT_KINGMA114_04873_TODO_05,
30,TEXT_KINGMA114_04873_TODO_06,
31,TEXT_KINGMA114_04873_TODO_07,
32,TEXT_KINGMA114_04873_TODO_08,
33,TEXT_KINGMA114_04873_TODO_09,
34,TEXT_KINGMA114_04873_TODO_10,
35,TEXT_KINGMA114_04873_TODO_11,
36,TEXT_KINGMA114_04873_TODO_12,
37,TEXT_KINGMA114_04873_TODO_13,
38,TEXT_KINGMA114_04873_TODO_14,
39,TEXT_KINGMA114_04873_TODO_15,
40,TEXT_KINGMA114_04873_TODO_16,
41,TEXT_KINGMA114_04873_TODO_17,
42,TEXT_KINGMA114_04873_TODO_18,
43,TEXT_KINGMA114_04873_TODO_19,
44,TEXT_KINGMA114_04873_TODO_20,
45,TEXT_KINGMA114_04873_TODO_21,
46,TEXT_KINGMA114_04873_TODO_22,
47,TEXT_KINGMA114_04873_TODO_23,
48,TEXT_KINGMA114_04873_TOBLI_000_001,"En tant qu'arbitre royal, j'ai rempli ma part du contrat avec l'Aurarque. Tout repose entre vos mains, jeunes prétendants au trône. Hop hop ! Divertissez-nous !"
49,TEXT_KINGMA114_04873_MABLU_000_005,Le prince Zoraal Ja a tout de suite trouvé le chef. Je ne sais pas si je dois être im­pres­sion­née ou effrayée...
50,TEXT_KINGMA114_04873_WUKLAMAT_000_010,C'est bon ? L'odeur est partie ?
51,TEXT_KINGMA114_04873_KRILE_000_015,"Ainsi donc, ce Tobli est l'un des arbitres royaux !"
52,TEXT_KINGMA114_04873_ALPHINAUD_000_020,"À entendre les éclats de voix de Wuk Lamat, je ne peux qu'imaginer ce qu'elle a dû ressentir en se faisant cracher dessus... Non, je ne suis pas curieux au point de vouloir essayer !"
53,TEXT_KINGMA114_04873_ALISAIE_000_025,"Quelque part, le com­por­te­ment de Zoraal Ja me fait penser à celui de Zenos. J'espère que la ressemblance de ces deux princes s'arrête là..."
54,TEXT_KINGMA114_04873_SYSTEM_000_030,"L'alpaga semble sur ses gardes, car il ne vous quitte pas des yeux. Ne faites surtout pas de mouvement brusque..."
55,TEXT_KINGMA114_04873_ERENVILLE_000_035,"Tu t'en es sûrement déjà rendu compte, mais certains alpagas sont très craintifs. J'ai beaucoup de respect pour les éleveurs !"
56,TEXT_KINGMA114_04873_WUKLAMAT_000_036,"Ah, quelle poisse ! Moi qui ai une aversion pour les alpagas, je suis servie ! Comment je suis censée attraper une de ces maudites bestioles !?"
57,TEXT_KINGMA114_04873_TOBLI_000_037,"Hop hop ! Permettez-moi de vous donner un petit conseil gratuit. Lorsque nous cherchons à domestiquer un alpaga, nous utilisons des selles imprégnées d'une odeur relaxante."
58,TEXT_KINGMA114_04873_WUKLAMAT_000_038,"C'est bon à savoir ! T'en as pas une pour nous, par hasard ?"
59,TEXT_KINGMA114_04873_TOBLI_000_039,"Ha ha ha ! Voyons, voyons, Princesse ! N'oubliez pas que vous êtes à Wachunpelo. Vous trouverez tout ce que vous désirez ici... si vous y mettez le prix ! Nos selliers seront sans nul doute avides de vous proposer leurs produits à des tarifs défiant toute concurrence."
60,TEXT_KINGMA114_04873_TOBLI_000_040,"Sachez qu'une selle d'entrée de gamme, réalisée avec le plus grand soin par un artisan pelupelu, coûte au minimum dix mille pels. Il faut ce qu'il faut, ma bonne dame... Princesse !"
61,TEXT_KINGMA114_04873_WUKLAMAT_000_041,C'est pas donné !! J'ai pas une telle somme sur moi !
62,TEXT_KINGMA114_04873_ALPHINAUD_100_041,"Si mes calculs sont exacts, cela représente environ un million de gils... Nous devrions pouvoir compléter la somme..."
63,TEXT_KINGMA114_04873_WUKLAMAT_200_041,"C'est gentil, mais c'est à moi de réussir cette épreuve ! De quoi j'aurais l'air si je devais mendier de l'argent auprès de vous ? Je dois juste trouver un autre moyen d'acquérir cette selle..."
64,TEXT_KINGMA114_04873_TOBLI_000_042,"Hop hop ! Dans ce cas, j'ai peut-être une solution..."
65,TEXT_KINGMA114_04873_TOBLI_000_043,"En re­mer­cie­ment de notre précédente transaction, acceptez cet échantillon de laine d'alpaga d'une valeur équivalente. Il y en a environ pour cent pels."
