key,0,1
#,,
int32,str,str
0,"TEXT_KINGYR102_05004_SEQ_00",""
1,"TEXT_KINGYR102_05004_SEQ_01",""
2,"TEXT_KINGYR102_05004_SEQ_02",""
3,"TEXT_KINGYR102_05004_SEQ_03",""
4,"TEXT_KINGYR102_05004_SEQ_04",""
5,"TEXT_KINGYR102_05004_SEQ_05",""
6,"TEXT_KINGYR102_05004_SEQ_06",""
7,"TEXT_KINGYR102_05004_SEQ_07",""
8,"TEXT_KINGYR102_05004_SEQ_08",""
9,"TEXT_KINGYR102_05004_SEQ_09",""
10,"TEXT_KINGYR102_05004_SEQ_10",""
11,"TEXT_KINGYR102_05004_SEQ_11",""
12,"TEXT_KINGYR102_05004_SEQ_12",""
13,"TEXT_KINGYR102_05004_SEQ_13",""
14,"TEXT_KINGYR102_05004_SEQ_14",""
15,"TEXT_KINGYR102_05004_SEQ_15",""
16,"TEXT_KINGYR102_05004_SEQ_16",""
17,"TEXT_KINGYR102_05004_SEQ_17",""
18,"TEXT_KINGYR102_05004_SEQ_18",""
19,"TEXT_KINGYR102_05004_SEQ_19",""
20,"TEXT_KINGYR102_05004_SEQ_20",""
21,"TEXT_KINGYR102_05004_SEQ_21",""
22,"TEXT_KINGYR102_05004_SEQ_22",""
23,"TEXT_KINGYR102_05004_SEQ_23",""
24,"TEXT_KINGYR102_05004_TODO_00",""
25,"TEXT_KINGYR102_05004_TODO_01",""
26,"TEXT_KINGYR102_05004_TODO_02",""
27,"TEXT_KINGYR102_05004_TODO_03",""
28,"TEXT_KINGYR102_05004_TODO_04",""
29,"TEXT_KINGYR102_05004_TODO_05",""
30,"TEXT_KINGYR102_05004_TODO_06",""
31,"TEXT_KINGYR102_05004_TODO_07",""
32,"TEXT_KINGYR102_05004_TODO_08",""
33,"TEXT_KINGYR102_05004_TODO_09",""
34,"TEXT_KINGYR102_05004_TODO_10",""
35,"TEXT_KINGYR102_05004_TODO_11",""
36,"TEXT_KINGYR102_05004_TODO_12",""
37,"TEXT_KINGYR102_05004_TODO_13",""
38,"TEXT_KINGYR102_05004_TODO_14",""
39,"TEXT_KINGYR102_05004_TODO_15",""
40,"TEXT_KINGYR102_05004_TODO_16",""
41,"TEXT_KINGYR102_05004_TODO_17",""
42,"TEXT_KINGYR102_05004_TODO_18",""
43,"TEXT_KINGYR102_05004_TODO_19",""
44,"TEXT_KINGYR102_05004_TODO_20",""
45,"TEXT_KINGYR102_05004_TODO_21",""
46,"TEXT_KINGYR102_05004_TODO_22",""
47,"TEXT_KINGYR102_05004_TODO_23",""
48,"TEXT_KINGYR102_05004_WANDERINGMINSTREL_000_000","Salut<Indent/>! Quelle chance de tomber sur vous ici, mon ami<If(PlayerParameter(4))>e<Else/></If><Indent/>! J'ai eu vent de vos exploits aux côtés de Wuk Lamat lors du rite de succession. Votre nom est sur toutes les langues au Tuliyollal."
49,"TEXT_KINGYR102_05004_WANDERINGMINSTREL_000_001","Poussé par mon éternelle quête d'épopées contant les prouesses de valeureux héros, j'ai entrepris la traversée entre Éorzéa et le Tural, dans l'espoir de m'inspirer des légendes locales pour composer de nouvelles ballades."
50,"TEXT_KINGYR102_05004_WANDERINGMINSTREL_000_002","Il se transmet sur ces terres de nombreuses histoires com<SoftHyphen/>plè<SoftHyphen/>te<SoftHyphen/>ment inconnues en Trigée et qui ne manquent pas de susciter un vif intérêt chez moi. Grâce à cela, j'ai pu glaner de quoi écrire maints poèmes."
51,"TEXT_KINGYR102_05004_WANDERINGMINSTREL_000_003","Toutefois, j'ai toujours une soif inextinguible pour les récits d'aventures fraîches relatés par un protagoniste qui a tout récemment frôlé la mort."
52,"TEXT_KINGYR102_05004_WANDERINGMINSTREL_000_004","Ah, mais j'y pense, peut-être accepteriez-vous de me conter vos nouveaux exploits<Indent/>! Qu'en dites-vous<Indent/>?"
53,"TEXT_KINGYR102_05004_WANDERINGMINSTREL_000_005","J'imagine que vous avez dû faire face à des dangers et à des troubles sans commune nature au cours des épreuves du rite de succession, ainsi que lors de votre incursion dans cet étrange dôme fulgurant."
54,"TEXT_KINGYR102_05004_WANDERINGMINSTREL_000_006","Si seulement vous daigniez partager avec moi ces intrigants épisodes, je ne doute pas une minute que je saurais les narrer sous la forme de vers émouvants et passionnants<Indent/>!"
55,"TEXT_KINGYR102_05004_WANDERINGMINSTREL_000_007","Quoi qu'il en soit, je vais rester ici à peaufiner les œuvres que je suis en train de composer. N'hésitez donc pas à venir me parler si l'envie vous venait de m'exposer vos péripéties. C'est avec un immense plaisir que je les écouterai."
