#,Item[0],Item[1],Item[2],Item[3],Item[4],Item[5],Item[6],Item[7],Quantity[0],Quantity[1],Quantity[2],Quantity[3],Quantity[4],Quantity[5],Quantity[6],Quantity[7],RecipeLevel[0],RecipeLevel[1],RecipeLevel[2],RecipeLevel[3],RecipeLevel[4],RecipeLevel[5],RecipeLevel[6],RecipeLevel[7]
0,2228,2456,1891,1822,1996,2572,2405,1820,1,1,1,1,1,1,1,1,9,5,2,10,6,8,4,3
1,2575,3779,2573,1897,2675,1824,2459,2574,1,1,1,1,1,1,1,1,20,14,12,19,14,14,19,16
2,2460,2010,3805,2577,1908,2409,2576,1833,1,1,1,1,1,1,1,1,23,26,24,29,26,25,25,22
3,2026,2462,2411,3837,1855,2023,2578,2580,1,1,1,1,1,1,1,1,37,33,34,33,38,35,32,40
4,2030,2413,2287,1650,1862,2465,2581,2039,1,1,1,1,1,1,1,1,42,43,45,41,44,45,45,44
5,1937,2044,3908,2582,1872,2414,1867,1942,1,1,1,1,1,1,1,1,46,48,48,48,49,47,47,49
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2507,2520,2381,1602,5091,2315,1603,2329,1,1,1,1,3,1,1,1,6,8,10,2,3,4,7,9
11,7018,2419,1756,1684,2560,2395,2316,2523,3,1,1,1,1,1,1,1,16,14,17,13,11,18,12,20
12,2563,7019,2510,2526,5093,2537,2524,1625,1,3,1,1,3,1,1,1,25,27,21,30,29,23,22,28
13,1643,2552,2322,2399,2323,2335,2553,2348,1,1,1,1,1,1,1,1,38,33,35,32,39,36,35,32
14,2569,5094,2388,2568,2517,1657,7020,1659,1,3,1,1,1,1,3,1,45,43,42,41,44,42,44,43
15,2402,2377,2530,1803,1733,2427,2556,2325,1,1,1,1,1,1,1,1,47,47,48,49,49,46,49,46
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2494,2468,2226,2469,3767,3540,3011,5081,1,1,1,1,1,1,1,3,4,3,5,9,7,9,6,2
21,3544,2497,3045,2236,2497,2231,2673,3026,1,1,1,1,1,1,1,1,14,18,20,17,18,15,12,12
22,3802,5083,7022,2474,7024,3574,3574,2499,1,3,1,1,3,1,1,1,22,28,27,29,26,23,23,27
23,3835,5089,3619,3850,3142,3835,2812,3127,1,3,1,1,1,1,1,1,32,37,35,37,40,32,38,34
24,2850,2503,3654,3174,3886,7023,5084,2477,1,1,1,1,1,3,3,1,45,43,44,42,45,44,43,42
25,2859,3670,3912,3243,2294,2478,3209,3670,1,1,1,1,1,1,1,1,46,48,50,47,50,50,50,48
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2107,5258,2057,5086,2056,4421,1681,4307,1,3,1,3,1,1,1,1,9,6,10,4,3,7,2,9
31,2058,4205,2614,2059,4094,5087,4311,5259,1,1,3,1,1,3,1,3,12,17,20,14,15,15,17,20
