#,Unknown0,Unknown1,Unknown2
0,無効,無効,False
100,冒険,よし　思うがままに旅せよ,True
101,,よし　初見なる場所に赴くべし,True
102,,よし　探検手帳を開き、思い出の地を巡るべし,True
103,,よし　天候にも恵まれる,True
104,,よし　特に多くの人が集う都市に向かうと吉,True
105,,よし　遠き茶房にて出会いに恵まれる,True
106,,よし　巨躯を持つものと交流すべし,True
200,絆,英雄として信と誉れを得る　大いに応えよ,True
201,,久遠の絆に目を向けよ　そこに吉あり,True
202,,旅の仲間の助け多くある　感謝を忘れぬこと,True
203,,星が導いた相手は近くにいる,True
204,,仲間と歩みを合わせよ　さすれば吉あり,True
205,,変わらず友在り　未踏の大地も臆さず進め,True
206,,多様な部族と縁を結ぶべし　黄金の果報あり,True
300,財産,欲捨てれば、大なる数字以て戦利品を得る,True
301,,一攫千金の好機あり　遊技場に出よ,True
302,,幸運あり　宝の地図を開くべし,True
303,,望みのままなり　進んで宝箱を開けよ,True
304,,利あり　商売には正直に臨め,True
305,,永き友情より大きな報いあり,True
306,,思いがけぬ珍品を得る　リテイナーをねぎらうべし,True
400,闘争,安心して挑め　強敵と戦うほどに成長あり,True
401,,技を繰り返せば、真理を得る,True
402,,戦友を見よ　そこに成長の契機あり,True
403,,新たな職の術や技を学ぶべし　飛躍の兆しあり,True
404,,技を繰り返せば、真理を得る,True
405,,,False
406,,,False
500,運勢,戦神の如き闘争心があれば、常に勝利を得ることができるでしょう,True
501,,月神の如き慈愛の心があれば、多くの人からも愛されるでしょう,True
502,,日神の如き熱情があれば、目標への近道が照らされるでしょう,True
503,,海神の如き決意があれば、良き風が吹いて飛躍できるでしょう,True
504,,旅神の如き好奇心があれば、旅先で多くの愉しみに出会うでしょう,True
1100,冒険,ひとり旅もよし　各地を巡り穏やかな時を過ごすべし,True
1101,,強きまま探求の旅に再び挑め　新たな気付きあり,True
1102,,季節の巡りを感じ、祝祭に参加すべし,True
1103,,市井の人々の声を聞け　新たな物語あり,True
1104,,未踏の地を訪ねよ　思わぬ発見あり,True
1105,,名札にこだわれば新たな出会いあり,True
1106,,強き光差す地にて、よき冒険と巡りあう,True
1200,絆,思いもよらぬ出会いあり　心して備えよ,True
1201,,一期一会の縁から芽生える,True
1202,,良縁あり　自ら音頭とり仲間を募るべし,True
1203,,友の助けあり　己も助け恩を返すべし,True
1204,,最初は実りにくいが、よき引き合わせあり,True
1205,,星唄が親愛を育む　永き幻想を辿れ,True
1206,,時を同じくし協業せよ　遠き星までも道拓ける,True
1300,財産,遊技場に巨利あり　気を大きく持て,True
1301,,大漁旗の機運あり　船に乗れ,True
1302,,家造りに運気あり　投資せよ,True
1303,,古きを手放し、新しきを得るとよし,True
1304,,商機を見極めれば、堅実に財を成せる,True
1305,,三日月や星々に焦がれ旅せよ　導きで財を成す,True
1306,,得意先を訪ねよ　堅実な利あり,True
1400,闘争,障りなし　仲間との手合わせに白熱せよ,True
1401,,いまの得物がよい　安心して努力を重ねよ,True
1402,,牌の巡りがよい　高徳の雀士となれる,True
1403,,悪名高き魔物を追い、万国を巡れば吉あり,True
1404,,いまの得物がよい　安心して努力を重ねよ,True
1405,,,False
1406,,,False
1500,運勢,星神の如き聡明さがあれば、あらゆる運命が好転するでしょう,True
1501,,壊神の如き豪胆さがあれば、強き敵も打ち倒せるでしょう,True
1502,,工神の如き発想力があれば、職人としても成長するでしょう,True
1503,,商神の如き明敏さがあれば、商機を見逃すことはないでしょう,True
1504,,地神の如き包容力があれば、新たな絆が芽吹くでしょう,True
2100,冒険,己の信念つらぬけば、道は開ける,True
2101,,事件の気配あり　事件屋に頼るのが吉,True
2102,,土地土地の風物や歴史に目を向けよ　新たな気付きあり,True
2103,,集団で姿勢を整え、旅の思い出を残すべし,True
2104,,運命に身を任せよ　さすれば成長あり,True
2105,,孤島にて、気持ち安らがせよ,True
2106,,「十二」にまつわる場所を詣でよ,True
2200,絆,感謝忘れねば、よき縁に恵まれる,True
2201,,いまの仲間こそが至宝　ますます大切にすべし,True
2202,,異国の同志との縁あり　臆さず交流すべし,True
2203,,想いは伝わる　身振り手振りを交えるべし,True
2204,,待っていても良縁なし　冒険者主催の集いに参加せよ,True
