key,0,1
#,,
int32,str,str
0,"TEXT_DEEPDUNGEON2GACHA_ABOUT_DD2GACHA_000_000","アタイに用があるなら、そっちにいるキュウセイさんに、
話をつけてからにしてくんねぇかい？
海賊衆にも、それなりのしがらみはあるんでね。"
1,"TEXT_DEEPDUNGEON2GACHA_ABOUT_DD2GACHA_000_010","おう、「埋もれた財宝」の鑑定なら任せてくんな。
アタイの誇りにかけて、しっかりやってやるよ！"
2,"TEXT_DEEPDUNGEON2GACHA_ABOUT_DD2GACHA_000_020","へへっ、よく来たね英雄！
「埋もれた財宝」の鑑定かい？
鬼師の技、しっかり見せてやるよ！"
3,"TEXT_DEEPDUNGEON2GACHA_STARTMENU_TITLE","何をする？"
4,"TEXT_DEEPDUNGEON2GACHA_STARTMENU_GACHA","「埋もれた財宝」を鑑定してほしい"
5,"TEXT_DEEPDUNGEON2GACHA_STARTMENU_ABOUT","「埋もれた財宝」について聞く"
6,"TEXT_DEEPDUNGEON2GACHA_STARTMENU_EXIT","キャンセル"
7,"TEXT_DEEPDUNGEON2GACHA_ABOUT_DD2GACHA_000_050","キュウセイさんの話によりゃ、アメノミハシラの内部には、
強力な魔力を帯びた財宝がざくざく埋まっていたらしい。"
8,"TEXT_DEEPDUNGEON2GACHA_ABOUT_DD2GACHA_000_051","そいつを持ってくれば、アタイが魔力を除去して、
財宝の中身を鑑定してやるよ。
ま、昔取った杵柄ってヤツさ。"
9,"TEXT_DEEPDUNGEON2GACHA_ABOUT_DD2GACHA_000_055","アメノミハシラの内部では、
強力な魔力を帯びた財宝がざくざく埋まってるらしい。
英雄候補への褒美ってわけなのかどうなのか……。"
10,"TEXT_DEEPDUNGEON2GACHA_ABOUT_DD2GACHA_000_056","ともかく重要なのは、その財宝ってのが、
「結界」の影響で強い魔力を帯びるってこと。
つまり、魔力を除去して中身を鑑定してやる必要があるのさ。"
11,"TEXT_DEEPDUNGEON2GACHA_ABOUT_SYSTEM_000_060","ディープダンジョンでは、
中に何が入っているかわからない、
「埋もれた財宝」を発見することがあります。"
12,"TEXT_DEEPDUNGEON2GACHA_ABOUT_SYSTEM_000_061","「アメノミハシラ」で発見した「埋もれた財宝」ならば、
「海賊衆の鑑定係」に渡すことで、
中に入っているアイテムを入手できます。"
13,"TEXT_DEEPDUNGEON2GACHA_ABOUT_WOODWAILERAPPRAISERS_000_000","（★未使用／削除予定★）"
14,"TEXT_DEEPDUNGEON2GACHA_ABOUT_WOODWAILERAPPRAISERS_000_010","（★未使用／削除予定★）"
15,"TEXT_DEEPDUNGEON2GACHA_ABOUT_WOODWAILERAPPRAISERS_000_020","（★未使用／削除予定★）"
16,"TEXT_DEEPDUNGEON2GACHA_ABOUT_WOODWAILERAPPRAISERS_000_050","（★未使用／削除予定★）"
17,"TEXT_DEEPDUNGEON2GACHA_ABOUT_WOODWAILERAPPRAISERS_000_051","（★未使用／削除予定★）"
18,"TEXT_DEEPDUNGEON2GACHA_ABOUT_SYSTEM_000_062","（★未使用／削除予定★）"
19,"TEXT_DEEPDUNGEON2GACHA_ABOUT_SYSTEM_000_063","（★未使用／削除予定★）"
20,"TEXT_DEEPDUNGEON2GACHA_ABOUT_SYSTEM_000_064","（★未使用／削除予定★）"
21,"TEXT_DEEPDUNGEON2GACHA_ABOUT_SYSTEM_000_065","（★未使用／削除予定★）"
22,"TEXT_DEEPDUNGEON2GACHA_ABOUT_SYSTEM_000_066","（★未使用／削除予定★）"
