key,0,1
#,,
int32,str,str
0,"TEXT_CMNDEFRELICWEAPON030TRADE_00173_JALZAHN_000_000","「スフィアスクロール」に転写されたマテリアの力を、
私の秘術で「古の武器」に注入してやろう。
……さぁ、見せてみるがよい。"
1,"TEXT_CMNDEFRELICWEAPON030TRADE_00173_Q1_000_000","強化する「古の武器・アニムス」を選択してください"
2,"TEXT_CMNDEFRELICWEAPON030TRADE_00173_A1_000_010","「<Sheet(Item,IntegerParameter(1),0)/>」を強化する"
3,"TEXT_CMNDEFRELICWEAPON030TRADE_00173_A1_000_020","キャンセル"
4,"TEXT_CMNDEFRELICWEAPON030TRADE_00173_JALZAHN_000_050","マテリア技術と「古の武器」の融合……夢のある試みだ。
「スフィアスクロール」に十分な力を転写し終えたならば、
お主の「古の武器」を、さらなる高みに導こうぞ。"
5,"TEXT_CMNDEFRELICWEAPON030TRADE_00173_SYSTEM_000_055","「古の武器・アニムス」を強化する場合は、
武器に対応した「スフィアスクロール」に十分な転写を行い、
武器とともに、「ジャルザーン」に渡しましょう。"
6,"TEXT_CMNDEFRELICWEAPON030TRADE_00173_SYSTEM_000_056","「スフィアスクロール」は、
狼煙の丘の「ウベールタン」から入手することができます。"
7,"TEXT_CMNDEFRELICWEAPON030TRADE_00173_SYSTEM_100_056","なお、「古の武器・アニムス」を強化すると、
「古の武器・アニムス」についていた、
「STR」「DEX」「VIT」「INT」「MND」の各パラメータ。"
8,"TEXT_CMNDEFRELICWEAPON030TRADE_00173_SYSTEM_101_056","また「タイラス・アニムス」と「マダレムジエン・アニムス」に
ついていた「ダイレクトヒット」以外のパラメータは、
「スフィアスクロール」に転写されたパラメータに置き換わります。"
9,"TEXT_CMNDEFRELICWEAPON030TRADE_00173_SYSTEM_102_056","置き換わらないパラメータについては、強化にともない、
「アイテムレベル110」に適した値に引き上げられます。"
10,"TEXT_CMNDEFRELICWEAPON030TRADE_00173_JALZAHN_000_080","おや……お主の強化したい「古の武器」が見当たらんぞ？
さぁ、早く私に見せてくれ。"
11,"TEXT_CMNDEFRELICWEAPON030TRADE_00173_SYSTEM_000_085","「<Sheet(Item,IntegerParameter(1),0)/>」を強化したい場合は、
「アーマリーチェスト」か「所持品」に収納した状態で、
ジャルザーンに話しかける必要があります。"
