key,0,1
#,,
int32,str,str
0,"TEXT_REGFSTNOTORIOUSMONSTERHINTF1_00194_MOBHUNTERF1F1_000_1","どうやら冒険者のようね……。
貴方も「リスキーモブ」を追っているの？"
1,"TEXT_REGFSTNOTORIOUSMONSTERHINTF1_00194_Q1_000_1","何を聞く？"
2,"TEXT_REGFSTNOTORIOUSMONSTERHINTF1_00194_A1_000_1","あなたのことを教えてほしい"
3,"TEXT_REGFSTNOTORIOUSMONSTERHINTF1_00194_A1_000_2","ランクB：清白の猛獣「ホワイトジョーカー」について"
4,"TEXT_REGFSTNOTORIOUSMONSTERHINTF1_00194_A1_000_3","ランクA：黒翼の妖異「ファルネウス」について"
5,"TEXT_REGFSTNOTORIOUSMONSTERHINTF1_00194_A1_000_4","ランクS：醜悪な乙女「レドロネット」について"
6,"TEXT_REGFSTNOTORIOUSMONSTERHINTF1_00194_A1_000_5","キャンセル"
7,"TEXT_REGFSTNOTORIOUSMONSTERHINTF1_00194_MOBHUNTERF1F1_000_10","私は、モブハンターよ。
地域の治安を乱す危険な敵、「リスキーモブ」を追っているの。"
8,"TEXT_REGFSTNOTORIOUSMONSTERHINTF1_00194_MOBHUNTERF1F1_000_11","討伐に成功すれば、エオルゼア都市軍事同盟から、
「同盟記章」っていう報酬があたえられるわ。"
9,"TEXT_REGFSTNOTORIOUSMONSTERHINTF1_00194_MOBHUNTERF1F1_000_12","貴方も討伐に挑みたいというなら……
この地域の「リスキーモブ」について、教えてあげてもいいわよ。"
10,"TEXT_REGFSTNOTORIOUSMONSTERHINTF1_00194_MOBHUNTERF1F1_000_13","ちなみに「リスキーモブ」は、
危険度に応じて、ランク付けされているの。
特に「ランクS」は、見つけるのさえ難しいでしょうね。"
11,"TEXT_REGFSTNOTORIOUSMONSTERHINTF1_00194_MOBHUNTERF1F1_000_20","「ホワイトジョーカー」は、その名のとおり、
世にも珍しい、白いスクウィレルよ。"
12,"TEXT_REGFSTNOTORIOUSMONSTERHINTF1_00194_MOBHUNTERF1F1_000_21","しかし、その特異な毛並みが原因で、
同族たちからは、のけ者にされてきたみたい。
そして生き抜くため、凶暴さを身につけたのね……。"
13,"TEXT_REGFSTNOTORIOUSMONSTERHINTF1_00194_MOBHUNTERF1F1_000_30","ある鬼哭隊の隊士が巡回中に、
「ハウケタ御用邸」から黒い影が飛び去るのを目撃したの。
当初は、誰も信じなかった話だったんだけど……"
14,"TEXT_REGFSTNOTORIOUSMONSTERHINTF1_00194_MOBHUNTERF1F1_000_31","森で「黒い妖異」による襲撃が多数報告されるようになり、
状況は一変したわ。
妖異の名は「ファルネウス」、くれぐれも気をつけることね。"
15,"TEXT_REGFSTNOTORIOUSMONSTERHINTF1_00194_MOBHUNTERF1F1_000_40","かつてグリダニアに、美しい赤髪の少女がいた。
しかし、突然の不幸が彼女を襲ったわ……。
第七霊災で両親を失ってしまったの。"
16,"TEXT_REGFSTNOTORIOUSMONSTERHINTF1_00194_MOBHUNTERF1F1_000_41","悲しみのあまり、彼女の赤髪は抜け落ち、美しさは消えて、
無残にも醜くなり果ててしまった。
そして、ある雨の日、彼女は都市から姿を消したわ……。"
17,"TEXT_REGFSTNOTORIOUSMONSTERHINTF1_00194_MOBHUNTERF1F1_000_42","この悲しい出来事を境に、長雨が続くと森に赤い大蛇が現われ、
人を襲うようになったそうよ。
蛇に化けた少女が、悲しみを広めていると噂になっているわ。"
18,"TEXT_REGFSTNOTORIOUSMONSTERHINTF1_00194_TALK_ACTOR","（★未使用／削除予定★）"
