key,0,1
#,,
int32,str,str
0,"TEXT_REGNOR4SULLEN_00589_SIGURTHUR_000_000","よう<If(PlayerParameter(4))>嬢ちゃん<Else/>兄ちゃん</If>、見かけねえ顔だな……
衛兵ってわけじゃなさそうだ。
サレン郷に何の用だい？"
1,"TEXT_REGNOR4SULLEN_00589_SIGURTHUR_000_020","ユールモアの連中が、ラクサン城の辺りに駐留してるらしいな。
まったく嫌になるぜ……金持ち連中は大人しく、
テメェらの街に閉じこもっていればいいのによ。"
2,"TEXT_REGNOR4SULLEN_00589_SIGURTHUR_000_030","よう<If(PlayerParameter(4))>嬢ちゃん<Else/>兄ちゃん</If>、見かけねえ顔だな……
衛兵ってわけじゃなさそうだ。
サレン郷に何の用だい？"
3,"TEXT_REGNOR4SULLEN_00589_SIGURTHUR_000_050","罪喰いの襲撃で、
オスタル厳命城の方は、かなりの被害を受けたらしいな。
この周辺は、被害を免れたが……やるせないぜ。"
4,"TEXT_REGNOR4SULLEN_00589_SIGURTHUR_000_060","おう<If(PlayerParameter(4))>嬢ちゃん<Else/>兄ちゃん</If>。
また空に光が溢れ出したっていう時に、サレン郷に何の用だ？"
5,"TEXT_REGNOR4SULLEN_00589_SIGURTHUR_000_070","よお……お、お、お前さん、闇の……！？
ウオオオオオッ！　な、なんて運がいいんだ！
「闇の戦士」様が、オレに声をかけてくれるなんて……ッ！"
6,"TEXT_REGNOR4SULLEN_00589_Q1_000_000","何を聞く？"
7,"TEXT_REGNOR4SULLEN_00589_A1_000_001","あなたのことを教えてほしい"
8,"TEXT_REGNOR4SULLEN_00589_A1_000_002","ここはどんなところだ？"
9,"TEXT_REGNOR4SULLEN_00589_A1_000_003","キャンセル"
10,"TEXT_REGNOR4SULLEN_00589_SIGURTHUR_000_200","オレはここで、怪しい奴が島に立ち入らねえか見張ってるんだ。
この奥の島には、戦えない子どもや老人も多いもんでな。
賊や魔物が入り込まないよう、気を配らないといけねえんだ。"
11,"TEXT_REGNOR4SULLEN_00589_SIGURTHUR_000_201","なんせそこいらで魚を干してるからな。
匂いに釣られて、魔物が入り込むことも珍しくねえんだ。
まあ、その気持ちもわかるぜ……オレも魚が大好物だからよ。"
12,"TEXT_REGNOR4SULLEN_00589_SIGURTHUR_000_210","なんせそこいらで魚を干してるからな。
匂いに釣られて、魔物が入り込むことも珍しくねえんだ。
まあ、その気持ちもわかるぜ……オレも魚が大好物だからよ。"
13,"TEXT_REGNOR4SULLEN_00589_SIGURTHUR_000_220","「闇の戦士」様が光を払ってくれるまでは、
罪喰いが来ないか、実はずっと不安だったんだよ……。
でも、これからはその危険も減るんだろ！？　ありがとう！"
14,"TEXT_REGNOR4SULLEN_00589_SIGURTHUR_000_400","見ての通りの漁村だ。
ウィード島、ブリック島、ノット島、ラップ島という4つの島を、
橋で結ぶことで、ひとつの集落にしているのさ。"
15,"TEXT_REGNOR4SULLEN_00589_SIGURTHUR_000_401","漁師ってのは、しかめっ面の愛想なしが多いから、
誤解されがちなんだが……皆、気のいい連中ばかりだぜ。
よかったら、気軽に声をかけてやってくれよな。"
16,"TEXT_REGNOR4SULLEN_00589_TALK_ACTOR","（★未使用／削除予定★）"
