key,0,1
#,,
int32,str,str
0,"TEXT_REGSAK6SHESHENEWEZISPRINGS_00883_LOASAKWE_000_000","あぁ、疲れた……
旅人さん、良かったら気分転換に話してってよ。
次の患者が駆け込んでくる前にね。"
1,"TEXT_REGSAK6SHESHENEWEZISPRINGS_00883_LOASAKWE_000_001","トライヨラでは戦闘があったと聞くけれど……。
あなたも、なにか心配ごと？"
2,"TEXT_REGSAK6SHESHENEWEZISPRINGS_00883_LOASAKWE_000_002","あの黒い物体が空から消えて、せいせいしたわ！
ずっと頭を押さえつけられてるようで、不快だったもの。
ところで、何か聞きたいことでも？"
3,"TEXT_REGSAK6SHESHENEWEZISPRINGS_00883_LOASAKWE_000_003","やれやれ、相変わらず忙しい毎日だわ。
旅人さん、よかったら気分転換にお話ししない？
次の患者が駆け込んでくる前にね。"
4,"TEXT_REGSAK6SHESHENEWEZISPRINGS_00883_LOASAKWE_Q1_000_000","何を聞く？"
5,"TEXT_REGSAK6SHESHENEWEZISPRINGS_00883_LOASAKWE_A1_000_001","あなたのことを教えてほしい"
6,"TEXT_REGSAK6SHESHENEWEZISPRINGS_00883_LOASAKWE_A1_000_002","ここはどんなところだ？"
7,"TEXT_REGSAK6SHESHENEWEZISPRINGS_00883_LOASAKWE_A1_000_003","キャンセル"
8,"TEXT_REGSAK6SHESHENEWEZISPRINGS_00883_LOASAKWE_000_004","私は、シェシェネ青燐泉で雇われている治療師よ。
青燐水採掘は中々に過酷でね……
怪我をしたり体調を崩したりした労働者たちを診ているの。"
9,"TEXT_REGSAK6SHESHENEWEZISPRINGS_00883_LOASAKWE_000_005","青燐水の引火事故や、誤飲による急性中毒……
果ては、酔っ払いが喧嘩でこさえた怪我の治療まで。
荒くれどもの世話焼き係ってわけ。"
10,"TEXT_REGSAK6SHESHENEWEZISPRINGS_00883_LOASAKWE_000_006","ここまでの道中で、青燐水の湧き出る泉は見た？
数年前、ここに大量の青燐水が埋蔵してることが判明してね、
地域一帯で、採水事業が本格化していったの。"
11,"TEXT_REGSAK6SHESHENEWEZISPRINGS_00883_LOASAKWE_000_007","事業を行う会社は、大儲け。
お金が集まる場所には、当然人も集まるわけで……
一攫千金を求める労働者が沢山やってきたわ。"
12,"TEXT_REGSAK6SHESHENEWEZISPRINGS_00883_LOASAKWE_000_008","彼らには、青燐泉が「金の湧く泉」に見えるんでしょうね。
ギラついた連中が多いから、諍いや喧嘩も絶えないけど……
退屈しない日々ってのも悪くないわよ。"
