key,0,1
#,,
int32,str,str
0,"TEXT_VOICEMAN_03300_000010_ALPHINAUD","待たせてしまったかな？"
1,"TEXT_VOICEMAN_03300_000020_KRILE","平気よ、アルフィノくん。
ここのマスターさんが、スパイスワインを勧めてくれてね。
風味豊かな味わいを楽しんでいたところなの。"
2,"TEXT_VOICEMAN_03300_000030_TATARU","ジブリオンさんのスパイスワインは、
薬効で身体もホカホカになる、まさに絶品なのでっす！"
3,"TEXT_VOICEMAN_03300_000040_YSHTOLA","確かに美味しかったわね。
……でも、ワインの品評よりも、
重要な話があるんじゃなくて？"
4,"TEXT_VOICEMAN_03300_000050_KRILE","そうね……それじゃ、本題に移りましょうか。
エスティニアンさんのことなんだけど……。"
5,"TEXT_VOICEMAN_03300_000060_ALPHINAUD","何かわかったのかい！？"
6,"TEXT_VOICEMAN_03300_000070_KRILE","ちょっと、焦らないで……。
まずは現時点で判明している情報から整理しましょう。"
7,"TEXT_VOICEMAN_03300_000080_YSHTOLA","魔大陸での出来事を思い出してちょうだい。
確か、あなたはこう証言していたわね？"
8,"TEXT_VOICEMAN_03300_000090_YSHTOLA","エスティニアンが、ふたつの「竜の眼」を手にした直後、
突如として苦しみはじめ、邪竜の影と化してしまったと……。"
9,"TEXT_VOICEMAN_03300_000100_ALPHINAUD","確かに、ファルコンネストに現れた
エスティニアン殿の鎧には「竜の眼」らしき物が付いていた……。"
10,"TEXT_VOICEMAN_03300_000110_YSHTOLA","そんな生易しい状態ではなさそうよ。
私が視たのは、「竜の眼」から発する魔力が複雑に絡みつき、
エスティニアンのエーテルを、ほとんど覆い尽くす様だった。"
11,"TEXT_VOICEMAN_03300_000120_ALPHINAUD","そんな！
エスティニアン殿は、完全にニーズヘッグと化してしまったと！？"
12,"TEXT_VOICEMAN_03300_000130_KRILE","だからそう、結論を急がないの！
ヤ・シュトラさんも言ったでしょう？
「ほとんど」って……。"
13,"TEXT_VOICEMAN_03300_000140_KRILE","私も、あの場では圧倒されてしまったけど、
確かに「邪竜の影」には違和感を感じていたのよ。"
14,"TEXT_VOICEMAN_03300_000150_KRILE","でもヤ・シュトラさんの話を聞いて、確信したわ。
あの違和感の正体は、邪竜が放つ怨念の感情に沈殿した、
別の意思の痕跡なんじゃないかって……。"
