key,0,1
#,,
int32,str,str
0,"TEXT_SUBFST022_00097_SEQ_00","ハーストミルの衛士イードバートは、冒険者に「境樹」の様子の確認を頼みたいようだ。"
1,"TEXT_SUBFST022_00097_SEQ_01","イクサル族が境樹付近で度々目撃されているらしい。傷を付けられては困るというイードバート。ハーストミル南東の「境樹」の様子を調べに行こう。"
2,"TEXT_SUBFST022_00097_SEQ_02","潜伏していたイクサル族を倒した。「ハーストミル」で待つ「イードバート」に報告しに行こう。"
3,"TEXT_SUBFST022_00097_SEQ_03","かつて黒衣森に住んでいたイクサル族は、森への不敬がたたり、追放されたという。厄介なことに、彼らが森を追われた後に入植したグリダニアの民を逆恨みし、憎んでいるらしい。イードバートから、イクサル族を見かけたら気をつけろと忠告を受けた。"
4,"TEXT_SUBFST022_00097_SEQ_04",""
5,"TEXT_SUBFST022_00097_SEQ_05",""
6,"TEXT_SUBFST022_00097_SEQ_06",""
7,"TEXT_SUBFST022_00097_SEQ_07",""
8,"TEXT_SUBFST022_00097_SEQ_08",""
9,"TEXT_SUBFST022_00097_SEQ_09",""
10,"TEXT_SUBFST022_00097_SEQ_10",""
11,"TEXT_SUBFST022_00097_SEQ_11",""
12,"TEXT_SUBFST022_00097_SEQ_12",""
13,"TEXT_SUBFST022_00097_SEQ_13",""
14,"TEXT_SUBFST022_00097_SEQ_14",""
15,"TEXT_SUBFST022_00097_SEQ_15",""
16,"TEXT_SUBFST022_00097_SEQ_16",""
17,"TEXT_SUBFST022_00097_SEQ_17",""
18,"TEXT_SUBFST022_00097_SEQ_18",""
19,"TEXT_SUBFST022_00097_SEQ_19",""
20,"TEXT_SUBFST022_00097_SEQ_20",""
21,"TEXT_SUBFST022_00097_SEQ_21",""
22,"TEXT_SUBFST022_00097_SEQ_22",""
23,"TEXT_SUBFST022_00097_SEQ_23",""
24,"TEXT_SUBFST022_00097_TODO_00","境樹を調べる"
25,"TEXT_SUBFST022_00097_TODO_01","イードバートに報告"
26,"TEXT_SUBFST022_00097_TODO_02",""
27,"TEXT_SUBFST022_00097_TODO_03",""
28,"TEXT_SUBFST022_00097_TODO_04",""
29,"TEXT_SUBFST022_00097_TODO_05",""
30,"TEXT_SUBFST022_00097_TODO_06",""
31,"TEXT_SUBFST022_00097_TODO_07",""
32,"TEXT_SUBFST022_00097_TODO_08",""
33,"TEXT_SUBFST022_00097_TODO_09",""
34,"TEXT_SUBFST022_00097_TODO_10",""
35,"TEXT_SUBFST022_00097_TODO_11",""
36,"TEXT_SUBFST022_00097_TODO_12",""
37,"TEXT_SUBFST022_00097_TODO_13",""
38,"TEXT_SUBFST022_00097_TODO_14",""
39,"TEXT_SUBFST022_00097_TODO_15",""
40,"TEXT_SUBFST022_00097_TODO_16",""
41,"TEXT_SUBFST022_00097_TODO_17",""
42,"TEXT_SUBFST022_00097_TODO_18",""
43,"TEXT_SUBFST022_00097_TODO_19",""
44,"TEXT_SUBFST022_00097_TODO_20",""
45,"TEXT_SUBFST022_00097_TODO_21",""
46,"TEXT_SUBFST022_00097_TODO_22",""
47,"TEXT_SUBFST022_00097_TODO_23",""
48,"TEXT_SUBFST022_00097_EADBERT_000_1","冒険者よ、「境樹」の調査に向かってくれないか。"
49,"TEXT_SUBFST022_00097_EADBERT_000_2","「境樹」は、古くより森を守ってきた神聖な木。
だが、最近、その周辺でイクサル族の姿が
目撃されていてな……。"
50,"TEXT_SUBFST022_00097_EADBERT_000_3","大方、斥候の類いであろうが、
大切な「境樹」の幹に傷でもつけられたら大事だ。"
51,"TEXT_SUBFST022_00097_EADBERT_000_4","ここから南東の「境樹」を訪れ、
幹に傷がないか確認してくれ。
もしイクサル族に出くわしたら、追い払ってくれるか。"
52,"TEXT_SUBFST022_00097_EADBERT_000_5","イクサル族は、好戦的な連中だ。
万が一に備え、気を引き締めていけよ。"
53,"TEXT_SUBFST022_00097_EADBERT_000_10","イクサル族を仕留めたか！
これで奴らも迂闊には近づかないだろう。"
54,"TEXT_SUBFST022_00097_EADBERT_000_11","まったく、身勝手で迷惑な連中だ。
大昔には黒衣森に住んでいたというが、
森への不敬がたたって、精霊から追い出されたのだ。"
55,"TEXT_SUBFST022_00097_EADBERT_000_12","だが、厄介なことに、その後森に入植した
我らグリダニアの民を逆恨みしているようでな……。
イクサル族を森の中で見かけたら、気をつけろ。"
56,"TEXT_SUBFST022_00097_EADBERT_000_13","さて、君の活躍は見事だった。
まだ、冒険者の助けを必要としている市民がいる。
よかったら話を聞いてやってくれ。"
57,"TEXT_SUBFST022_00097_SYSTEM_000_20","敵の気配を感じた！！"
