key,0,1
#,,
int32,str,str
0,"TEXT_MANFST008_00448_SEQ_00","神勇隊の隊長リュウィンには、冒険者になにやら伝えたいことがあるようだ。"
1,"TEXT_MANFST008_00448_SEQ_01","「大御霊祭り」の主役に抜擢された冒険者。どうやら、祭りに参加するには準備が必要のようだ。カーラインカフェの「ミューヌ」に相談してみよう。"
2,"TEXT_MANFST008_00448_SEQ_02","「大御霊祭り」は、精霊とのかかわりの深いグリダニアでは、とても重要な儀式とされているらしい。木工師ギルドの「ベアティヌ」に会い、祭りに必要な品を受け取ろう。"
3,"TEXT_MANFST008_00448_SEQ_03","ベアティヌから「桐の小箱」を受け取った。カーラインカフェの「ミューヌ」に「桐の小箱」を見せてみよう。"
4,"TEXT_MANFST008_00448_SEQ_04","小箱には「<Sheet(Item,2651,0)/>」という品が入っていた。モノアの仮面は、長老の木から削り取った特別な木材で作られているらしい。祭りの準備は整った。祭りが始まるのを楽しみに待とう。"
5,"TEXT_MANFST008_00448_SEQ_05",""
6,"TEXT_MANFST008_00448_SEQ_06",""
7,"TEXT_MANFST008_00448_SEQ_07",""
8,"TEXT_MANFST008_00448_SEQ_08",""
9,"TEXT_MANFST008_00448_SEQ_09",""
10,"TEXT_MANFST008_00448_SEQ_10",""
11,"TEXT_MANFST008_00448_SEQ_11",""
12,"TEXT_MANFST008_00448_SEQ_12",""
13,"TEXT_MANFST008_00448_SEQ_13",""
14,"TEXT_MANFST008_00448_SEQ_14",""
15,"TEXT_MANFST008_00448_SEQ_15",""
16,"TEXT_MANFST008_00448_SEQ_16",""
17,"TEXT_MANFST008_00448_SEQ_17",""
18,"TEXT_MANFST008_00448_SEQ_18",""
19,"TEXT_MANFST008_00448_SEQ_19",""
20,"TEXT_MANFST008_00448_SEQ_20",""
21,"TEXT_MANFST008_00448_SEQ_21",""
22,"TEXT_MANFST008_00448_SEQ_22",""
23,"TEXT_MANFST008_00448_SEQ_23",""
24,"TEXT_MANFST008_00448_TODO_00","カーラインカフェのミューヌに助言をもらう"
25,"TEXT_MANFST008_00448_TODO_01","ベアティヌから祭りに必要な品を受け取る"
26,"TEXT_MANFST008_00448_TODO_02","ミューヌに桐の小箱を見せる"
27,"TEXT_MANFST008_00448_TODO_03",""
28,"TEXT_MANFST008_00448_TODO_04",""
