key,0,1
#,,
int32,str,str
0,"TEXT_GAIUSB111_00830_SEQ_00","忘れられたオアシスのウ・クバ・ティアは、どうやら怒っているようだ……。"
1,"TEXT_GAIUSB111_00830_SEQ_01","ウ・クバ・ティアは、ウ・カズナの修行を冒険者に手伝わせたウ・チャカ・ティアに怒りを感じているようだ。ウ・チャカ・ティアと話そう。"
2,"TEXT_GAIUSB111_00830_SEQ_02","ウ・チャカ・ティアは、ウ・カズナが心配なようだ。付近にいるはずの「ウ・カズナ」を探そう。"
3,"TEXT_GAIUSB111_00830_SEQ_03","ウ・カズナは<Sheet(EventItem,2000647,0)/>に<Sheet(BNpcName,2191,0)/>を捕まえてきてほしいようだ。<Sheet(BNpcName,2191,0)/>のHPが低い状態で<Sheet(EventItem,2000647,0)/>を使い、捕獲しよう。"
4,"TEXT_GAIUSB111_00830_SEQ_04","<Sheet(EventItem,2000648,0)/>を手に入れた。ミノタウロスマルムにいる「ウ・カズナ」に渡そう。"
5,"TEXT_GAIUSB111_00830_SEQ_05","ウ・カズナは、弱った<Sheet(BNpcName,2191,0)/>を使って弓術の練習をするという。どうやら、すべてはウ・クバ・ティアの助言のようだ。忘れられたオアシスの「ウ・チャカ・ティア」に報告しよう。"
6,"TEXT_GAIUSB111_00830_SEQ_06","ウ・チャカ・ティアとウ・クバ・ティア。性格の違う2人だが、どちらも一族の者とその将来を大切に考えているようだ。いったい2人のうち、どちらが次の族長になるのだろうか。"
7,"TEXT_GAIUSB111_00830_SEQ_07",""
8,"TEXT_GAIUSB111_00830_SEQ_08",""
9,"TEXT_GAIUSB111_00830_SEQ_09",""
10,"TEXT_GAIUSB111_00830_SEQ_10",""
11,"TEXT_GAIUSB111_00830_SEQ_11",""
12,"TEXT_GAIUSB111_00830_SEQ_12",""
13,"TEXT_GAIUSB111_00830_SEQ_13",""
14,"TEXT_GAIUSB111_00830_SEQ_14",""
15,"TEXT_GAIUSB111_00830_SEQ_15",""
16,"TEXT_GAIUSB111_00830_SEQ_16",""
17,"TEXT_GAIUSB111_00830_SEQ_17",""
18,"TEXT_GAIUSB111_00830_SEQ_18",""
19,"TEXT_GAIUSB111_00830_SEQ_19",""
20,"TEXT_GAIUSB111_00830_SEQ_20",""
21,"TEXT_GAIUSB111_00830_SEQ_21",""
