key,0,1
#,,
int32,str,str
0,"TEXT_JOBSMN300_01091_SEQ_00","巴術士ギルドのトゥビルゲイムは、冒険者に任せたい仕事があるようだ。"
1,"TEXT_JOBSMN300_01091_SEQ_01","トゥビルゲイムから依頼を受けた。グリダニアのアプカル滝にいる「ヤ・ミトラ」と話そう。"
2,"TEXT_JOBSMN300_01091_SEQ_02","ヤ・ミトラと話した。南ザナラーンのビエルゴズ・ストライクの西にいる「ヤ・ミトラ」と話し、現れた召喚獣を討伐しよう。"
3,"TEXT_JOBSMN300_01091_SEQ_03","ヤ・ミトラと話し、現れた召喚獣を討伐した。南ザナラーンのビエルゴズ・ストライクの西にいる「ヤ・ミトラ」と話そう。"
4,"TEXT_JOBSMN300_01091_SEQ_04","ヤ・ミトラと話した。グリダニアのアプカル滝にいる「ヤ・ミトラ」に報告しよう。"
5,"TEXT_JOBSMN300_01091_SEQ_05","ヤ・ミトラに報告した。次は召喚獣「タイタン・エギ」を入手するため、土の荒行に入ってほしいと、ヤ・ミトラは語った。ヤ・ミトラの準備ができるまでに、冒険者は蛮神「タイタン」の討伐を成功させ、召喚士として経験を積まなくてはならない。

※蛮神タイタンを討伐し、召喚士のレベルが35以上になると、ヤ・ミトラから次の召喚士クエストを受注することができます。"
6,"TEXT_JOBSMN300_01091_SEQ_06",""
7,"TEXT_JOBSMN300_01091_SEQ_07",""
8,"TEXT_JOBSMN300_01091_SEQ_08",""
9,"TEXT_JOBSMN300_01091_SEQ_09",""
10,"TEXT_JOBSMN300_01091_SEQ_10",""
11,"TEXT_JOBSMN300_01091_SEQ_11",""
12,"TEXT_JOBSMN300_01091_SEQ_12",""
13,"TEXT_JOBSMN300_01091_SEQ_13",""
14,"TEXT_JOBSMN300_01091_SEQ_14",""
15,"TEXT_JOBSMN300_01091_SEQ_15",""
16,"TEXT_JOBSMN300_01091_SEQ_16",""
17,"TEXT_JOBSMN300_01091_SEQ_17",""
18,"TEXT_JOBSMN300_01091_SEQ_18",""
19,"TEXT_JOBSMN300_01091_SEQ_19",""
20,"TEXT_JOBSMN300_01091_SEQ_20",""
21,"TEXT_JOBSMN300_01091_SEQ_21",""
22,"TEXT_JOBSMN300_01091_SEQ_22",""
23,"TEXT_JOBSMN300_01091_SEQ_23",""
