key,0,1
#,,
int32,str,str
0,"TEXT_HEAVNZ026_01476_SEQ_00","レヴナンツトールのヒギリは、冒険者に頼みたいことがあるようだ。"
1,"TEXT_HEAVNZ026_01476_SEQ_01","ヒギリから、追憶の旅のついでに、ラウバーンに<Sheet(EventItem,2001947,0)/>を届けるように頼まれた。スウィフト大闘佐に声をかければ、取り次いでもらえるようだ。ウルダハの不滅隊：作戦本部にいるスウィフト大闘佐に「<Sheet(EventItem,2001947,0)/>」を渡そう。"
2,"TEXT_HEAVNZ026_01476_SEQ_02","スウィフト大闘佐に<Sheet(EventItem,2001947,0)/>を渡して、ラウバーンに取り次いでもらった。彼は、イルベルドの裏切りについて、自分にも非があると考えているようで、ウルダハとアラミゴ両方の民のため、全力を尽くすと誓うのだった。次は、クルザス西部高地のゴルガニュ牧場にいる「デュランデル家の騎兵」と話そう。"
3,"TEXT_HEAVNZ026_01476_SEQ_03","デュランデル家の騎兵と話した。ちょうど、氷の巫女に従っていた者たちが投降してきたところだという。ゴルガニュ牧場の地下にいる「投降してきた異端者」と話そう。"
4,"TEXT_HEAVNZ026_01476_SEQ_04","投降してきた異端者と話した。彼は、氷神シヴァの力で魂を捻じ曲げられていたというが、罪は償うつもりのようだ。冒険者に、氷の巫女の「仲間」になってくれたことの感謝を告げて、異端者は連行されていった。次は、クルザス西部高地の聖フィネア連隊の露営地にいる「ジャントゥロー」と話そう。"
5,"TEXT_HEAVNZ026_01476_SEQ_05","ジャントゥローと話した。彼によると、邪竜を失っても、人に恨みを持つドラゴン族は消えていないようだ。そして、聖竜の眷属との交流が本格化すれば、街道を警備する必要があるため、聖フィネア連隊が、その担い手となるという。次は、高地ドラヴァニアのテイルフェザーにいる「マルスシャン」と話そう。"
6,"TEXT_HEAVNZ026_01476_SEQ_06","マルスシャンと話した。イゼルの思い出話をした彼は、亡き彼女の想いが、冒険者に受け継がれていると信じているのだった。この先も、追憶の旅を続けよう。"
7,"TEXT_HEAVNZ026_01476_SEQ_07",""
8,"TEXT_HEAVNZ026_01476_SEQ_08",""
9,"TEXT_HEAVNZ026_01476_SEQ_09",""
10,"TEXT_HEAVNZ026_01476_SEQ_10",""
11,"TEXT_HEAVNZ026_01476_SEQ_11",""
12,"TEXT_HEAVNZ026_01476_SEQ_12",""
