key,0,1
#,,
int32,str,str
0,"TEXT_JOBNIN560_01686_SEQ_00","船着場の平屋のオボロの下に、ジャックからの連絡が来たようだ。"
1,"TEXT_JOBNIN560_01686_SEQ_01","オボロによると、ジャックが家宝の情報を掴んだという。リムサ・ロミンサの双剣士ギルドにいる「ジャック」と話そう。"
2,"TEXT_JOBNIN560_01686_SEQ_02","ジャックによると、ユキが求める家宝が出品された略奪品オークションは灰犬一家が主催しているそうだ。詳しい情報は流れの闇商人が調べているらしい。低地ラノシアの見捨てられた廃屋付近で「流れの闇商人」を探そう。"
3,"TEXT_JOBNIN560_01686_SEQ_03","現れた<Sheet(BNpcName,4090,0)/>を倒した。見捨てられた廃屋の「流れの闇商人」に「<Sheet(EventItem,2001724,0)/>」を渡そう。"
4,"TEXT_JOBNIN560_01686_SEQ_04","流れの闇商人によると、女頭ロサリンデが率いる灰犬一家はコスタ・デル・ソルで大騒ぎしているそうだ。さらに、魔導忍衆の残党はレッドウェイという、灰犬一家が雇った傭兵らしい。東ラノシアのコスタ・デル・ソルにある「<Sheet(EObj,2005932,0)/>」で見渡そう。"
5,"TEXT_JOBNIN560_01686_SEQ_05","レッドウェイとロサリンデの会話を盗み聞き、家宝の情報を得た。このことをユキたちに知らせなければ。船着場の平屋の「オボロ」と話そう。"
6,"TEXT_JOBNIN560_01686_SEQ_06","ユキから、家宝奪還への協力を頼まれた。その際、任務よりも命を大事にするよう約束させられた。約束を守り、任務を果たすためにも、己の技をさらに高めていこう。

※忍者のレベルが58以上になると、船着場の平屋のオボロから次の忍者クエストを受注することができます。"
7,"TEXT_JOBNIN560_01686_SEQ_07",""
8,"TEXT_JOBNIN560_01686_SEQ_08",""
9,"TEXT_JOBNIN560_01686_SEQ_09",""
10,"TEXT_JOBNIN560_01686_SEQ_10",""
11,"TEXT_JOBNIN560_01686_SEQ_11",""
12,"TEXT_JOBNIN560_01686_SEQ_12",""
13,"TEXT_JOBNIN560_01686_SEQ_13",""
14,"TEXT_JOBNIN560_01686_SEQ_14",""
15,"TEXT_JOBNIN560_01686_SEQ_15",""
16,"TEXT_JOBNIN560_01686_SEQ_16",""
17,"TEXT_JOBNIN560_01686_SEQ_17",""
18,"TEXT_JOBNIN560_01686_SEQ_18",""
