key,0,1
#,,
int32,str,str
0,"TEXT_JOBBRD501_01713_SEQ_00","クォーリーミルの西にいるジェアンテルは、冒険者に提案があるようだ。"
1,"TEXT_JOBBRD501_01713_SEQ_01","前回までの冒険録：
冒険者が出会った、黒衣森に住まう吟遊詩人ジェアンテルは、過去に引き起こした惨劇の記憶に苛まれていた。冒険者の協力のもと、ジェアンテルは、その忌まわしき記憶を克服し、後進の育成のため、神勇隊で指導にあたることを決めるのだった。
　　　　　　　　　　　　*　*　*
ジェアンテルと話した。彼は、吟遊詩人として更なる成長の手助けをしたいようだ。グリダニアの神勇隊司令砦の前で「ジェアンテル」と話そう。"
2,"TEXT_JOBBRD501_01713_SEQ_02","ジェアンテルに双蛇党の槍術士サンソン大牙士を紹介された。サンソン大牙士は、吟遊詩人を集めた特殊部隊の設立を計画しているらしい。設立に反対している神勇隊との会談に出席するため、グリダニアの神勇隊司令室で「ジェアンテル」と話そう。"
3,"TEXT_JOBBRD501_01713_SEQ_03","ジェアンテルと会談に出席した。伝説の戦歌「終焉の戦歌」を探す旅に出るというサンソン大牙士に対し、神勇隊金牛師団長は、実力を測るため「<Sheet(BNpcName,4074,0)/>」の討伐を命じてきた。神勇隊司令室の「ジェアンテル」と話そう。"
4,"TEXT_JOBBRD501_01713_SEQ_04","ジェアンテルに、サンソン大牙士の旅の手助けを頼まれた。東部森林のアマリセ監視哨で、「サンソン大牙士」と話そう。"
5,"TEXT_JOBBRD501_01713_SEQ_05","サンソン大牙士と話すと、<Sheet(BNpcName,4074,0)/>が襲いかかってきた。アマリセ監視哨で「サンソン大牙士」を救助しよう。"
6,"TEXT_JOBBRD501_01713_SEQ_06","サンソン大牙士を救助した。更に魔物が現れるが、そこに神勇隊の吟遊詩人ギドゥロが登場し、魔物を倒した。ギドゥロも、「終焉の戦歌」を探す旅に出るべく、試練に参加したという。アマリセ監視哨で「ジェアンテル」と話そう。"
7,"TEXT_JOBBRD501_01713_SEQ_07","ジェアンテルと話した。神勇隊司令砦に戻り「サンソン大牙士」と話そう。"
8,"TEXT_JOBBRD501_01713_SEQ_08","サンソン大牙士が無事に帰ってきたことにより、旅の許可が降りた。イシュガルド下層のエーテライト・プラザで「サンソン大牙士」と話そう。"
