key,0,1
#,,
int32,str,str
0,"TEXT_JOBAST299_02123_SEQ_00",""
1,"TEXT_JOBAST299_02123_SEQ_01",""
2,"TEXT_JOBAST299_02123_SEQ_02",""
3,"TEXT_JOBAST299_02123_SEQ_03",""
4,"TEXT_JOBAST299_02123_SEQ_04",""
5,"TEXT_JOBAST299_02123_SEQ_05",""
6,"TEXT_JOBAST299_02123_SEQ_06",""
7,"TEXT_JOBAST299_02123_SEQ_07",""
8,"TEXT_JOBAST299_02123_SEQ_08",""
9,"TEXT_JOBAST299_02123_SEQ_09",""
10,"TEXT_JOBAST299_02123_SEQ_10",""
11,"TEXT_JOBAST299_02123_SEQ_11",""
12,"TEXT_JOBAST299_02123_SEQ_12",""
13,"TEXT_JOBAST299_02123_SEQ_13",""
14,"TEXT_JOBAST299_02123_SEQ_14",""
15,"TEXT_JOBAST299_02123_SEQ_15",""
16,"TEXT_JOBAST299_02123_SEQ_16",""
17,"TEXT_JOBAST299_02123_SEQ_17",""
18,"TEXT_JOBAST299_02123_SEQ_18",""
19,"TEXT_JOBAST299_02123_SEQ_19",""
20,"TEXT_JOBAST299_02123_SEQ_20",""
21,"TEXT_JOBAST299_02123_SEQ_21",""
22,"TEXT_JOBAST299_02123_SEQ_22",""
23,"TEXT_JOBAST299_02123_SEQ_23",""
24,"TEXT_JOBAST299_02123_TODO_00",""
25,"TEXT_JOBAST299_02123_TODO_01",""
26,"TEXT_JOBAST299_02123_TODO_02",""
27,"TEXT_JOBAST299_02123_TODO_03",""
28,"TEXT_JOBAST299_02123_TODO_04",""
29,"TEXT_JOBAST299_02123_TODO_05",""
30,"TEXT_JOBAST299_02123_TODO_06",""
31,"TEXT_JOBAST299_02123_TODO_07",""
32,"TEXT_JOBAST299_02123_TODO_08",""
33,"TEXT_JOBAST299_02123_TODO_09",""
34,"TEXT_JOBAST299_02123_TODO_10",""
35,"TEXT_JOBAST299_02123_TODO_11",""
36,"TEXT_JOBAST299_02123_TODO_12",""
37,"TEXT_JOBAST299_02123_TODO_13",""
38,"TEXT_JOBAST299_02123_TODO_14",""
39,"TEXT_JOBAST299_02123_TODO_15",""
40,"TEXT_JOBAST299_02123_TODO_16",""
41,"TEXT_JOBAST299_02123_TODO_17",""
42,"TEXT_JOBAST299_02123_TODO_18",""
43,"TEXT_JOBAST299_02123_TODO_19",""
44,"TEXT_JOBAST299_02123_TODO_20",""
45,"TEXT_JOBAST299_02123_TODO_21",""
46,"TEXT_JOBAST299_02123_TODO_22",""
47,"TEXT_JOBAST299_02123_TODO_23",""
48,"TEXT_JOBAST299_02123_JANNEQUINARD_000_000","ごきげんうるわしゅう存じます。
ようこそ、「聖ガンリオル占星院」へ。
天空に煌めく星々に興味をお持ちですか？"
49,"TEXT_JOBAST299_02123_Q1_000_000","天空に煌めく星々に興味がある？"
50,"TEXT_JOBAST299_02123_A1_000_001","はい"
51,"TEXT_JOBAST299_02123_A1_000_002","いいえ"
52,"TEXT_JOBAST299_02123_JANNEQUINARD_000_001","やはり、そうでしたか。
こちらに赴かれる方は、たいていそうおっしゃいます。"
53,"TEXT_JOBAST299_02123_JANNEQUINARD_000_002","そうでしたか……。
ですが、こちらに赴かれたのも何かの縁。
今からでも、ぜひ星に注目してみてはいかがでしょう？"
54,"TEXT_JOBAST299_02123_JANNEQUINARD_000_003","ここは星を観測してドラゴン族の動向を予測をする、
「占星術士」の集う場ですが……
実は、知の都「シャーレアン」由来の占星術も学べるんですよ！"
55,"TEXT_JOBAST299_02123_JANNEQUINARD_000_004","シャーレアンの占星魔法を学べる機会は、滅多にありません。
学びの途中にも、多くの困難が待ち受けているでしょうが、
それでもこの運命を掴み、貴方も「占星術師」を目指しませんか？"
56,"TEXT_JOBAST299_02123_Q2_000_000","「占星術師」を目指しますか？"
57,"TEXT_JOBAST299_02123_A2_000_001","はい"
58,"TEXT_JOBAST299_02123_A2_000_002","いいえ"
59,"TEXT_JOBAST299_02123_JANNEQUINARD_000_010","すばらしい決断です！
私は、ジャンヌキナル・ド・デュランデル。
今や、皇都でただひとりの「占星術師」でもあります。"
60,"TEXT_JOBAST299_02123_JANNEQUINARD_000_0011","……貴方は、<Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>さんというのですね。
それでは、準備ができたら声をかけてください。"
61,"TEXT_JOBAST299_02123_JANNEQUINARD_000_015","おや……今は、貴方の運命と「占星術師」は交わらぬ様子。
ですが、運命は流動的に変化しているもの……。
いつか我らの運命が、再び交わる日を心待ちにしております。"
