key,0,1
#,,
int32,str,str
0,"TEXT_STMBDZ610_02788_SEQ_00","ドタール・カーのドタール族の戦士は、優秀な戦士に興味があるようだ。"
1,"TEXT_STMBDZ610_02788_SEQ_01","ドタール族の戦士と話す"
2,"TEXT_STMBDZ610_02788_SEQ_02","線の外へ出ず暮れの玉座の胸元に向かう"
3,"TEXT_STMBDZ610_02788_SEQ_03","<Sheet(EventItem,2002367,0)/>を入手"
4,"TEXT_STMBDZ610_02788_SEQ_04","ドタール族の戦士に<Sheet(EventItem,2002367,0)/>を渡す"
5,"TEXT_STMBDZ610_02788_SEQ_05","ドタール族の戦士と話す"
6,"TEXT_STMBDZ610_02788_SEQ_06",""
7,"TEXT_STMBDZ610_02788_SEQ_07",""
8,"TEXT_STMBDZ610_02788_SEQ_08",""
9,"TEXT_STMBDZ610_02788_SEQ_09",""
10,"TEXT_STMBDZ610_02788_SEQ_10",""
11,"TEXT_STMBDZ610_02788_SEQ_11",""
12,"TEXT_STMBDZ610_02788_SEQ_12",""
13,"TEXT_STMBDZ610_02788_SEQ_13",""
14,"TEXT_STMBDZ610_02788_SEQ_14",""
15,"TEXT_STMBDZ610_02788_SEQ_15",""
16,"TEXT_STMBDZ610_02788_SEQ_16",""
17,"TEXT_STMBDZ610_02788_SEQ_17",""
18,"TEXT_STMBDZ610_02788_SEQ_18",""
19,"TEXT_STMBDZ610_02788_SEQ_19",""
20,"TEXT_STMBDZ610_02788_SEQ_20",""
21,"TEXT_STMBDZ610_02788_SEQ_21",""
22,"TEXT_STMBDZ610_02788_SEQ_22",""
23,"TEXT_STMBDZ610_02788_SEQ_23",""
24,"TEXT_STMBDZ610_02788_TODO_00","ドタール族の戦士と話す"
25,"TEXT_STMBDZ610_02788_TODO_01","ドタール族の戦士のもとに向かう"
26,"TEXT_STMBDZ610_02788_TODO_02","線の外へ出ず暮れの玉座の胸元に向かう"
27,"TEXT_STMBDZ610_02788_TODO_03","<Sheet(EventItem,2002367,0)/>を入手"
28,"TEXT_STMBDZ610_02788_TODO_04","ドタール族の戦士に<Sheet(EventItem,2002367,0)/>を渡す"
29,"TEXT_STMBDZ610_02788_TODO_05","ドタール族の戦士と話す"
30,"TEXT_STMBDZ610_02788_TODO_06",""
31,"TEXT_STMBDZ610_02788_TODO_07",""
