key,0,1
#,,
int32,str,str
0,"TEXT_LUCKBA301_03273_SEQ_00","彷徨う階段亭のルー・リークは、ふてぶてしく仁王立ちしている。"
1,"TEXT_LUCKBA301_03273_SEQ_01","ルー・リークは「四使徒」の一角を仕留めるため、仲間を探しているという。冒険者は彼からの試練を受けることになった。レイクランドの迷える羊飼いの森で「ルー・リーク」と話そう。"
2,"TEXT_LUCKBA301_03273_SEQ_02","ルー・リークの試練とは<Sheet(BNpcName,8439,0)/>の討伐だった。彼から受け取った「<Sheet(EventItem,2002718,0)/>」を、迷える羊飼いの森の「<Sheet(EObj,2010396,0)/>」に置いて、<Sheet(BNpcName,8439,0)/>をおびき寄せよう。"
3,"TEXT_LUCKBA301_03273_SEQ_03","<Sheet(EventItem,2002718,0)/>を置いた。迷える羊飼いの森の「<Sheet(EObj,2010397,0)/>」で待機して、現れた「<Sheet(BNpcName,8439,0)/>」を討伐しよう。"
4,"TEXT_LUCKBA301_03273_SEQ_04","<Sheet(BNpcName,8439,0)/>を討伐した。迷える羊飼いの森の「ルー・リーク」と話そう。"
5,"TEXT_LUCKBA301_03273_SEQ_05","ルー・リークに報告した。彷徨う階段亭に戻り「ルー・リーク」と話そう。"
6,"TEXT_LUCKBA301_03273_SEQ_06","ルー・リークと話したところ、冒険者は試練を突破したようで料理を奢られた。彼が狙う「四使徒」の一角は、光の戦士レンダ・レイの肉体を持つ「アンドレイア」だった。冒険者はルー・リークとともに、罪喰いにされた魔獣を倒しながら、アンドレイアの討伐を目指すことになった。折を見て、またルー・リークを訪ねよう。

※いずれかのファイター系DPSジョブのレベルが72以上になると、彷徨う階段亭のルー・リークから次のファイター系DPSロールクエストを受注することができます。"
7,"TEXT_LUCKBA301_03273_SEQ_07",""
8,"TEXT_LUCKBA301_03273_SEQ_08",""
9,"TEXT_LUCKBA301_03273_SEQ_09",""
10,"TEXT_LUCKBA301_03273_SEQ_10",""
11,"TEXT_LUCKBA301_03273_SEQ_11",""
12,"TEXT_LUCKBA301_03273_SEQ_12",""
13,"TEXT_LUCKBA301_03273_SEQ_13",""
14,"TEXT_LUCKBA301_03273_SEQ_14",""
15,"TEXT_LUCKBA301_03273_SEQ_15",""
16,"TEXT_LUCKBA301_03273_SEQ_16",""
17,"TEXT_LUCKBA301_03273_SEQ_17",""
