key,0,1
#,,
int32,str,str
0,"TEXT_LUCKZK001_03592_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>特殊ルール： レベルアジャスト<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
アーモロートの創造物管理局の役人は、見慣れぬ冒険者に声をかけたいようだ。"
1,"TEXT_LUCKZK001_03592_SEQ_01","※本クエストには「<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow><UIGlow>01</UIGlow><UIForeground>01</UIForeground> レベルアジャスト」が、
　設定されています。

創造物管理局の役人は、創造物管理局の仕組みを教えてくれた。創造物管理局内で創造物の登録を待つ「穏やかなアーモロート市民」に話を聞いてみよう。"
2,"TEXT_LUCKZK001_03592_SEQ_02","穏やかなアーモロート市民と話した。どうやら、新たな生物の登録を試みているようだ。創造物管理局内の「熱心なアーモロート市民」にも話を聞いてみよう。"
3,"TEXT_LUCKZK001_03592_SEQ_03","熱心なアーモロート市民と話した。動く人形を含め、数多の創造物を登録してきたようだ。引き続き創造物管理局内の「不安げなアーモロート市民」にも話を聞いてみよう。"
4,"TEXT_LUCKZK001_03592_SEQ_04","不安げなアーモロート市民と話した。自分の新たな創造物が登録されるか不安なようだ。創造物の感想を伝えるため、「<Sheet(EObj,2010125,0)/>」で「<Sheet(EventItem,2002612,0)/>」を使い、現れた「<Sheet(BNpcName,8414,0)/>」を討伐しよう。"
5,"TEXT_LUCKZK001_03592_SEQ_05","<Sheet(BNpcName,8414,0)/>を討伐した。創造物管理局の不安げなアーモロート市民に報告しよう。"
6,"TEXT_LUCKZK001_03592_SEQ_06","不安げなアーモロート市民は、<Sheet(BNpcName,8414,0)/>が登録に値しないと判断したようだ。彼は再び、創造魔法で新たな生物を生みだす試みに戻るのだろう。"
7,"TEXT_LUCKZK001_03592_SEQ_07",""
8,"TEXT_LUCKZK001_03592_SEQ_08",""
9,"TEXT_LUCKZK001_03592_SEQ_09",""
10,"TEXT_LUCKZK001_03592_SEQ_10",""
11,"TEXT_LUCKZK001_03592_SEQ_11",""
12,"TEXT_LUCKZK001_03592_SEQ_12",""
13,"TEXT_LUCKZK001_03592_SEQ_13",""
14,"TEXT_LUCKZK001_03592_SEQ_14",""
15,"TEXT_LUCKZK001_03592_SEQ_15",""
