key,0,1
#,,
int32,str,str
0,"TEXT_LUCKMF108_03651_SEQ_00","奇人のアトリエのグレノルトは、意気揚々と製作にとりかかろうとしている。"
1,"TEXT_LUCKMF108_03651_SEQ_01","グレノルトからランプを受け取り、ついでに、装備も作ってもらえることになった。テンペストのオンドの潮溜まりにいる「トルスィー・アース」に「<Sheet(EventItem,2002675,0)/>」を渡そう。"
2,"TEXT_LUCKMF108_03651_SEQ_02","トルスィー・アースにランプを渡し、祈祷を見届けた。オンドの潮溜まりにいる「案内役のオンド族」と話そう。"
3,"TEXT_LUCKMF108_03651_SEQ_03","案内役のオンド族と話した。オンドの潮溜まり付近にいる、「案内役のオンド族」と再度話そう。"
4,"TEXT_LUCKMF108_03651_SEQ_04","案内役のオンド族から道を聞いた。ノルヴラント大陸斜面の「ウリエンジェ」と話そう。"
5,"TEXT_LUCKMF108_03651_SEQ_05","ウリエンジェと話した。キャリバン海底谷のトリンキュローの岩棚にいる「アルフィノ」と話そう。"
6,"TEXT_LUCKMF108_03651_SEQ_06","アルフィノと話した。キャリバン海底谷の「アリゼー」と話そう。"
7,"TEXT_LUCKMF108_03651_SEQ_07","アリゼーと話した。テンペストのキャリバンの古巣穴前にいる「アリゼー」と再度話そう。"
8,"TEXT_LUCKMF108_03651_SEQ_08","アリゼーたちとともに、結界を解いた。キャリバンの古巣穴の出口に向かおう。"
9,"TEXT_LUCKMF108_03651_SEQ_09","出口の先には、巨大な幻影都市があった。キャリバン海底谷の「ヤ・シュトラ」と話そう。"
10,"TEXT_LUCKMF108_03651_SEQ_10","ヤ・シュトラと話した。冒険者たちの眼前にそびえる都市は、先史時代の遺構の上に、在りし日の街並みを魔法で再現したもののようだ。あの街のいずこかで、エメトセルクが待ち構えているのだろうか……。"
11,"TEXT_LUCKMF108_03651_SEQ_11",""
12,"TEXT_LUCKMF108_03651_SEQ_12",""
13,"TEXT_LUCKMF108_03651_SEQ_13",""
14,"TEXT_LUCKMF108_03651_SEQ_14",""
15,"TEXT_LUCKMF108_03651_SEQ_15",""
16,"TEXT_LUCKMF108_03651_SEQ_16",""
17,"TEXT_LUCKMF108_03651_SEQ_17",""
18,"TEXT_LUCKMF108_03651_SEQ_18",""
19,"TEXT_LUCKMF108_03651_SEQ_19",""
