key,0,1
#,,
int32,str,str
0,"TEXT_BANPIX125_03713_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>特殊ルール： レベルアジャスト受注クラス・ジョブ制限<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
※本クエストは受注時のクラス・ジョブでのみ進行します。

リダ・ラーンのウィン＝ニイは、何やら慌てふためいている。"
1,"TEXT_BANPIX125_03713_SEQ_01",""
2,"TEXT_BANPIX125_03713_SEQ_02",""
3,"TEXT_BANPIX125_03713_SEQ_03",""
4,"TEXT_BANPIX125_03713_SEQ_04",""
5,"TEXT_BANPIX125_03713_SEQ_05",""
6,"TEXT_BANPIX125_03713_SEQ_06",""
7,"TEXT_BANPIX125_03713_SEQ_07",""
8,"TEXT_BANPIX125_03713_SEQ_08",""
9,"TEXT_BANPIX125_03713_SEQ_09",""
10,"TEXT_BANPIX125_03713_SEQ_10",""
11,"TEXT_BANPIX125_03713_SEQ_11",""
12,"TEXT_BANPIX125_03713_SEQ_12",""
13,"TEXT_BANPIX125_03713_SEQ_13",""
14,"TEXT_BANPIX125_03713_SEQ_14",""
15,"TEXT_BANPIX125_03713_SEQ_15",""
16,"TEXT_BANPIX125_03713_SEQ_16",""
17,"TEXT_BANPIX125_03713_SEQ_17",""
18,"TEXT_BANPIX125_03713_SEQ_18",""
19,"TEXT_BANPIX125_03713_SEQ_19",""
20,"TEXT_BANPIX125_03713_SEQ_20",""
21,"TEXT_BANPIX125_03713_SEQ_21",""
22,"TEXT_BANPIX125_03713_SEQ_22",""
23,"TEXT_BANPIX125_03713_SEQ_23",""
24,"TEXT_BANPIX125_03713_TODO_00","六つ子の浅瀬付近で<Sheet(BNpcName,9173,0)/>を討伐"
25,"TEXT_BANPIX125_03713_TODO_01","怯えた様子のポークシーを救助"
26,"TEXT_BANPIX125_03713_TODO_02","ウィン＝ニイに報告"
27,"TEXT_BANPIX125_03713_TODO_03",""
28,"TEXT_BANPIX125_03713_TODO_04",""
29,"TEXT_BANPIX125_03713_TODO_05",""
30,"TEXT_BANPIX125_03713_TODO_06",""
31,"TEXT_BANPIX125_03713_TODO_07",""
32,"TEXT_BANPIX125_03713_TODO_08",""
33,"TEXT_BANPIX125_03713_TODO_09",""
34,"TEXT_BANPIX125_03713_TODO_10",""
35,"TEXT_BANPIX125_03713_TODO_11",""
36,"TEXT_BANPIX125_03713_TODO_12",""
37,"TEXT_BANPIX125_03713_TODO_13",""
38,"TEXT_BANPIX125_03713_TODO_14",""
39,"TEXT_BANPIX125_03713_TODO_15",""
40,"TEXT_BANPIX125_03713_TODO_16",""
41,"TEXT_BANPIX125_03713_TODO_17",""
42,"TEXT_BANPIX125_03713_TODO_18",""
43,"TEXT_BANPIX125_03713_TODO_19",""
44,"TEXT_BANPIX125_03713_TODO_20",""
45,"TEXT_BANPIX125_03713_TODO_21",""
46,"TEXT_BANPIX125_03713_TODO_22",""
47,"TEXT_BANPIX125_03713_TODO_23",""
48,"TEXT_BANPIX125_03713_UINNEE_000_000","<Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>さん、大変！
プラ・エンニ茸窟から来るはずのポークシーが、
アンチロウのン・モゥ族に、捕まっちゃったみたいなの！"
49,"TEXT_BANPIX125_03713_UINNEE_000_001","あの子が来てくれないと、
夢の中に持ち込むものが、調達できなくなっちゃう……！"
50,"TEXT_BANPIX125_03713_UINNEE_000_002","どうかお願い、ポークシーを取り返してきてほしいの！
ポークシーが襲われた現場は、六つ子の浅瀬の辺りよ！
急げば、まだ間に合うはずだから……助けてあげて！"
51,"TEXT_BANPIX125_03713_SYSTEM_000_005","どうやら、ポークシーは冒険者に感謝しているようだ。
うれしそうに、リダ・ラーンの方向へ飛び去っていった。"
52,"TEXT_BANPIX125_03713_UINNEE_000_010","おかえりなさい、ポークシーも無事にたどり着いたわよ！
アンチロウに捕まったと聞いたときは、
どうしようかと思ったけど、アナタのおかげで助かったわ！"
53,"TEXT_BANPIX125_03713_UINNEE_000_011","プラ・エンニ茸窟のン・モゥ族には、
ワタシから、ポークシーの無事を伝えておくわ。
また何かあったら、頼りにさせてね！"
