key,0,1
#,,
int32,str,str
0,"TEXT_LUCKTA301_03952_SEQ_00","コメラの村のドワーフ族の親方は、祭りを楽しみにしているようだ。"
1,"TEXT_LUCKTA301_03952_SEQ_01","前回までの冒険録：
２Ｐが機能停止する寸前に口にした、「アンドロイドに対抗するための鍵となる装置」を手に入れたアノッグたち。あとは、装置にエネルギーが溜まるのを待つばかりだが……。
　　　　　　　　　　　　*　*　*
ドワーフ族の親方と話した。コメラの村の村人たちに、「<Sheet(EventItem,2003029,0)/>」を渡そう。"
2,"TEXT_LUCKTA301_03952_SEQ_02","村人たちに「<Sheet(EventItem,2003029,0)/>」を渡した。コメラの村の「ドワーフ族の親方」と話そう。"
3,"TEXT_LUCKTA301_03952_SEQ_03","ドワーフ族の親方と話していると、アノッグとコノッグが現れた。どうやら、２Ｐが「鍵」と呼んでいた装置の調査に、進展があったようだ。機械遺跡の坑道の「アノッグ」と話そう。"
4,"TEXT_LUCKTA301_03952_SEQ_04","アノッグと話した。「鍵」と呼ばれる装置は、２Ｐがいなければ起動できないらしい。複製サレタ工場廃墟の第2区画付近の「<Sheet(EObj,2011156,0)/>」で、チャットの会話モードを「Say」モードにし、キーボードやソフトウェアキーボードで『アノッグ』を含む言葉を入力して、「アノッグ」に呼びかけよう。"
5,"TEXT_LUCKTA301_03952_SEQ_05","アノッグに呼びかけた。２Ｐとよく似た姿のアンドロイドのパーツを使って、２Ｐの再起動を試みるようだ。機械遺跡の坑道の「アノッグ」と話そう。"
6,"TEXT_LUCKTA301_03952_SEQ_06","アノッグと話した。ポッドの処置により、２Ｐを再起動させることに成功した。"
7,"TEXT_LUCKTA301_03952_SEQ_07",""
8,"TEXT_LUCKTA301_03952_SEQ_08",""
9,"TEXT_LUCKTA301_03952_SEQ_09",""
10,"TEXT_LUCKTA301_03952_SEQ_10",""
11,"TEXT_LUCKTA301_03952_SEQ_11",""
12,"TEXT_LUCKTA301_03952_SEQ_12",""
13,"TEXT_LUCKTA301_03952_SEQ_13",""
14,"TEXT_LUCKTA301_03952_SEQ_14",""
15,"TEXT_LUCKTA301_03952_SEQ_15",""
16,"TEXT_LUCKTA301_03952_SEQ_16",""
17,"TEXT_LUCKTA301_03952_SEQ_17",""
18,"TEXT_LUCKTA301_03952_SEQ_18",""
