key,0,1
#,,
int32,str,str
0,"TEXT_LUCKMJ101_04007_SEQ_00","石の家のクルルは、冒険者を待っていたようだ。"
1,"TEXT_LUCKMJ101_04007_SEQ_01","前回までの冒険録：
アシエン・エリディブスは、「世界を救いたい」という願いによって生じた蛮神ゾディアークから分かたれた存在だった。彼はクリスタルタワーを乗っ取り、水晶公の召喚術で異世界の光の戦士たちの幻影を次々と召喚、冒険者たちと戦いを繰り広げる。エリディブス自身もまた、「ウォーリア・オブ・ライト」を名乗って冒険者の前に立ちはだかる。激闘の末に冒険者が勝利し、水晶公によってエリディブスはクリスタルタワーに封印された。かくして、最後のオリジナル・アシエンは下され、長らく第一世界に渡っていた賢人たちはソウル・サイフォンで原初世界への帰還を果たす。水晶公の役目を果たした青年もまた、グ・ラハ・ティアとして「暁の血盟」に加わるのだった。
　　　　　　　　　　　　*　*　*
「暁」の皆で今後の動きを話し合ったところ、リセが現れ、皆はエオルゼア同盟軍との会議に向かった。冒険者はアリゼーとテンパードの治療法を模索することになった。石の家の未明の間にいる「アリゼー」と話そう。"
2,"TEXT_LUCKMJ101_04007_SEQ_02","アリゼーと話した。テンパードについて調べるため魔大陸に向かうことになり、タタルが何やら用意しているという。モードゥナの銀泪湖北岸にいる「タタル」と話そう。"
3,"TEXT_LUCKMJ101_04007_SEQ_03","タタルはボナンザ号という「暁」専用の飛空艇を造っていた。ボナンザ号で魔大陸へと向かった。魔大陸アジス・ラーのポート・ヘリックスにいる「アリゼー」と話そう。"
4,"TEXT_LUCKMJ101_04007_SEQ_04","魔大陸でテンパードの治療法の糸口を掴もう。"
5,"TEXT_LUCKMJ101_04007_SEQ_05",""
6,"TEXT_LUCKMJ101_04007_SEQ_06",""
7,"TEXT_LUCKMJ101_04007_SEQ_07",""
8,"TEXT_LUCKMJ101_04007_SEQ_08",""
9,"TEXT_LUCKMJ101_04007_SEQ_09",""
10,"TEXT_LUCKMJ101_04007_SEQ_10",""
11,"TEXT_LUCKMJ101_04007_SEQ_11",""
12,"TEXT_LUCKMJ101_04007_SEQ_12",""
13,"TEXT_LUCKMJ101_04007_SEQ_13",""
14,"TEXT_LUCKMJ101_04007_SEQ_14",""
15,"TEXT_LUCKMJ101_04007_SEQ_15",""
16,"TEXT_LUCKMJ101_04007_SEQ_16",""
