key,0,1
#,,
int32,str,str
0,"TEXT_LUCKMK103_04060_SEQ_00","デルタ管区のエスティニアンは、ティアマットのもとへ向かいたいようだ。"
1,"TEXT_LUCKMK103_04060_SEQ_01",""
2,"TEXT_LUCKMK103_04060_SEQ_02",""
3,"TEXT_LUCKMK103_04060_SEQ_03",""
4,"TEXT_LUCKMK103_04060_SEQ_04",""
5,"TEXT_LUCKMK103_04060_SEQ_05",""
6,"TEXT_LUCKMK103_04060_SEQ_06",""
7,"TEXT_LUCKMK103_04060_SEQ_07",""
8,"TEXT_LUCKMK103_04060_SEQ_08",""
9,"TEXT_LUCKMK103_04060_SEQ_09",""
10,"TEXT_LUCKMK103_04060_SEQ_10",""
11,"TEXT_LUCKMK103_04060_SEQ_11",""
12,"TEXT_LUCKMK103_04060_SEQ_12",""
13,"TEXT_LUCKMK103_04060_SEQ_13",""
14,"TEXT_LUCKMK103_04060_SEQ_14",""
15,"TEXT_LUCKMK103_04060_SEQ_15",""
16,"TEXT_LUCKMK103_04060_SEQ_16",""
17,"TEXT_LUCKMK103_04060_SEQ_17",""
18,"TEXT_LUCKMK103_04060_SEQ_18",""
19,"TEXT_LUCKMK103_04060_SEQ_19",""
20,"TEXT_LUCKMK103_04060_SEQ_20",""
21,"TEXT_LUCKMK103_04060_SEQ_21",""
22,"TEXT_LUCKMK103_04060_SEQ_22",""
23,"TEXT_LUCKMK103_04060_SEQ_23",""
24,"TEXT_LUCKMK103_04060_TODO_00","<Sheet(EObj,2011483,0)/>に向かう"
25,"TEXT_LUCKMK103_04060_TODO_01","グ・ラハ・ティアと話す"
26,"TEXT_LUCKMK103_04060_TODO_02","アジス・ラー旗艦島のアルフィノと話す"
27,"TEXT_LUCKMK103_04060_TODO_03","アラグ帝国の端末を探す"
28,"TEXT_LUCKMK103_04060_TODO_04","アルフィノと話す"
29,"TEXT_LUCKMK103_04060_TODO_05","警告音を発している端末に<Sheet(EventItem,2003070,0)/>を見せる"
30,"TEXT_LUCKMK103_04060_TODO_06",""
31,"TEXT_LUCKMK103_04060_TODO_07",""
32,"TEXT_LUCKMK103_04060_TODO_08",""
33,"TEXT_LUCKMK103_04060_TODO_09",""
34,"TEXT_LUCKMK103_04060_TODO_10",""
35,"TEXT_LUCKMK103_04060_TODO_11",""
