key,0,1
#,,
int32,str,str
0,"TEXT_AKTKBA511_04127_SEQ_00","イシュガルドの作戦立案室にいるアルトアレールは、報告を待っているようだ。"
1,"TEXT_AKTKBA511_04127_SEQ_01","アイメリク、アルトアレールとともに、クレム助祭から話を聞いた。偽神獣ファーヴニルの行動を予測するため、ファーヴニルの正体を探ることとなった。イシュガルドの上層の「グランド・ホプロン」周辺で、偽神獣と化した青年の目撃情報を集めよう。"
2,"TEXT_AKTKBA511_04127_SEQ_02","皇都の市民から話を聞いた。イシュガルドの上層、尊者の凱旋門付近にいる「アイメリク」に報告しよう。"
3,"TEXT_AKTKBA511_04127_SEQ_03","アイメリク、アルトアレールと聞き込みした情報をすり合わせた。ヴァンドローを知る者に話を聞くため、アルトアレールが蒼天街へ赴いてくれることとなった。アイメリクとともに、イシュガルドの下層、雲霧街の「<Sheet(EObj,2011698,0)/>」で待機しよう。"
4,"TEXT_AKTKBA511_04127_SEQ_04","ヴァンドローという青年を看病していたロヴリックから話を聞いた。偽神獣となったヴァンドローは、蒼天街のルーシュマンド記念病院に入院していた患者だったようだ。今後の作戦を練るため作戦立案室に戻って「アルトアレール」と話そう。
一度外に出た場合は、神殿騎士団本部にいる「神殿騎士団の衛兵」が、作戦立案室へ案内してくれるようだ。"
5,"TEXT_AKTKBA511_04127_SEQ_05","アイメリク、アルトアレールと話した。ヴァンドローの正体に迫るため、引き続き彼らに協力しよう。

※いずれかの遠隔魔法DPSジョブのレベルが87以上になると、神殿騎士団本部内、作戦立案室のアルトアレールから次の遠隔魔法DPSロールクエストを受注することができます。"
6,"TEXT_AKTKBA511_04127_SEQ_06",""
7,"TEXT_AKTKBA511_04127_SEQ_07",""
8,"TEXT_AKTKBA511_04127_SEQ_08",""
9,"TEXT_AKTKBA511_04127_SEQ_09",""
10,"TEXT_AKTKBA511_04127_SEQ_10",""
11,"TEXT_AKTKBA511_04127_SEQ_11",""
12,"TEXT_AKTKBA511_04127_SEQ_12",""
13,"TEXT_AKTKBA511_04127_SEQ_13",""
14,"TEXT_AKTKBA511_04127_SEQ_14",""
15,"TEXT_AKTKBA511_04127_SEQ_15",""
16,"TEXT_AKTKBA511_04127_SEQ_16",""
17,"TEXT_AKTKBA511_04127_SEQ_17",""
