key,0,1
#,,
int32,str,str
0,"TEXT_AKTKZE104_04519_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>特殊ルール： レベルアジャスト<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
キャロットリウムのドリーミングウェイは、冒険者に仕事を紹介したくてしょうがないようだ。"
1,"TEXT_AKTKZE104_04519_SEQ_01","※本クエストには「<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow><UIGlow>01</UIGlow><UIForeground>01</UIForeground> レベルアジャスト」が、
　設定されています。

ドリーミングウェイと話した。ニンジン栽培を体験するため、キャロットリウムで「<Sheet(EventItem,2003328,0)/>」を「<Sheet(EObj,2012512,0)/>」に蒔こう。"
2,"TEXT_AKTKZE104_04519_SEQ_02","<Sheet(EventItem,2003328,0)/>を<Sheet(EObj,2012512,0)/>に蒔いた。次は、水やりのため、「<Sheet(EObj,2012513,0)/>」から、クリスタルを手に入れよう。"
3,"TEXT_AKTKZE104_04519_SEQ_03","<Sheet(EObj,2012513,0)/>から、クリスタルを手に入れた。キャロットリウムの「<Sheet(EObj,2012611,0)/>」の元まで運び、クリスタルを与えよう。"
4,"TEXT_AKTKZE104_04519_SEQ_04","<Sheet(EObj,2012611,0)/>にクリスタルを与えた。キャロットリウムにある「<Sheet(EObj,2012514,0)/>」を引っこ抜いて収穫しよう。"
5,"TEXT_AKTKZE104_04519_SEQ_05","<Sheet(EObj,2012514,0)/>を引っこ抜いて収穫した。キャロットリウムの入口付近にいる「ドリーミングウェイ」に、収穫した「<Sheet(EObj,2012514,0)/>」を渡そう。"
6,"TEXT_AKTKZE104_04519_SEQ_06","ドリーミングウェイに収穫した<Sheet(EObj,2012514,0)/>を渡した。ドリーミングウェイとの話の中で、音楽の存在を紹介したところ、たいそう気に入ったようで、音楽を極めることを夢にした。これからは胸を張って、ドリーミングウェイと名乗っていけるそうだ。キャロットリウムで「ノッキングウェイ」と話そう。"
7,"TEXT_AKTKZE104_04519_SEQ_07","ノッキングウェイと話した。これからもドリーミングウェイは、音楽を続けていくことだろう。"
8,"TEXT_AKTKZE104_04519_SEQ_08",""
9,"TEXT_AKTKZE104_04519_SEQ_09",""
10,"TEXT_AKTKZE104_04519_SEQ_10",""
11,"TEXT_AKTKZE104_04519_SEQ_11",""
