key,0,1
#,,
int32,str,str
0,"TEXT_BANARK115_04565_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow>特殊ルール： レベルアジャスト受注クラス・ジョブ制限<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
※本クエストは受注時のクラス・ジョブでのみ進行します。

スワルナの大蔵のマルルゥは、スターマイトの駆除を考えているようだ。"
1,"TEXT_BANARK115_04565_SEQ_01",""
2,"TEXT_BANARK115_04565_SEQ_02",""
3,"TEXT_BANARK115_04565_SEQ_03",""
4,"TEXT_BANARK115_04565_SEQ_04",""
5,"TEXT_BANARK115_04565_SEQ_05",""
6,"TEXT_BANARK115_04565_SEQ_06",""
7,"TEXT_BANARK115_04565_SEQ_07",""
8,"TEXT_BANARK115_04565_SEQ_08",""
9,"TEXT_BANARK115_04565_SEQ_09",""
10,"TEXT_BANARK115_04565_SEQ_10",""
11,"TEXT_BANARK115_04565_SEQ_11",""
12,"TEXT_BANARK115_04565_SEQ_12",""
13,"TEXT_BANARK115_04565_SEQ_13",""
14,"TEXT_BANARK115_04565_SEQ_14",""
15,"TEXT_BANARK115_04565_SEQ_15",""
16,"TEXT_BANARK115_04565_SEQ_16",""
17,"TEXT_BANARK115_04565_SEQ_17",""
18,"TEXT_BANARK115_04565_SEQ_18",""
19,"TEXT_BANARK115_04565_SEQ_19",""
20,"TEXT_BANARK115_04565_SEQ_20",""
21,"TEXT_BANARK115_04565_SEQ_21",""
22,"TEXT_BANARK115_04565_SEQ_22",""
23,"TEXT_BANARK115_04565_SEQ_23",""
24,"TEXT_BANARK115_04565_TODO_00","<Sheet(EObj,2012855,0)/>で見渡し
<Sheet(BNpcName,11341,0)/>が現れたら討伐"
25,"TEXT_BANARK115_04565_TODO_01","マルルゥに報告する"
26,"TEXT_BANARK115_04565_TODO_02",""
27,"TEXT_BANARK115_04565_TODO_03",""
28,"TEXT_BANARK115_04565_TODO_04",""
29,"TEXT_BANARK115_04565_TODO_05",""
30,"TEXT_BANARK115_04565_TODO_06",""
31,"TEXT_BANARK115_04565_TODO_07",""
32,"TEXT_BANARK115_04565_TODO_08",""
33,"TEXT_BANARK115_04565_TODO_09",""
34,"TEXT_BANARK115_04565_TODO_10",""
35,"TEXT_BANARK115_04565_TODO_11",""
36,"TEXT_BANARK115_04565_TODO_12",""
37,"TEXT_BANARK115_04565_TODO_13",""
38,"TEXT_BANARK115_04565_TODO_14",""
39,"TEXT_BANARK115_04565_TODO_15",""
40,"TEXT_BANARK115_04565_TODO_16",""
41,"TEXT_BANARK115_04565_TODO_17",""
42,"TEXT_BANARK115_04565_TODO_18",""
43,"TEXT_BANARK115_04565_TODO_19",""
44,"TEXT_BANARK115_04565_TODO_20",""
45,"TEXT_BANARK115_04565_TODO_21",""
46,"TEXT_BANARK115_04565_TODO_22",""
47,"TEXT_BANARK115_04565_TODO_23",""
48,"TEXT_BANARK115_04565_MARU_000_001","聞いてよ、<Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>……。
スターマイトっていう大型の虫のことは知ってる？
ボク、あいつらのことを見くびってたみたい……。"
49,"TEXT_BANARK115_04565_MARU_000_002","ハンサ牧場跡のほうへ向かう途中で追いかけられてさ、
興奮したヒッポが暴走状態になって、大変だったんだよね。
あやうく振り落とされるかと思ったよ……。"
50,"TEXT_BANARK115_04565_MARU_000_003","まだ人的被害はないけど、暴走すると荷物も傷みかねない……。
悪いんだけど、薫香の丘の北部へ向かって、
「<Sheet(BNpcName,11341,0)/>」を何体か駆除してきて。"
51,"TEXT_BANARK115_04565_MARU_000_004","聞いてよ、<Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>……。
前に、道の邪魔になる硬い虫を駆除してもらったでしょ？
「<Sheet(BNpcName,11341,0)/>」……また増えてきてるみたいだ。"
52,"TEXT_BANARK115_04565_MARU_000_005","慎重に運ばないといけない繊細な荷物もあるからさ。
あいつらに追いかけられると、ヒッポが興奮して大迷惑……。"
53,"TEXT_BANARK115_04565_MARU_000_006","悪いんだけど、また薫香の丘の北部へ向かって、
「<Sheet(BNpcName,11341,0)/>」を何体か駆除してきてもらえる？
よろしく頼むよ……。"
54,"TEXT_BANARK115_04565_MARU_000_020","ありがとー……。
<Sheet(BNpcName,11341,0)/>の数を減らしてくれて、助かった……。
これでしばらくは、北のほうへの配達も安心して向かえそう。"
55,"TEXT_BANARK115_04565_MARU_000_021","あいつらの外殻って、すっごく頑丈みたいなんだ。
ヒッポが踏んづけたり、ぶつかったりしただけでも、
こちらのほうが大事故になりかねないくらいでさ……。"
56,"TEXT_BANARK115_04565_MARU_000_022","ヒッポのためにも、道の安全に気をつけて配達しないとね。
また、あのスターマイトたちの数が増えてるとか報告があれば、
お願いさせてもらえたら助かるー……。"
