key,0,1
#,,
int32,str,str
0,"TEXT_AKTKRA302_04757_SEQ_00","エーテル鏡群のラハブレアは、研究員たちを怪訝そうに見ている。"
1,"TEXT_AKTKRA302_04757_SEQ_01","ラハブレアたちから、アテナの目的や人となりについて聞いた。アイティオン星晶鏡のエーテル鏡群で「エリクトニオス」と話そう。"
2,"TEXT_AKTKRA302_04757_SEQ_02","まずはパンデモニウム正門の安全を確認することになった。アイティオン星晶鏡のエーテル鏡群でエリクトニオスと話し、パンデモニウムへと向かおう。"
3,"TEXT_AKTKRA302_04757_SEQ_03","パンデモニウムでは、かつてともに攻略したテミスが待ち構えていた。彼の号令とともに、魂を与えられたパンデモニウムが姿を変え、冒険者の前に現れた。この先へと進むためにも、万魔の産屋に立ちはだかる「パンデモニウム」を打倒しよう。

※コンテンツファインダーから攻略に参加できます。"
4,"TEXT_AKTKRA302_04757_SEQ_04","「パンデモニウム」を討伐した。万魔の産屋で、周囲の様子を窺おう。"
5,"TEXT_AKTKRA302_04757_SEQ_05","ラハブレアとエリクトニオスも、去っていくテミスを目撃した。万魔の産屋で「ラハブレア」と話そう。"
6,"TEXT_AKTKRA302_04757_SEQ_06","ラハブレアから、アテナに関する推理を聞いた。彼女は「黒聖石サビク」に記憶を込めることで、現代に復活を果たしたようだ。"
7,"TEXT_AKTKRA302_04757_SEQ_07",""
8,"TEXT_AKTKRA302_04757_SEQ_08",""
9,"TEXT_AKTKRA302_04757_SEQ_09",""
10,"TEXT_AKTKRA302_04757_SEQ_10",""
11,"TEXT_AKTKRA302_04757_SEQ_11",""
12,"TEXT_AKTKRA302_04757_SEQ_12",""
13,"TEXT_AKTKRA302_04757_SEQ_13",""
14,"TEXT_AKTKRA302_04757_SEQ_14",""
15,"TEXT_AKTKRA302_04757_SEQ_15",""
16,"TEXT_AKTKRA302_04757_SEQ_16",""
17,"TEXT_AKTKRA302_04757_SEQ_17",""
18,"TEXT_AKTKRA302_04757_SEQ_18",""
19,"TEXT_AKTKRA302_04757_SEQ_19",""
20,"TEXT_AKTKRA302_04757_SEQ_20",""
21,"TEXT_AKTKRA302_04757_SEQ_21",""
22,"TEXT_AKTKRA302_04757_SEQ_22",""
23,"TEXT_AKTKRA302_04757_SEQ_23",""
