key,0,1
#,,
int32,str,str
0,"TEXT_FESVLX001_04808_SEQ_00","※本クエストは、期間限定のクエストとなります。

ミィ・ケット野外音楽堂のアストリドは、困っているようだ。"
1,"TEXT_FESVLX001_04808_SEQ_01","※本クエストは、シーズナルイベント開催中にかぎり、
　受注、進行できます。
　開催期間終了後は進行できませんので、ご注意ください。
　期間等の詳細についてはLodestoneをご覧ください。

アストリドと話した。彼女はエミリエの様子を見てきてほしいそうだ。グリダニアの工芸「フェン・イル」付近で、愛の見習い伝道師の「エミリエ」を探そう。"
2,"TEXT_FESVLX001_04808_SEQ_02","エミリエと話した。彼女はこの後、練習していたものをステージで披露するという。ミィ・ケット野外音楽堂に戻って「アストリド」と話そう。"
3,"TEXT_FESVLX001_04808_SEQ_03","アストリドと話した。リゼットも話を聞きつけ、皆でヴァレンティオンデーを盛り上げることになった。準備ができたら、改めてアストリドに声をかけよう。"
4,"TEXT_FESVLX001_04808_SEQ_04",""
5,"TEXT_FESVLX001_04808_SEQ_05",""
6,"TEXT_FESVLX001_04808_SEQ_06",""
7,"TEXT_FESVLX001_04808_SEQ_07",""
8,"TEXT_FESVLX001_04808_SEQ_08",""
9,"TEXT_FESVLX001_04808_SEQ_09",""
10,"TEXT_FESVLX001_04808_SEQ_10",""
11,"TEXT_FESVLX001_04808_SEQ_11",""
12,"TEXT_FESVLX001_04808_SEQ_12",""
13,"TEXT_FESVLX001_04808_SEQ_13",""
14,"TEXT_FESVLX001_04808_SEQ_14",""
15,"TEXT_FESVLX001_04808_SEQ_15",""
16,"TEXT_FESVLX001_04808_SEQ_16",""
17,"TEXT_FESVLX001_04808_SEQ_17",""
18,"TEXT_FESVLX001_04808_SEQ_18",""
19,"TEXT_FESVLX001_04808_SEQ_19",""
20,"TEXT_FESVLX001_04808_SEQ_20",""
21,"TEXT_FESVLX001_04808_SEQ_21",""
22,"TEXT_FESVLX001_04808_SEQ_22",""
23,"TEXT_FESVLX001_04808_SEQ_23",""
24,"TEXT_FESVLX001_04808_TODO_00","エミリエを探す"
25,"TEXT_FESVLX001_04808_TODO_01","アストリドと話す"
26,"TEXT_FESVLX001_04808_TODO_02",""
27,"TEXT_FESVLX001_04808_TODO_03",""
28,"TEXT_FESVLX001_04808_TODO_04",""
