key,0,1
#,,
int32,str,str
0,"TEXT_KINGLA106_04973_SEQ_00","ワチュメキメキ万貨街のラルソジは、新たな試みに挑戦しようとしているようだ。"
1,"TEXT_KINGLA106_04973_SEQ_01","ラルソジはついに、品質を問われる日用品の製作依頼を引き受けた。「<Sheet(ItemMP,43890,0)/>」を6つ製作し、トライヨラのワチュメキメキ万貨街にいるラルソジに納品しよう。

※納品は、収集価値「260」以上で可能となりますが、「530」以上で納品した場合、より多くの報酬が得られます。"
2,"TEXT_KINGLA106_04973_SEQ_02","ラルソジに<Sheet(ItemMP,43890,0)/>を納品したところ、ブネワ族の宮廷祭司が礼を言いにやってきた。パパーニと協力して製作するラルソジを、あともう少しだけ見守っていこう。"
3,"TEXT_KINGLA106_04973_SEQ_03",""
4,"TEXT_KINGLA106_04973_SEQ_04",""
5,"TEXT_KINGLA106_04973_SEQ_05",""
6,"TEXT_KINGLA106_04973_SEQ_06",""
7,"TEXT_KINGLA106_04973_SEQ_07",""
8,"TEXT_KINGLA106_04973_SEQ_08",""
9,"TEXT_KINGLA106_04973_SEQ_09",""
10,"TEXT_KINGLA106_04973_SEQ_10",""
11,"TEXT_KINGLA106_04973_SEQ_11",""
12,"TEXT_KINGLA106_04973_SEQ_12",""
13,"TEXT_KINGLA106_04973_SEQ_13",""
14,"TEXT_KINGLA106_04973_SEQ_14",""
15,"TEXT_KINGLA106_04973_SEQ_15",""
16,"TEXT_KINGLA106_04973_SEQ_16",""
17,"TEXT_KINGLA106_04973_SEQ_17",""
18,"TEXT_KINGLA106_04973_SEQ_18",""
19,"TEXT_KINGLA106_04973_SEQ_19",""
20,"TEXT_KINGLA106_04973_SEQ_20",""
21,"TEXT_KINGLA106_04973_SEQ_21",""
22,"TEXT_KINGLA106_04973_SEQ_22",""
23,"TEXT_KINGLA106_04973_SEQ_23",""
24,"TEXT_KINGLA106_04973_TODO_00","ラルソジに<Sheet(ItemMP,43890,0)/>を納品"
25,"TEXT_KINGLA106_04973_TODO_01",""
26,"TEXT_KINGLA106_04973_TODO_02",""
27,"TEXT_KINGLA106_04973_TODO_03",""
28,"TEXT_KINGLA106_04973_TODO_04",""
29,"TEXT_KINGLA106_04973_TODO_05",""
30,"TEXT_KINGLA106_04973_TODO_06",""
