key,0,1
#,,
int32,str,str
0,"TEXT_FESXMX002_05228_SEQ_00","※本クエストは、期間限定のクエストとなります。

星芒マーケットのソリーヌは、気合十分のようだ。"
1,"TEXT_FESXMX002_05228_SEQ_01","※本クエストは、シーズナルイベント開催中にかぎり、
　受注、進行できます。
　開催期間終了後は進行できませんので、ご注意ください。
　期間等の詳細についてはLodestoneをご覧ください。

ソリーヌたちと話し、疲れた作業者たちに温かい飲み物を提供することにした。グリダニアのカーラインカフェ付近で「テニー」と話そう。"
2,"TEXT_FESXMX002_05228_SEQ_02","カーラインカフェと、通りすがりの聖人のおかげで、キンダープンシュを配る手はずが整った。星芒マーケットでソリーヌと話そう。星芒マーケットには、グリダニアのミィ・ケット野外音楽堂にいる星芒マーケットの案内係と話すことで移動できるようだ。"
3,"TEXT_FESXMX002_05228_SEQ_03","ソリーヌと話し、手分けしてキンダープンシュを配ることになった。星芒マーケットの「おしごとチョコボ」と話して同行させよう。"
4,"TEXT_FESXMX002_05228_SEQ_04","おしごとチョコボと話した。キンダープンシュを配るため、おしごとチョコボを連れた状態で、「星芒マーケット」で作業をしている人たちと話そう。

※同行状態が解除された場合、星芒マーケットの「おしごとチョコボ」に話しかけることで同行を再開できます。"
5,"TEXT_FESXMX002_05228_SEQ_05","作業者たちにキンダープンシュを配り終えた。おしごとチョコボを連れた状態で、星芒マーケットにいる「ソリーヌ」と話そう。"
6,"TEXT_FESXMX002_05228_SEQ_06","ソリーヌたちと話し、互いの仕事を報告しあった。いよいよ星芒マーケットが開催されそうなので、ミィ・ケット野外音楽堂にいる「アム・ガランジ」と話そう。"
7,"TEXT_FESXMX002_05228_SEQ_07","アム・ガランジと話した。開催された星芒マーケットを見にいこう。"
8,"TEXT_FESXMX002_05228_SEQ_08","ソリーヌとテニーが準備してくれたキンダープンシュで、皆で労をねぎらった。星芒マーケットにいる「アム・ガランジ」と話そう。"
9,"TEXT_FESXMX002_05228_SEQ_09","アム・ガランジと話した。無事に開催された星芒マーケットを見てまわり、星芒祭を楽しもう。"
10,"TEXT_FESXMX002_05228_SEQ_10",""
11,"TEXT_FESXMX002_05228_SEQ_11",""
12,"TEXT_FESXMX002_05228_SEQ_12",""
13,"TEXT_FESXMX002_05228_SEQ_13",""
