key,0,1
#,,
int32,str,str
0,"TEXT_JOBNIN350_00214_SEQ_00","Tsubame appears quite pleased with your progress."
1,"TEXT_JOBNIN350_00214_SEQ_01","Tsubame is deeply impressed at the aptitude and affinity you have shown for the way of the shinobi, and she muses that your skills might one day rival her own. Now, the time has come to receive your next lesson. Enter the storehouse and speak with Oboro."
2,"TEXT_JOBNIN350_00214_SEQ_02","After proudly displaying his own mastery of a challenging technique─the common Eorzean bow─Oboro teaches you your second mudra. Known as <Emphasis>Chi</Emphasis> in the Doman tongue, this gesture will allow you to call forth the power of the earth itself. When you are prepared to learn how to wield it in battle, speak with Oboro once more."
3,"TEXT_JOBNIN350_00214_SEQ_03",""
4,"TEXT_JOBNIN350_00214_SEQ_04",""
5,"TEXT_JOBNIN350_00214_SEQ_05",""
6,"TEXT_JOBNIN350_00214_SEQ_06",""
7,"TEXT_JOBNIN350_00214_SEQ_07",""
8,"TEXT_JOBNIN350_00214_SEQ_08",""
9,"TEXT_JOBNIN350_00214_SEQ_09",""
10,"TEXT_JOBNIN350_00214_SEQ_10",""
11,"TEXT_JOBNIN350_00214_SEQ_11",""
12,"TEXT_JOBNIN350_00214_SEQ_12",""
13,"TEXT_JOBNIN350_00214_SEQ_13",""
14,"TEXT_JOBNIN350_00214_SEQ_14",""
15,"TEXT_JOBNIN350_00214_SEQ_15",""
16,"TEXT_JOBNIN350_00214_SEQ_16",""
17,"TEXT_JOBNIN350_00214_SEQ_17",""
18,"TEXT_JOBNIN350_00214_SEQ_18",""
19,"TEXT_JOBNIN350_00214_SEQ_19",""
20,"TEXT_JOBNIN350_00214_SEQ_20",""
21,"TEXT_JOBNIN350_00214_SEQ_21",""
22,"TEXT_JOBNIN350_00214_SEQ_22",""
23,"TEXT_JOBNIN350_00214_SEQ_23",""
24,"TEXT_JOBNIN350_00214_TODO_00","Speak with Oboro."
25,"TEXT_JOBNIN350_00214_TODO_01",""
26,"TEXT_JOBNIN350_00214_TODO_02",""
27,"TEXT_JOBNIN350_00214_TODO_03",""
28,"TEXT_JOBNIN350_00214_TODO_04",""
29,"TEXT_JOBNIN350_00214_TODO_05",""
30,"TEXT_JOBNIN350_00214_TODO_06",""
31,"TEXT_JOBNIN350_00214_TODO_07",""
32,"TEXT_JOBNIN350_00214_TODO_08",""
33,"TEXT_JOBNIN350_00214_TODO_09",""
34,"TEXT_JOBNIN350_00214_TODO_10",""
35,"TEXT_JOBNIN350_00214_TODO_11",""
36,"TEXT_JOBNIN350_00214_TODO_12",""
37,"TEXT_JOBNIN350_00214_TODO_13",""
38,"TEXT_JOBNIN350_00214_TODO_14",""
39,"TEXT_JOBNIN350_00214_TODO_15",""
40,"TEXT_JOBNIN350_00214_TODO_16",""
41,"TEXT_JOBNIN350_00214_TODO_17",""
42,"TEXT_JOBNIN350_00214_TODO_18",""
43,"TEXT_JOBNIN350_00214_TODO_19",""
44,"TEXT_JOBNIN350_00214_TODO_20",""
45,"TEXT_JOBNIN350_00214_TODO_21",""
46,"TEXT_JOBNIN350_00214_TODO_22",""
47,"TEXT_JOBNIN350_00214_TODO_23",""
48,"TEXT_JOBNIN350_00214_TSUBAME_000_000","<Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>! Why, I did not even hear your footsteps as you approached. You are becoming more and more the shinobi with each day."
49,"TEXT_JOBNIN350_00214_TSUBAME_000_001","Oboro has been awaiting your return. Please, enter."
50,"TEXT_JOBNIN350_00214_OBORO_000_005","Hand before the torso, bend at the hips... Presence of mind, presence of mind..."
51,"TEXT_JOBNIN350_00214_TSUBAME_000_010","The ease with which you have grasped the basics of our art is impressive, to say the least. Neglect not your training, and I can foresee the day when your skills rival my own."
52,"TEXT_JOBNIN350_00214_OBORO_000_020","Ah, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>. It is clear from the manner in which you carry yourself that you have been most diligent in your training."
53,"TEXT_JOBNIN350_00214_OBORO_000_021","But you are not the only one who has mastered the technique imparted to you. Behold my Eorzean bow, perfect in balance and form!"
54,"TEXT_JOBNIN350_00214_OBORO_000_022","...Ahem. Now, it is time for your next lesson. Watch carefully my hands, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>. With this mudra, the shinobi can summon the energies of the earth─<Emphasis>Chi</Emphasis>, in our tongue. Etch its form in your mind, and I shall show you how to employ it in battle."
