key,0,1
#,,
int32,str,str
0,"TEXT_GAIUSE613_00425_SEQ_00","While others look forward to the impending royal banquet, Minfilia cannot help but look to the past."
1,"TEXT_GAIUSE613_00425_SEQ_01","As four great nations stand poised to commemorate the successful defense of Ishgard, Minfilia is haunted by memories of the lost and concerns for the future of Eorzea. But while she would rather remain at the Rising Stones and focus on her work, she recognizes that this is a time for celebration, and that the Scions of the Seventh Dawn must stand united as a beacon of hope to all. And so she departs for Ul'dah to rendezvous with the other Scions, instructing you to follow when you are ready.

As you leave the solar, Riol calls out to you, and you take the opportunity to share the news of Wilred's death. In response, the Crystal Brave reveals he has uncovered evidence that Teledji Adeledji has bribed members of the 1st and 3rd Units. Riol also divulges that Wilred had begun to ask pointed questions, which likely led to his demise at the hands of these traitors. Troubling as these revelations may be, you have obligations in Ul'dah which cannot be postponed."
2,"TEXT_GAIUSE613_00425_SEQ_02","You rendezvous with the other Scions on the Royal Promenade, ready for the feast. However, Minfilia reveals that you will not be making your entrance together as planned, due to an untimely request for aid from Mistress Momodi. It would seem that your presence is required at the Quicksand..."
3,"TEXT_GAIUSE613_00425_SEQ_03",""
4,"TEXT_GAIUSE613_00425_SEQ_04",""
5,"TEXT_GAIUSE613_00425_SEQ_05",""
6,"TEXT_GAIUSE613_00425_SEQ_06",""
7,"TEXT_GAIUSE613_00425_SEQ_07",""
8,"TEXT_GAIUSE613_00425_SEQ_08",""
9,"TEXT_GAIUSE613_00425_SEQ_09",""
10,"TEXT_GAIUSE613_00425_SEQ_10",""
11,"TEXT_GAIUSE613_00425_SEQ_11",""
12,"TEXT_GAIUSE613_00425_SEQ_12",""
13,"TEXT_GAIUSE613_00425_SEQ_13",""
14,"TEXT_GAIUSE613_00425_SEQ_14",""
15,"TEXT_GAIUSE613_00425_SEQ_15",""
16,"TEXT_GAIUSE613_00425_SEQ_16",""
17,"TEXT_GAIUSE613_00425_SEQ_17",""
18,"TEXT_GAIUSE613_00425_SEQ_18",""
19,"TEXT_GAIUSE613_00425_SEQ_19",""
20,"TEXT_GAIUSE613_00425_SEQ_20",""
21,"TEXT_GAIUSE613_00425_SEQ_21",""
22,"TEXT_GAIUSE613_00425_SEQ_22",""
23,"TEXT_GAIUSE613_00425_SEQ_23",""
