key,0,1
#,,
int32,str,str
0,"TEXT_MANFST203_00675_SEQ_00","Baderon, the proprietor of the Drowning Wench, has need of a capable adventurer."
1,"TEXT_MANFST203_00675_SEQ_01","<UIForeground>F20215</UIForeground><UIGlow>F20216</UIGlow><Gui(63)/> This quest has been adjusted. Please abandon the quest and restart it by speaking to Baderon at the Drowning Wench.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

※The Main Scenario Guide shows the next available quest. You can toggle it on and off in Character Configuration, under UI Settings."
2,"TEXT_MANFST203_00675_SEQ_02","Make your way north of Aleport, and speak with the Yellowjacket stationed outside the entrance to Sastasha."
3,"TEXT_MANFST203_00675_SEQ_03","The Yellowjackets are concerned that the unsavory-looking men seen entering Sastasha may belong to the Serpent Reavers, the pirate allies of the Sahagin. Search the caves and ascertain whether or not such suspicions are well founded.

※Sastasha can be accessed via the Duty Finder."
4,"TEXT_MANFST203_00675_SEQ_04","You have discovered a pirate den in the depths of Sastasha. Just as the Yellowjackets feared, it would appear the Serpent Reavers and their Sahagin masters are using the caves as a base for their nefarious operations. Return to Limsa Lominsa without delay, and report your findings to Baderon at the Drowning Wench."
5,"TEXT_MANFST203_00675_SEQ_05","Having listened to your findings, Baderon expresses his satisfaction with your work, and mentions another task which might be of interest to you. It seems the Adventurers' Guild in Gridania wishes to employ the services of a seasoned adventurer. Prepare your gear, then speak with Baderon when you are ready to embark on the next stage of your journey."
6,"TEXT_MANFST203_00675_SEQ_06",""
7,"TEXT_MANFST203_00675_SEQ_07",""
8,"TEXT_MANFST203_00675_SEQ_08",""
9,"TEXT_MANFST203_00675_SEQ_09",""
10,"TEXT_MANFST203_00675_SEQ_10",""
11,"TEXT_MANFST203_00675_SEQ_11",""
12,"TEXT_MANFST203_00675_SEQ_12",""
13,"TEXT_MANFST203_00675_SEQ_13",""
14,"TEXT_MANFST203_00675_SEQ_14",""
15,"TEXT_MANFST203_00675_SEQ_15",""
16,"TEXT_MANFST203_00675_SEQ_16",""
17,"TEXT_MANFST203_00675_SEQ_17",""
18,"TEXT_MANFST203_00675_SEQ_18",""
19,"TEXT_MANFST203_00675_SEQ_19",""
20,"TEXT_MANFST203_00675_SEQ_20",""
21,"TEXT_MANFST203_00675_SEQ_21",""
22,"TEXT_MANFST203_00675_SEQ_22",""
