key,0,1
#,,
int32,str,str
0,"TEXT_TSTPLN904_00636_SEQ_00",""
1,"TEXT_TSTPLN904_00636_SEQ_01",""
2,"TEXT_TSTPLN904_00636_SEQ_02",""
3,"TEXT_TSTPLN904_00636_SEQ_03",""
4,"TEXT_TSTPLN904_00636_SEQ_04",""
5,"TEXT_TSTPLN904_00636_SEQ_05",""
6,"TEXT_TSTPLN904_00636_SEQ_06",""
7,"TEXT_TSTPLN904_00636_SEQ_07",""
8,"TEXT_TSTPLN904_00636_SEQ_08",""
9,"TEXT_TSTPLN904_00636_SEQ_09",""
10,"TEXT_TSTPLN904_00636_SEQ_10",""
11,"TEXT_TSTPLN904_00636_SEQ_11",""
12,"TEXT_TSTPLN904_00636_SEQ_12",""
13,"TEXT_TSTPLN904_00636_SEQ_13",""
14,"TEXT_TSTPLN904_00636_SEQ_14",""
15,"TEXT_TSTPLN904_00636_SEQ_15",""
16,"TEXT_TSTPLN904_00636_SEQ_16",""
17,"TEXT_TSTPLN904_00636_SEQ_17",""
18,"TEXT_TSTPLN904_00636_SEQ_18",""
19,"TEXT_TSTPLN904_00636_SEQ_19",""
20,"TEXT_TSTPLN904_00636_SEQ_20",""
21,"TEXT_TSTPLN904_00636_SEQ_21",""
22,"TEXT_TSTPLN904_00636_SEQ_22",""
23,"TEXT_TSTPLN904_00636_SEQ_23",""
24,"TEXT_TSTPLN904_00636_TODO_00","コスプレ木箱で衣替える"
25,"TEXT_TSTPLN904_00636_TODO_01","運搬クリスタル木箱で運搬(重)になる"
26,"TEXT_TSTPLN904_00636_TODO_02","衣替＆運搬状態でアクターBと話す"
27,"TEXT_TSTPLN904_00636_TODO_03","アクターAと話す"
28,"TEXT_TSTPLN904_00636_TODO_04",""
29,"TEXT_TSTPLN904_00636_TODO_05",""
30,"TEXT_TSTPLN904_00636_TODO_06",""
31,"TEXT_TSTPLN904_00636_TODO_07",""
32,"TEXT_TSTPLN904_00636_TODO_08",""
33,"TEXT_TSTPLN904_00636_TODO_09",""
34,"TEXT_TSTPLN904_00636_TODO_10",""
35,"TEXT_TSTPLN904_00636_TODO_11",""
36,"TEXT_TSTPLN904_00636_TODO_12",""
37,"TEXT_TSTPLN904_00636_TODO_13",""
38,"TEXT_TSTPLN904_00636_TODO_14",""
39,"TEXT_TSTPLN904_00636_TODO_15",""
40,"TEXT_TSTPLN904_00636_TODO_16",""
41,"TEXT_TSTPLN904_00636_TODO_17",""
42,"TEXT_TSTPLN904_00636_TODO_18",""
43,"TEXT_TSTPLN904_00636_TODO_19",""
44,"TEXT_TSTPLN904_00636_TODO_20",""
45,"TEXT_TSTPLN904_00636_TODO_21",""
46,"TEXT_TSTPLN904_00636_TODO_22",""
47,"TEXT_TSTPLN904_00636_TODO_23",""
48,"TEXT_TSTPLN904_00636_SYSTEM_000_001","「クリスタル木箱」の運搬では、
「重運搬」バフが追加付与され、移動速度が低下します。"
49,"TEXT_TSTPLN904_00636_SYSTEM_000_002","シスメス２つ目！ <Gui(182)/>"
50,"TEXT_TSTPLN904_00636_SYSTEM_000_003","シスメス３つ目！ <Gui(182)/>"
51,"TEXT_TSTPLN904_00636_SYSTEM_000_004","シスメス４つ目！ <Gui(182)/>"
52,"TEXT_TSTPLN904_00636_SYSTEM_000_005","シスメス５つ目！ <Gui(182)/>"
53,"TEXT_TSTPLN904_00636_SYSTEM_000_006","シスメス６つ目！
<Gui(182)/>
最後！！"
54,"TEXT_TSTPLN904_00636_Q1_000","何をする？（遊びを開始する“でコンプリートへ）"
55,"TEXT_TSTPLN904_00636_A1_000","遊びを開始する"
56,"TEXT_TSTPLN904_00636_A2_000","説明を確認する"
57,"TEXT_TSTPLN904_00636_A3_000","話をする"
58,"TEXT_TSTPLN904_00636_A4_000","キャンセル"
