key,0,1
#,,
int32,str,str
0,"TEXT_GAIUSA308_00740_SEQ_00","Buscarron has more work for a willing adventurer."
1,"TEXT_GAIUSA308_00740_SEQ_01","<UIForeground>F20215</UIForeground><UIGlow>F20216</UIGlow><Gui(63)/> This quest has been adjusted. Please abandon the quest and restart it by speaking to Buscarron at Buscarron's Druthers.<UIGlow>01</UIGlow><UIForeground>01</UIForeground>

※The Main Scenario Guide shows the next available quest. You can toggle it on and off in Character Configuration, under UI Settings."
2,"TEXT_GAIUSA308_00740_SEQ_02","Laurentius leaves you abruptly without providing any answers. Follow him and accost him again."
3,"TEXT_GAIUSA308_00740_SEQ_03","Now clearly agitated, Laurentius takes his leave of you once more. Chase him down and find out what he is hiding."
4,"TEXT_GAIUSA308_00740_SEQ_04","You have defeated the Garlean soldier summoned by Laurentius. Confront him and ascertain the nature of his relationship with the Empire."
5,"TEXT_GAIUSA308_00740_SEQ_05","Laurentius has taken to his heels once more. Give chase before he makes good his escape."
6,"TEXT_GAIUSA308_00740_SEQ_06","Laurentius has eluded you yet again. It is time to bring this chase to an end. Apprehend him."
7,"TEXT_GAIUSA308_00740_SEQ_07","You vanquish a squad of imperial troops, prompting Laurentius to admit defeat at long last. Shamed by your devotion to the cause, he repents his decision to sell information and supplies to the Garleans, and resolves to give himself up to the Order of the Twin Adder. Return to the Druthers and tell Buscarron all that has transpired."
8,"TEXT_GAIUSA308_00740_SEQ_08","After listening to the tale of Laurentius's betrayal and subsequent repentance, Buscarron expresses hope that the Order of the Twin Adder will take pity on the disgraced Wood Wailer. He then shares some exciting news: the missing sylph elder has been found."
9,"TEXT_GAIUSA308_00740_SEQ_09",""
10,"TEXT_GAIUSA308_00740_SEQ_10",""
11,"TEXT_GAIUSA308_00740_SEQ_11",""
12,"TEXT_GAIUSA308_00740_SEQ_12",""
13,"TEXT_GAIUSA308_00740_SEQ_13",""
14,"TEXT_GAIUSA308_00740_SEQ_14",""
15,"TEXT_GAIUSA308_00740_SEQ_15",""
16,"TEXT_GAIUSA308_00740_SEQ_16",""
17,"TEXT_GAIUSA308_00740_SEQ_17",""
18,"TEXT_GAIUSA308_00740_SEQ_18",""
19,"TEXT_GAIUSA308_00740_SEQ_19",""
20,"TEXT_GAIUSA308_00740_SEQ_20",""
