key,0,1
#,,
int32,str,str
0,"TEXT_HEAVNZ614_01882_SEQ_00","The northeastern scouting party dragoon seems to have lost something."
1,"TEXT_HEAVNZ614_01882_SEQ_01","The dragoon in charge of scouting the northeastern region has lost two priceless aetherometers, essential tools for measuring the aether levels of the Churning Mists. He asks for your help in seeking out the tools, lest the efforts made in scouting the region be in vain."
2,"TEXT_HEAVNZ614_01882_SEQ_02","After braving blood dragon assaults and a harsh climate, you manage to find the two lost aetherometers. Bring them back to the scouting party dragoon to find out what to do with them next."
3,"TEXT_HEAVNZ614_01882_SEQ_03","The scouting party dragoon is grateful for your help, relieved that the measurements remain intact. He has asked you to deliver them to Maenne so that he can remain behind and continue his duties."
4,"TEXT_HEAVNZ614_01882_SEQ_04","Maenne is impressed with the aetheric readings indicated in the aetherometers, and will send them to the Congregation to aid in their research regarding the Churning Mists."
5,"TEXT_HEAVNZ614_01882_SEQ_05",""
6,"TEXT_HEAVNZ614_01882_SEQ_06",""
7,"TEXT_HEAVNZ614_01882_SEQ_07",""
8,"TEXT_HEAVNZ614_01882_SEQ_08",""
9,"TEXT_HEAVNZ614_01882_SEQ_09",""
10,"TEXT_HEAVNZ614_01882_SEQ_10",""
11,"TEXT_HEAVNZ614_01882_SEQ_11",""
12,"TEXT_HEAVNZ614_01882_SEQ_12",""
13,"TEXT_HEAVNZ614_01882_SEQ_13",""
14,"TEXT_HEAVNZ614_01882_SEQ_14",""
15,"TEXT_HEAVNZ614_01882_SEQ_15",""
16,"TEXT_HEAVNZ614_01882_SEQ_16",""
17,"TEXT_HEAVNZ614_01882_SEQ_17",""
18,"TEXT_HEAVNZ614_01882_SEQ_18",""
19,"TEXT_HEAVNZ614_01882_SEQ_19",""
20,"TEXT_HEAVNZ614_01882_SEQ_20",""
21,"TEXT_HEAVNZ614_01882_SEQ_21",""
22,"TEXT_HEAVNZ614_01882_SEQ_22",""
23,"TEXT_HEAVNZ614_01882_SEQ_23",""
24,"TEXT_HEAVNZ614_01882_TODO_00","Obtain aetherometers."
25,"TEXT_HEAVNZ614_01882_TODO_01","Report to the northeastern scouting party dragoon."
26,"TEXT_HEAVNZ614_01882_TODO_02","Deliver the aetherometers to Maenne."
27,"TEXT_HEAVNZ614_01882_TODO_03",""
