key,0,1
#,,
int32,str,str
0,"TEXT_JOBAST650_02411_SEQ_00","Jannequinard appears ill. Could it be he is recovering from another long evening at the Forgotten Knight, or is something else disturbing the viscount?"
1,"TEXT_JOBAST650_02411_SEQ_01","According to Jannequinard, Lady Leveva has abandoned her preparations for the astrology symposium to lament the return of Kyokuho to his homeland of Hingashi. He has asked if you cannot help locate her in the Pillars and talk some sense into the young woman."
2,"TEXT_JOBAST650_02411_SEQ_02","A simple search of the Pillars reunites you with Lady Leveva who, after a winded conversation, bids you safe travels to Kugane where she expects you to overcome some unforeseen disaster to obtain an undetermined amount of knowledge. And hope. Copious amounts of hope."
3,"TEXT_JOBAST650_02411_SEQ_03","Several kind residents (and some less-than-kind ones) have given you a good idea as to where you might find a good view of the heavens─Tasogare Bridge overlooking the piers."
4,"TEXT_JOBAST650_02411_SEQ_04","Kyokuho believes that with your astrological expertise, he may be able to mend the weakened bonds maintaining the geomantic barrier that protects the city from attack from supernatural wildlife. He has bid you meet him at the Short Pier's westerly shrine."
5,"TEXT_JOBAST650_02411_SEQ_05","Despite a few paranormal hiccups in the form of Kinko's restless minions along the way, you and Kyokuho succeed in mending all four of the weakened barrier bonds."
6,"TEXT_JOBAST650_02411_SEQ_06","The mending, unfortunately, appears to be temporary, and it is only a matter of time before the golden guardian of the forest is back for another attempt at vengeance. If a more permanent solution is to be found, Kyokuho will require your continued support. Visit him and his master back on Kogane Dori."
7,"TEXT_JOBAST650_02411_SEQ_07","Before you can help Kyokuho lay the geomantic bonds anew, you will need to further strengthen your attunement to the heavens. In other words, train, train, and possibly train some more.

※The next astrologian quest will be available from Kyokuho upon reaching level 68."
8,"TEXT_JOBAST650_02411_SEQ_08",""
9,"TEXT_JOBAST650_02411_SEQ_09",""
10,"TEXT_JOBAST650_02411_SEQ_10",""
11,"TEXT_JOBAST650_02411_SEQ_11",""
12,"TEXT_JOBAST650_02411_SEQ_12",""
13,"TEXT_JOBAST650_02411_SEQ_13",""
14,"TEXT_JOBAST650_02411_SEQ_14",""
15,"TEXT_JOBAST650_02411_SEQ_15",""
16,"TEXT_JOBAST650_02411_SEQ_16",""
17,"TEXT_JOBAST650_02411_SEQ_17",""
18,"TEXT_JOBAST650_02411_SEQ_18",""
19,"TEXT_JOBAST650_02411_SEQ_19",""
