key,0,1
#,,
int32,str,str
0,"TEXT_KINGZE016_05134_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow> Quest Sync<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
The Cornservant's rustling can only mean one thing."
1,"TEXT_KINGZE016_05134_SEQ_01","The rumbling stomach of a hungry miner has brought the Cornservant to the wilds of Hhusatahwi. To be certain this man can receive of their corny influence, the Cornservant asks that you aid them once more. 

※Please note that the difficulty of this quest has been synced to your current level."
2,"TEXT_KINGZE016_05134_SEQ_02","The miner is recently come to Hhusatahwi after abandoning his family farm in the hopes of striking it rich. He gave everything to the endeavor, yet all he could find was disappointment. The Cornservant, sensing the hopelessness welling within the miner, produces a serving of roasted corn in the hopes it may rekindle something in him. The dish reminds the miner of his family, and he then decides to return home to make amends with his family."
3,"TEXT_KINGZE016_05134_SEQ_03","The healing power of corn has helped yet another wayward soul from going astray. One can only wonder where the clarion call of hunger will beckon the Cornservant next."
4,"TEXT_KINGZE016_05134_SEQ_04",""
5,"TEXT_KINGZE016_05134_SEQ_05",""
6,"TEXT_KINGZE016_05134_SEQ_06",""
7,"TEXT_KINGZE016_05134_SEQ_07",""
8,"TEXT_KINGZE016_05134_SEQ_08",""
9,"TEXT_KINGZE016_05134_SEQ_09",""
10,"TEXT_KINGZE016_05134_SEQ_10",""
11,"TEXT_KINGZE016_05134_SEQ_11",""
12,"TEXT_KINGZE016_05134_SEQ_12",""
13,"TEXT_KINGZE016_05134_SEQ_13",""
14,"TEXT_KINGZE016_05134_SEQ_14",""
15,"TEXT_KINGZE016_05134_SEQ_15",""
16,"TEXT_KINGZE016_05134_SEQ_16",""
17,"TEXT_KINGZE016_05134_SEQ_17",""
18,"TEXT_KINGZE016_05134_SEQ_18",""
19,"TEXT_KINGZE016_05134_SEQ_19",""
20,"TEXT_KINGZE016_05134_SEQ_20",""
21,"TEXT_KINGZE016_05134_SEQ_21",""
22,"TEXT_KINGZE016_05134_SEQ_22",""
23,"TEXT_KINGZE016_05134_SEQ_23",""
24,"TEXT_KINGZE016_05134_TODO_00","Speak with the hungry Tonawawtan."
25,"TEXT_KINGZE016_05134_TODO_01","Speak with the Cornservant."
26,"TEXT_KINGZE016_05134_TODO_02",""
27,"TEXT_KINGZE016_05134_TODO_03",""
28,"TEXT_KINGZE016_05134_TODO_04",""
29,"TEXT_KINGZE016_05134_TODO_05",""
30,"TEXT_KINGZE016_05134_TODO_06",""
31,"TEXT_KINGZE016_05134_TODO_07",""
32,"TEXT_KINGZE016_05134_TODO_08",""
33,"TEXT_KINGZE016_05134_TODO_09",""
34,"TEXT_KINGZE016_05134_TODO_10",""
35,"TEXT_KINGZE016_05134_TODO_11",""
36,"TEXT_KINGZE016_05134_TODO_12",""
37,"TEXT_KINGZE016_05134_TODO_13",""
38,"TEXT_KINGZE016_05134_TODO_14",""
39,"TEXT_KINGZE016_05134_TODO_15",""
40,"TEXT_KINGZE016_05134_TODO_16",""
41,"TEXT_KINGZE016_05134_TODO_17",""
42,"TEXT_KINGZE016_05134_TODO_18",""
43,"TEXT_KINGZE016_05134_TODO_19",""
44,"TEXT_KINGZE016_05134_TODO_20",""
45,"TEXT_KINGZE016_05134_TODO_21",""
46,"TEXT_KINGZE016_05134_TODO_22",""
47,"TEXT_KINGZE016_05134_TODO_23",""
48,"TEXT_KINGZE016_05134_CORNSERVANT_000_001","<rustle> How good to see you. Keeping your belly full throughout your adventures, I hope."
49,"TEXT_KINGZE016_05134_CORNSERVANT_000_002","A most terrible stomach rumbling drew me to this place, but I'm afraid I cannot yet make my presence known to the people here. Might I beg your assistance?"
50,"TEXT_KINGZE016_05134_CORNSERVANT_000_003","It is an otherwise strapping Tonawawtan man in dire need of sustenance. If you would follow me."
51,"TEXT_KINGZE016_05134_CORNSERVANT_000_005","I sense something rather dark about the hunger in his belly."
52,"TEXT_KINGZE016_05134_HUNGRYTONAWAATA05134_000_010","Do you feel it? That foul wind sweepin' across the wilds? Stings like this pain in my stomach every time I think about what I did. All I wanted was to get away from home, and get out of inheritin' that damn farm."
53,"TEXT_KINGZE016_05134_HUNGRYTONAWAATA05134_000_011","I thought if I could find ceruleum out here I'd strike it rich. So I used every pel to my name to buy mining equipment, and I started digging. Day in and day out, hoping to find something─anything to recoup what I'd lost. All I've found since coming here is disappointment."
54,"TEXT_KINGZE016_05134_CORNSERVANT_000_012","<rustle> Oh dear! His stomach is gripped by deepest despair. What he needs is something to rekindle the flame of hope in his belly. This should serve─corn roasted with the fiery passion that burns in my bosom."
55,"TEXT_KINGZE016_05134_HUNGRYTONAWAATA05134_000_013","Roasted corn? That takes me back. Ma used to cook this stuff all the time."
56,"TEXT_KINGZE016_05134_HUNGRYTONAWAATA05134_000_014","Gods, I was such a horrible kid. Never listened, always complained. But she loved me anyway."
57,"TEXT_KINGZE016_05134_HUNGRYTONAWAATA05134_000_015","If anythin' happened to me out here, she'd...I don't wanna think about it. I should go home and apologize. Maybe see about workin' those corn crops."
58,"TEXT_KINGZE016_05134_CORNSERVANT_000_020","Thank goodness we arrived when we did. <rustle> The roasted corn served well to help remedy what ails him so."
59,"TEXT_KINGZE016_05134_CORNSERVANT_000_021","Left unchecked, his frustration may well have lead to anger he could unleash on himself or others."
60,"TEXT_KINGZE016_05134_CORNSERVANT_000_022","With a full belly, however, he had the clarity of mind to remember what matters most to him: his family."
61,"TEXT_KINGZE016_05134_CORNSERVANT_000_023","<rustle> The rumbling of bellies has ceased here in Hhusatahwi, and so I believe it is time I took my leave. Take care, my friend."
