key,0,1
#,,
int32,str,str
0,"TEXT_FESPDX002_05238_SEQ_00","Picot ponders over an appropriate direction for his stage persona.
※This quest is available for a limited time only."
1,"TEXT_FESPDX002_05238_SEQ_01","Picot shares with you the reason he first became a singer, describing in bittersweet detail the shows he would perform for his ailing childhood friend. He hopes that by taking his act to the Little Ladies' Day stage, his voice will then rise high enough and loud enough to reach her ears even in Thal's somber halls. To that end, he asks that you accompany him to said stage, and seek out inspiration that will help him finalize the details of his Seneschal Prince costume.

※Please note that you will be unable to complete this quest after the seasonal event has ended. For details, please check the Lodestone."
2,"TEXT_FESPDX002_05238_SEQ_02","You examine the stage and its surrounds alongside Picot, and in so doing, he forms a definitive image of how he wishes to present his stage persona: as the Seneschal Prince, he will both serve and entertain. Picot lists off the tasks which now stand before him─including his plans for organizing refreshments from the Quicksand's festival menu─and you offer to convey his finalized costume idea to the waiting Marabel over near Eshtaime's Aesthetics."
3,"TEXT_FESPDX002_05238_SEQ_03","Marabel listens to your explanation of Picot's costume with her customary enthusiasm. She seems to know exactly what will best encapsulate a seneschal's poise and a prince's style, and sends you back to the royal seneschal with a promise that the outfit will be ready in time for the performance."
4,"TEXT_FESPDX002_05238_SEQ_04","You relay the good news to the royal seneschal, then sit back to enjoy the show. Picot delivers on his promise of hospitality, inviting the audience to partake of the Quicksand's provided repast before entertaining them with his practiced routine. The performance reaches its finale, and you join the elated singer to share in his triumph."
5,"TEXT_FESPDX002_05238_SEQ_05","Picot is overjoyed by the favorable response from the crowd, and the royal seneschal congratulates his new performer on a stunning debut. Wondering for a moment if his own lost princess was looking on, Picot vows to make the most of this opportunity to bring delight to all who attend his shows. The Seneschal Prince presents you with a matching costume as thanks for your patient assistance, then heads off to prepare for his next appearance. Everything has turned out well, yet the Little Ladies' Day festivities have only just begun─you should heed the royal seneschal's advice and go and enjoy them while they last!"
6,"TEXT_FESPDX002_05238_SEQ_06",""
7,"TEXT_FESPDX002_05238_SEQ_07",""
8,"TEXT_FESPDX002_05238_SEQ_08",""
9,"TEXT_FESPDX002_05238_SEQ_09",""
10,"TEXT_FESPDX002_05238_SEQ_10",""
11,"TEXT_FESPDX002_05238_SEQ_11",""
12,"TEXT_FESPDX002_05238_SEQ_12",""
13,"TEXT_FESPDX002_05238_SEQ_13",""
