key,0,1
#,,
int32,str,str
0,"TEXT_LUCKZA024_03366_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow> Quest Sync<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
A flyer for attracting prospective employees catches your eye."
1,"TEXT_LUCKZA024_03366_SEQ_01",""
2,"TEXT_LUCKZA024_03366_SEQ_02",""
3,"TEXT_LUCKZA024_03366_SEQ_03",""
4,"TEXT_LUCKZA024_03366_SEQ_04",""
5,"TEXT_LUCKZA024_03366_SEQ_05",""
6,"TEXT_LUCKZA024_03366_SEQ_06",""
7,"TEXT_LUCKZA024_03366_SEQ_07",""
8,"TEXT_LUCKZA024_03366_SEQ_08",""
9,"TEXT_LUCKZA024_03366_SEQ_09",""
10,"TEXT_LUCKZA024_03366_SEQ_10",""
11,"TEXT_LUCKZA024_03366_SEQ_11",""
12,"TEXT_LUCKZA024_03366_SEQ_12",""
13,"TEXT_LUCKZA024_03366_SEQ_13",""
14,"TEXT_LUCKZA024_03366_SEQ_14",""
15,"TEXT_LUCKZA024_03366_SEQ_15",""
16,"TEXT_LUCKZA024_03366_SEQ_16",""
17,"TEXT_LUCKZA024_03366_SEQ_17",""
18,"TEXT_LUCKZA024_03366_SEQ_18",""
19,"TEXT_LUCKZA024_03366_SEQ_19",""
20,"TEXT_LUCKZA024_03366_SEQ_20",""
21,"TEXT_LUCKZA024_03366_SEQ_21",""
22,"TEXT_LUCKZA024_03366_SEQ_22",""
23,"TEXT_LUCKZA024_03366_SEQ_23",""
24,"TEXT_LUCKZA024_03366_TODO_00","Speak with the Mord taskmaster."
25,"TEXT_LUCKZA024_03366_TODO_01","Search for the client."
26,"TEXT_LUCKZA024_03366_TODO_02","Speak with the unsavory Mord."
27,"TEXT_LUCKZA024_03366_TODO_03","Express your /doubt to the Mord taskmaster."
28,"TEXT_LUCKZA024_03366_TODO_04",""
29,"TEXT_LUCKZA024_03366_TODO_05",""
30,"TEXT_LUCKZA024_03366_TODO_06",""
31,"TEXT_LUCKZA024_03366_TODO_07",""
32,"TEXT_LUCKZA024_03366_TODO_08",""
33,"TEXT_LUCKZA024_03366_TODO_09",""
34,"TEXT_LUCKZA024_03366_TODO_10",""
35,"TEXT_LUCKZA024_03366_TODO_11",""
