key,0,1
#,,
int32,str,str
0,"TEXT_LUCKZE018_03452_SEQ_00","<UIForeground>F201FC</UIForeground><UIGlow>F201FD</UIGlow> Quest Sync<UIGlow>01</UIGlow><UIForeground>01</UIForeground>
This well-meaning mentor would ask for your help with unfinished business."
1,"TEXT_LUCKZE018_03452_SEQ_01",""
2,"TEXT_LUCKZE018_03452_SEQ_02",""
3,"TEXT_LUCKZE018_03452_SEQ_03",""
4,"TEXT_LUCKZE018_03452_SEQ_04",""
5,"TEXT_LUCKZE018_03452_SEQ_05",""
6,"TEXT_LUCKZE018_03452_SEQ_06",""
7,"TEXT_LUCKZE018_03452_SEQ_07",""
8,"TEXT_LUCKZE018_03452_SEQ_08",""
9,"TEXT_LUCKZE018_03452_SEQ_09",""
10,"TEXT_LUCKZE018_03452_SEQ_10",""
11,"TEXT_LUCKZE018_03452_SEQ_11",""
12,"TEXT_LUCKZE018_03452_SEQ_12",""
13,"TEXT_LUCKZE018_03452_SEQ_13",""
14,"TEXT_LUCKZE018_03452_SEQ_14",""
15,"TEXT_LUCKZE018_03452_SEQ_15",""
16,"TEXT_LUCKZE018_03452_SEQ_16",""
17,"TEXT_LUCKZE018_03452_SEQ_17",""
18,"TEXT_LUCKZE018_03452_SEQ_18",""
19,"TEXT_LUCKZE018_03452_SEQ_19",""
20,"TEXT_LUCKZE018_03452_SEQ_20",""
21,"TEXT_LUCKZE018_03452_SEQ_21",""
22,"TEXT_LUCKZE018_03452_SEQ_22",""
23,"TEXT_LUCKZE018_03452_SEQ_23",""
24,"TEXT_LUCKZE018_03452_TODO_00","Survey the designated areas and slay the anemone should it appear."
25,"TEXT_LUCKZE018_03452_TODO_01","Deliver the anemone corpse to the well-meaning mentor."
26,"TEXT_LUCKZE018_03452_TODO_02",""
27,"TEXT_LUCKZE018_03452_TODO_03",""
28,"TEXT_LUCKZE018_03452_TODO_04",""
29,"TEXT_LUCKZE018_03452_TODO_05",""
30,"TEXT_LUCKZE018_03452_TODO_06",""
31,"TEXT_LUCKZE018_03452_TODO_07",""
32,"TEXT_LUCKZE018_03452_TODO_08",""
33,"TEXT_LUCKZE018_03452_TODO_09",""
34,"TEXT_LUCKZE018_03452_TODO_10",""
35,"TEXT_LUCKZE018_03452_TODO_11",""
36,"TEXT_LUCKZE018_03452_TODO_12",""
37,"TEXT_LUCKZE018_03452_TODO_13",""
38,"TEXT_LUCKZE018_03452_TODO_14",""
39,"TEXT_LUCKZE018_03452_TODO_15",""
40,"TEXT_LUCKZE018_03452_TODO_16",""
41,"TEXT_LUCKZE018_03452_TODO_17",""
42,"TEXT_LUCKZE018_03452_TODO_18",""
43,"TEXT_LUCKZE018_03452_TODO_19",""
44,"TEXT_LUCKZE018_03452_TODO_20",""
45,"TEXT_LUCKZE018_03452_TODO_21",""
46,"TEXT_LUCKZE018_03452_TODO_22",""
47,"TEXT_LUCKZE018_03452_TODO_23",""
48,"TEXT_LUCKZE018_03452_MENTOR03452_000_000","Your travels have led you back to Slitherbough, I see. Your timing is fortuitous. Preparations for the anemone hunt are complete. If you are of a mind to join me, your aid would be most appreciated."
49,"TEXT_LUCKZE018_03452_MENTOR03452_000_001","It was last seen in the southwestern region of Cleric. The hunt will prove difficult, however, as that is where the Children chose to build their spiders' nest."
50,"TEXT_LUCKZE018_03452_MENTOR03452_000_002","Tread lightly, and do not hesitate to strike it down on sight. I only ask that you retrieve its corpse should you find it first."
51,"TEXT_LUCKZE018_03452_SYSTEM_000_010","You see no sign of the anemone. Perhaps you should search elsewhere."
52,"TEXT_LUCKZE018_03452_SYSTEM_000_011","You find the corpse of an animal, but there are no signs of a struggle. Perhaps it was killed with poison..."
53,"TEXT_LUCKZE018_03452_MENTOR03452_000_020","You are returned. I hope you had better luck than I."
54,"TEXT_LUCKZE018_03452_MENTOR03452_000_021","The anemone. You found it..."
55,"TEXT_LUCKZE018_03452_MENTOR03452_000_022","<sigh> Would that there was another way, but the threat it posed to the Greatwood could not be ignored."
56,"TEXT_LUCKZE018_03452_MENTOR03452_000_023","Mark my words: this <Emphasis>will not</Emphasis> happen again."
