Index,0 [0x0][0x0],1 [0x0][0x4],2 [0x0][0x8],3 [0x3][0x58],4 [0x2][0x61],5 [0x2][0x62],6 [0x3][0x59],7 [0x3][0x5a],8 [0x2][0x63],9 [0x5][0x30],10 [0x5][0x32],11 [0x5][0x34],12 [0x5][0x36],13 [0x5][0x38],14 [0x5][0x3a],15 [0x5][0x3c],16 [0x5][0x3e],17 [0x5][0x40],18 [0x5][0x42],19 [0x5][0x44],20 [0x5][0x46],21 [0x5][0x48],22 [0x5][0x4a],23 [0x3][0x5b],24 [0x0][0x18],25 [0x6][0x28],26 [0x6][0x2c],27 [0x3][0x5c],28 [0x3][0x5d],29 [0x2][0x64],30 [0x3][0x5e],31 [0x5][0x4c],32 [0x5][0x4e],33 [0x5][0x50],34 [0x5][0x52],35 [0x5][0x54],36 [0x5][0x56],37 [0x3][0x5f],38 [0xb][0x10],39 [0x7][0x1c],40 [0x7][0x20],41 [0x7][0x24],42 [0x3][0x60]
0,"aventurier","AVN","aventurière",30,-1,-1,0,0,-1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,"Adventurer",0,0,0,0,127,0,0,0,0,0,0,0,0,"0, 0, 0, 0",0,0,0,1
1,"gladiateur","GLA","gladiatrice",30,1,0,1,0,-1,110,50,95,100,90,50,95,80,100,100,100,100,100,100,1,"Gladiator",1601,0,1,3,0,3,197,198,199,3359,0,0,1,"0, 0, 0, 0",0,0,0,1
2,"pugiliste","PGL","pugiliste",30,0,1,2,0,-1,105,35,100,95,100,45,85,60,100,100,100,100,100,100,2,"Pugilist",1680,0,2,3,1,1,200,201,202,3360,0,0,2,"0, 0, 0, 0",0,0,0,1
3,"maraudeur","MRD","maraudeuse",30,2,2,3,0,-1,115,30,100,100,90,30,50,40,100,100,100,100,100,100,3,"Marauder",1749,0,1,1,2,3,197,198,4240,3359,0,0,3,"0, 0, 0, 0",0,0,0,1
4,"maître d'hast","HAS","maître d'hast",30,4,3,4,0,-1,110,40,105,100,95,40,60,70,100,100,100,100,100,100,4,"Lancer",1819,0,2,2,3,1,200,201,4242,3360,0,0,4,"0, 0, 0, 0",0,0,0,1
5,"archer","ARC","archère",30,3,4,5,0,-1,100,70,85,95,105,80,75,80,100,100,100,100,100,100,5,"Archer",1889,0,3,2,4,2,4238,4239,4244,4249,0,0,5,"0, 0, 0, 0",0,0,0,1
6,"élémentaliste","ÉLM","élémentaliste",31,6,5,6,0,-1,100,115,50,95,100,100,105,110,100,100,100,100,100,100,6,"Conjurer",1995,0,4,2,5,5,206,207,208,3362,0,0,7,"0, 0, 0, 0",0,0,0,1
7,"occultiste","OCC","occultiste",31,5,6,7,0,-1,100,120,40,95,95,105,70,115,100,100,100,100,100,100,7,"Thaumaturge",2055,0,3,3,6,4,203,204,205,3361,0,0,8,"0, 0, 0, 0",0,0,0,1
8,"menuisier","MEN","menuisière",33,7,-1,0,0,0,100,100,90,105,100,90,90,90,100,100,100,100,100,100,8,"Carpenter",0,0,0,0,127,0,0,0,0,0,0,0,101,"0, 0, 0, 0",10337,0,0,1
9,"forgeron","FRG","forgeronne",33,8,-1,0,0,1,100,100,105,90,90,90,100,90,100,100,100,100,100,100,9,"Blacksmith",0,0,0,0,127,0,0,0,0,0,0,0,102,"0, 0, 0, 0",10338,0,0,1
